2.771561219606866633e+00,-0.000000000000000000e+00,-0.000000000000000000e+00.1,0.000000000000000000e+00,0.000000000000000000e+00.1,-0.000000000000000000e+00.2,-1.310241325608589857e-01,-0.000000000000000000e+00.3,0.000000000000000000e+00.2,-0.000000000000000000e+00.4,-9.719479316971832081e-03,-0.000000000000000000e+00.5,7.764703557621702168e-02,0.000000000000000000e+00.3,-0.000000000000000000e+00.6,-0.000000000000000000e+00.7,0.000000000000000000e+00.4,-0.000000000000000000e+00.8,0.000000000000000000e+00.5,-0.000000000000000000e+00.9,-0.000000000000000000e+00.10,-0.000000000000000000e+00.11,-0.000000000000000000e+00.12,0.000000000000000000e+00.6,0.000000000000000000e+00.7,0.000000000000000000e+00.8,0.000000000000000000e+00.9,0.000000000000000000e+00.10,-0.000000000000000000e+00.13,0.000000000000000000e+00.11,-2.898734262663760775e-01,-0.000000000000000000e+00.14,-1.573558292162177963e-01,1.793270995343885787e-01,0.000000000000000000e+00.12,0.000000000000000000e+00.13,2.430199332628028008e-01,-0.000000000000000000e+00.15,0.000000000000000000e+00.14,0.000000000000000000e+00.15,0.000000000000000000e+00.16,0.000000000000000000e+00.17,0.000000000000000000e+00.18,-0.000000000000000000e+00.16,0.000000000000000000e+00.19,0.000000000000000000e+00.20,0.000000000000000000e+00.21,-0.000000000000000000e+00.17,-1.136187293996642061e-01,-0.000000000000000000e+00.18,-1.017791266327495503e+00,-0.000000000000000000e+00.19,-0.000000000000000000e+00.20,-0.000000000000000000e+00.21,-0.000000000000000000e+00.22,-0.000000000000000000e+00.23,-1.692367000532385146e-01,0.000000000000000000e+00.22,0.000000000000000000e+00.23,-0.000000000000000000e+00.24,0.000000000000000000e+00.24,1.822011438963276955e-02,0.000000000000000000e+00.25,1.165303097275115392e-02,0.000000000000000000e+00.26,-0.000000000000000000e+00.25,-8.345976053097822756e-02,0.000000000000000000e+00.27,1.236917843375465592e-01,-0.000000000000000000e+00.26,-0.000000000000000000e+00.27,-0.000000000000000000e+00.28,0.000000000000000000e+00.28,-0.000000000000000000e+00.29,0.000000000000000000e+00.29,6.497295570745814652e-02,-2.865224561323901353e-01,0.000000000000000000e+00.30,-1.611248912479323336e-01,-0.000000000000000000e+00.30,0.000000000000000000e+00.31,0.000000000000000000e+00.32,-0.000000000000000000e+00.31,-0.000000000000000000e+00.32,1.592056475316792064e-01,-0.000000000000000000e+00.33,0.000000000000000000e+00.33,0.000000000000000000e+00.34,-0.000000000000000000e+00.34,0.000000000000000000e+00.35,-0.000000000000000000e+00.35,0.000000000000000000e+00.36,0.000000000000000000e+00.37,-3.223393131753219537e-02,-0.000000000000000000e+00.36,-1.840080070416887370e-01,0.000000000000000000e+00.38,-0.000000000000000000e+00.37,-7.496016444738162754e-01,-0.000000000000000000e+00.38
-0.0,4.587992517996514,-0.3884343949271474,-0.0023230820693915075,-1.0811495549172998,-0.0,-0.0,-0.6209283109434224,-0.0,-0.0,0.3949114859130071,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.21321218091279728,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.07136600045599285,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-1.55915924193817,-0.0,-0.40542963061918874,-0.07985850721331399,-0.0,-0.1674718429775698,-0.12204566308000804,0.0,0.003268571041267619,0.0,0.0,0.0,0.12546309265815017,0.0,0.0,0.0,0.0,-0.0,-0.1390799971175825,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.018910167564914718,0.0,0.0,0.0
-0.0,-0.3884343949271474,4.3692809427043855,-0.0,-0.0,-0.5818044502101637,-0.0,-0.35461943378649374,-0.6234610004472605,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.11778310892227475,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.8550273403830566,0.0,0.0,-0.19992694664721103,-0.34842125112983746,-0.0,-0.5025632692741022,0.0,0.0,0.0,0.029692989238811068,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.3853338273463111,-0.0,-0.018034926039504785,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.030737564643192977,-0.0,0.0,-0.0,0.0,-0.07295701397717552,0.0,-0.0,0.06435094352776263,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.0,-0.0023230820693915075,-0.0,2.533324370236543,-0.07317766082729929,0.0,-0.1323772848502703,-0.31302876194896834,-0.0,-0.05077109293138356,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0843851594590828,-0.0,-0.0,0.0,0.0,-0.17461524944524673,-0.0,-0.0,-0.0,-0.03122766133006331,0.0,0.0,-0.0,0.0,0.28271195760158047,0.0,0.17351716357355035,-0.0,0.0,0.0,0.0,-0.21864296011263923,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.025594818028843076,0.0,-0.0,0.0,-0.0,0.09836840432267421,-0.0,0.0,-1.1163971829401813,0.0,0.0,-0.2016749386544436,-0.25233464610548023,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.10505746031620568,0.0,-0.0,0.0,0.0,0.511112940005072,0.04916097006002616,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.2705120200033224,0.0,0.0637744616778755,0.0
0.0,-1.0811495549172998,-0.0,-0.07317766082729929,3.6876673084591847,-0.0,0.0,-0.3928872035256345,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0005637230432433468,-0.0,-0.0,0.0,-0.03482740591172381,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.023434822441432423,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.8636128756788892,-1.088616790246772,-0.0,-0.0,-0.0,-0.0,0.22890936489884572,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.03430983695476175,-0.0,-0.0,-0.0,0.0,-0.04821714355854968,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.05935993639648202,-0.0,0.0,0.0,-0.142939496037362,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.034819435525549405,-0.0,0.0,0.0
-0.0,-0.0,-0.5818044502101637,0.0,-0.0,5.908542177641175,0.0,-0.0,-0.7542990087489267,-0.0,-0.0,0.0,0.0,-0.0,-0.10809978200763544,0.0,0.0,-0.0,0.0,-0.6658108552384281,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0005335618782817378,0.0,0.0,-0.0,0.0,0.0,-0.26925925540383167,0.0,0.0,-0.0,0.0,0.0,-0.006683786308615343,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.5725372123196995,-0.0,0.0,-0.0,-0.0,-0.0,-1.5323646499930383,-1.6416915903944043,-0.0,-0.10901643361692538,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.03824178121779877,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.17699723275078327,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.19364569720262967,-0.0,0.0,-0.0,-0.0,-0.0
-0.13102413256085899,-0.0,-0.0,-0.1323772848502703,0.0,0.0,3.8193416490465464,-0.0,-0.0,0.0,0.0,0.0,-0.10277649237251582,0.0,0.0,-0.830186964956598,-0.0,-0.0,-0.0,-0.15546703487798547,-0.0,-0.04079505748987768,-0.0,-0.0,0.009245273639870825,-0.0,0.0,0.0,-0.019026758349449727,0.0,-0.0,0.0,-0.04552257490489777,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.9421912776145264,-0.10721892453334989,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.022849437052759353,-0.0,-0.0,-0.2101309426917597,-0.13832289035987452,0.0,-0.0,-0.2827214320930632,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.8397446973204465,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.6520103071053038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.24040159404204997,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
-0.0,-0.6209283109434224,-0.35461943378649374,-0.31302876194896834,-0.3928872035256345,-0.0,-0.0,5.470019763557147,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.045320870847938656,-0.0,-1.130676624856126,-0.0,-0.13336263984560623,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.09144879453612959,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.2079532741705361,0.0,-0.0,-0.0,0.0,0.0,-0.5210491661718023,-0.0,-0.11530561044931932,-0.0,-0.0,-0.3479309148633808,-1.2141191382952508,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.734621765589897,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.0,-0.0,-0.6234610004472605,-0.0,-0.0,-0.7542990087489267,-0.0,-0.0,4.889904574391418,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.03175277134005068,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.03950839248192752,0.0,0.0,0.0,-0.0,-0.0,-0.8398009966874375,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.28228692179828124,-0.0,0.0,0.0,-0.33892029495765946,-0.0,0.0,-1.8646896912181,-0.09760425075187262,0.0,-0.0,0.0,-0.1340419397834801,-0.0,-0.3882254296167293,-0.0,0.0,-0.0,-0.0020299856199874574,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06860867581506738,0.0,0.0,-0.0,0.0,0.17267180168998308,-0.0,0.0,0.0,-0.0,-0.1950673999471432,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.15840910058148927,0.0,0.1636089980349819,0.0,0.0,0.0
-0.0,-0.0,0.0,-0.05077109293138356,-0.0,-0.0,0.0,-0.0,-0.0,2.4562922914638783,-0.19282822844595268,-0.34478456430620524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.1349211500974436,-0.0,0.0,-0.007461772714650322,0.0,-0.0001006619559290471,0.0,-0.05781868294549792,0.0,0.0,0.0,0.0,0.0,-0.2255654055666568,-0.5220146435060631,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.03881644994782618,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.216230305637457,-0.0,-0.05263095044592449,-0.0,-0.0,-0.681377000947738,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06152992262270936,0.0,0.23242808585624183,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0743311772286614,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.4294669237297584,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
-0.009719479316971832,0.3949114859130071,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.19282822844595268,2.052938122191195,-0.47007196305971793,-0.0,-0.15504081218377083,-0.5835857382210555,0.0,-0.0,0.0,0.09928452407372337,-0.0,-0.0,0.0,0.0,-0.0,-0.1397529804618657,-0.0,-0.0,-0.0,-0.2508398266667334,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.05653510164424506,0.0,0.0,0.0,0.0,-0.09381450740588816,-0.0,-0.0,0.0,0.0,-0.0012974941157212743,0.0,0.039566661137026955,-0.0,-0.0,0.0,0.0,-0.11137642052728144,-0.0,0.0,-0.0,-0.3116858076905077,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.03969001108786817,0.06654715234025689,0.06529223993022547,-0.0,0.09689513139847712,0.31161564270739034,0.0,0.0,-0.0,-0.008963061547224946,-0.0,-0.3375823866349532,-0.0,-0.0,0.0,-0.0,-0.0,0.11516610854171715,0.0,0.06482704160593752,-0.0,0.0,0.0,0.12353434756938744,0.0,0.07433193578457285,-0.12119475068380504,-0.0,-0.08613548278775086,-0.0,0.0,-0.22483337044290033,0.0
