1.919584402309808091e+00,-0.000000000000000000e+00,-5.770281590998603549e-02,0.000000000000000000e+00,0.000000000000000000e+00.1,0.000000000000000000e+00.2,-0.000000000000000000e+00.1,-0.000000000000000000e+00.2,0.000000000000000000e+00.3,-1.382846463109832676e-02,-0.000000000000000000e+00.3,-9.686375704950817012e-02,0.000000000000000000e+00.4,-0.000000000000000000e+00.4,-0.000000000000000000e+00.5,-0.000000000000000000e+00.6,0.000000000000000000e+00.5,-0.000000000000000000e+00.7,-0.000000000000000000e+00.8,-2.202297712031914545e-01,0.000000000000000000e+00.6,0.000000000000000000e+00.7,-0.000000000000000000e+00.9,0.000000000000000000e+00.8,-4.253975280020047545e-02,-0.000000000000000000e+00.10,-0.000000000000000000e+00.11,-0.000000000000000000e+00.12,-0.000000000000000000e+00.13,8.838913251487761497e-03,-4.444166275794202842e-02,-1.054444846861377350e-01,0.000000000000000000e+00.9,0.000000000000000000e+00.10,0.000000000000000000e+00.11,-0.000000000000000000e+00.14,0.000000000000000000e+00.12,-1.065938374687007834e-01,0.000000000000000000e+00.13,-0.000000000000000000e+00.15,-1.277254245543287259e-01,-1.124470516196350578e-01,2.340754387411817239e-01,-0.000000000000000000e+00.16,0.000000000000000000e+00.14,1.766387346234209827e-03,-0.000000000000000000e+00.17,-0.000000000000000000e+00.18,-3.708736672909446197e-01,-0.000000000000000000e+00.19,-3.089802806803443325e-01,-0.000000000000000000e+00.20,0.000000000000000000e+00.15,0.000000000000000000e+00.16,0.000000000000000000e+00.17,-0.000000000000000000e+00.21,0.000000000000000000e+00.18,0.000000000000000000e+00.19,-5.164342442850861081e-02,-0.000000000000000000e+00.22,-0.000000000000000000e+00.23,-4.028614858604767646e-02,0.000000000000000000e+00.20,-0.000000000000000000e+00.24,-0.000000000000000000e+00.25,-0.000000000000000000e+00.26,-0.000000000000000000e+00.27,-0.000000000000000000e+00.28,0.000000000000000000e+00.21,-0.000000000000000000e+00.29,-0.000000000000000000e+00.30,0.000000000000000000e+00.22,-0.000000000000000000e+00.31,-1.013279523572600538e-01,0.000000000000000000e+00.23,-0.000000000000000000e+00.32,0.000000000000000000e+00.24,0.000000000000000000e+00.25,-0.000000000000000000e+00.33,-0.000000000000000000e+00.34,2.319256765239220419e-01,-0.000000000000000000e+00.35,-0.000000000000000000e+00.36,5.340176898872411176e-02,0.000000000000000000e+00.26,-0.000000000000000000e+00.37,-0.000000000000000000e+00.38,-0.000000000000000000e+00.39,-1.250857101942053629e-01,-0.000000000000000000e+00.40,-0.000000000000000000e+00.41,-0.000000000000000000e+00.42,-0.000000000000000000e+00.43,-1.163456294370054794e-01,0.000000000000000000e+00.27,0.000000000000000000e+00.28,0.000000000000000000e+00.29,-0.000000000000000000e+00.44,-3.251199628538753439e-01,-5.695165395959183446e-02
-0.0,2.8460983861944045,-0.25480332377509246,-0.2723679035230191,-0.08187910956822778,-0.0,-0.0,-0.5091535285186152,-0.000123984553028741,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.05338987341510533,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.05128064365312126,0.0,-0.0,-0.06492268792202345,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.03147875004287514,-0.0,-0.09571312400188275,-0.0,-0.0,-0.0,-0.0,-0.002708406554263172,-0.0,-0.0,-0.6810994130096419,0.0,-0.0,-0.4532980615304318,-0.0,-0.0,-0.5312925344987068,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.11454186094978631,-0.03591558095984277,0.0,-0.08418729602712206,-0.0,-0.02720619865027625,-0.0,0.0,-0.02096751573919327,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.07444922425109017,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
-0.05770281590998604,-0.25480332377509246,2.2368912427658887,0.0,0.0,-0.6699628467823485,0.0,-0.33507503143916173,-0.0,0.0,-0.0,0.0,0.0,-0.051456780547611235,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.03922668122413664,0.11379570317935128,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.2152629787819191,0.0,0.0,-0.0,0.16875522096000486,0.0,-0.1712973701175673,-0.15605751584468447,-0.0,-0.1855737608212242,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.03140306044739587,0.0,-0.0,-0.0,-0.1297722019760938,0.0,0.07655908139316793,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.21138149061690184,0.023262876683373453,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.0,-0.2723679035230191,0.0,1.9191181770066432,-0.3922586442618232,0.0,-0.05541106922147465,-0.0,0.1662766617207392,-0.09166872555569187,0.0,-0.0,-0.0,-0.0,-0.028853922903050364,-0.07103512998528626,-0.0,-0.0,-0.16355829193387927,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.05230589005658189,0.0,0.0,-0.0,-0.0,0.09336565106300135,-0.0708104280757831,-0.0,-0.0,0.0,0.01834987697493089,-0.0,0.0,-0.0,0.0,0.0,0.00919092947779506,0.0,0.0,0.18964971301810285,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.11868051219762941,-0.6886378077655092,-0.0,0.0,-0.0,0.0,-0.0,0.21125312169517163,-0.0,-0.0,0.0,0.0,-0.03095636611598488,-0.03721887411901344,0.0,-0.0,-0.0,-0.0,-0.0023769387347458604,0.2024570864744205,0.0,-0.0,-0.0,0.0,-0.0,0.04303763680207891,0.0,0.0,-0.0,0.0,0.0,-0.02680372423728059,0.0,-0.0,-0.02945580220287172,0.0,0.1535564353569066,0.04945346626368563,-0.0,0.0,0.0,0.062328739266001354,0.0,0.0,-0.0,-0.0,0.0,-0.0
0.0,-0.08187910956822778,0.0,-0.3922586442618232,3.069985993897388,-0.0,-0.0,-0.20850338161319656,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.12205908546336688,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.028558160774126803,0.0,-0.0,0.0,0.0,-0.0,0.0,0.009910473505465698,0.0,0.0,-0.0,0.024114966750114583,0.04281305958213324,0.0,0.0,0.0,0.0,-0.0,0.014651477406861997,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.17476926543806623,-0.0,-1.0528796890244911,-0.9731413596103654,0.0,-0.0,-0.01555398694958391,-0.0,0.0,0.17229450685121936,0.033384748406325646,0.0,0.31230317549021613,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.028632718580764695,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.01840377961293225,0.018502844157581515,0.036988106463622085,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
0.0,-0.0,-0.6699628467823485,0.0,-0.0,3.8058408161535313,0.0,-0.0,-0.28087761948194867,0.0,-0.0,0.0,0.0,0.0,0.09194264390044253,0.0,0.0,0.0,0.04131492223400443,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.2634905608114796,-0.1549785706582907,-0.03511405900386417,-0.0,0.0,0.0,0.0,-0.0,-0.029185584894418568,-0.0,0.0,-0.0,0.0,0.05065473902806435,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.06767522808674965,-0.0,-1.5330879513200326,-0.898981544980393,-0.0,-0.0,-0.0,-0.0,-0.0,0.07643689820690806,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.007426754677061892,-0.34881645506815767,0.09162485693576393,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.054732190792240225,0.0786941728225978,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
-0.0,-0.0,0.0,-0.05541106922147465,-0.0,0.0,2.1802364836776453,-0.0,0.0,-0.0985761191039776,-0.011670318690435272,-0.0,-0.0,-0.03064363206616528,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.133619800294579,0.0,0.0,-0.06579451824103899,-0.0,0.0,-0.0,-0.0,0.10891012686076008,0.0,0.056689727070402506,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.07631036906093273,0.08397503210829754,0.0,0.0,0.0023784611169009023,-0.0,0.0,-0.06411812681232529,-0.0005291617380726032,-0.8579057821962572,-0.05414703954988065,0.0,0.0,-0.6000460131930534,0.0,-0.09126840233075063,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.13735699730943016,-0.0,-0.16392688002862407,-0.0889076175761663,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.13523556289229438,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.08426593053365326,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
-0.0,-0.5091535285186152,-0.33507503143916173,-0.0,-0.20850338161319656,-0.0,-0.0,4.185993822393372,-0.5626263224877708,-0.0,-0.1285495088551962,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.23822746355115257,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.00031215321498255185,-0.0,-0.0,0.07971781828427926,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-1.2769694867610095,-1.1968280019362123,-0.0,-0.0,0.0,0.0,0.0,0.22795356800420424,0.0,0.0,0.09593987923562515,-0.0,-0.0,-0.10493847577554348,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.10244553884638524,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.053110100852690696,0.00914831436422236
0.0,-0.000123984553028741,-0.0,0.1662766617207392,-0.0,-0.28087761948194867,0.0,-0.5626263224877708,3.6566801472377697,-0.0,-0.0780959951432055,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.04070285949828938,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.11875633265968528,-0.0,0.0,0.0,-0.1105186548975486,-0.0592269477519955,0.0,-0.0,-0.04726994467124123,0.0,0.0,-0.0,-0.04087249219496943,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.10857648293843183,-0.0,0.0,0.0,-0.0,-0.9713414520247777,-0.0,-1.5889276300598818,-0.0,-0.0,0.0,0.008058636076639009,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.26189289011435324,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.10639002406839485,-0.0,0.0,0.0,0.0,0.0,0.0
-0.013828464631098327,-0.0,0.0,-0.09166872555569187,-0.0,0.0,-0.0985761191039776,-0.0,-0.0,2.315000184913676,-0.2019146021527968,-0.27899982242117066,-0.0,0.09513912847672584,-0.0,-0.012003022056568816,0.0,0.0,0.0,-0.0,0.0,0.0,0.03271739730307262,-0.0,-0.43624231342210407,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.164464631409109,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.06741172873941936,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.18873050712585235,-0.0,-0.0,-0.0,-0.0,-0.07258443152596011,-0.0,0.0,-0.0,-0.0,-0.0,-0.5577037850494975,-0.4047499400688941,-0.2526278316200225,-0.0,0.0,-0.0,-0.0,0.0,-0.06666885773342487,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.02039148803813656,-0.0,-0.0,-0.09030205746540579,0.0,-0.0514318733708928,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.016466136707875802,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.011670318690435272,-0.1285495088551962,-0.0780959951432055,-0.2019146021527968,1.5212133513514356,-0.4206273042013784,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.06407060915719345,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.19681305974532687,-0.050400542884036406,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.09200400837785504,0.0,-0.0,0.0,-0.0,0.0,0.11139848499284476,0.0,0.0,-0.1540922232598451,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.1046164247327825,-0.0,-0.11220251858522472,-0.032827193417119094,-0.06923495181617849,0.0,0.0,-0.0,0.0006136720100021777,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.008705881854726373,0.0,0.0,0.0,0.0,0.0,0.0,0.04196116690232197,0.0,0.0,0.0,0.0,0.08249613809156242,0.17851102841100316,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.10666324928259827,-0.0,0.0,-0.0
