3.033513942627463322e+00,-0.000000000000000000e+00,-0.000000000000000000e+00.1,0.000000000000000000e+00,0.000000000000000000e+00.1,0.000000000000000000e+00.2,-0.000000000000000000e+00.2,-0.000000000000000000e+00.3,0.000000000000000000e+00.3,-0.000000000000000000e+00.4,-0.000000000000000000e+00.5,0.000000000000000000e+00.4,-0.000000000000000000e+00.6,0.000000000000000000e+00.5,-0.000000000000000000e+00.7,-0.000000000000000000e+00.8,1.545616150439604042e-01,-2.694018855382305233e-01,0.000000000000000000e+00.6,-0.000000000000000000e+00.9,-0.000000000000000000e+00.10,-0.000000000000000000e+00.11,0.000000000000000000e+00.7,0.000000000000000000e+00.8,-3.669183923146933368e-02,0.000000000000000000e+00.9,0.000000000000000000e+00.10,0.000000000000000000e+00.11,0.000000000000000000e+00.12,1.414114638896974904e-02,-3.981522853401693318e-01,-0.000000000000000000e+00.12,-0.000000000000000000e+00.13,0.000000000000000000e+00.13,-0.000000000000000000e+00.14,-0.000000000000000000e+00.15,-0.000000000000000000e+00.16,0.000000000000000000e+00.14,4.852647293920678284e-02,5.271308763787115048e-02,-0.000000000000000000e+00.17,0.000000000000000000e+00.15,0.000000000000000000e+00.16,-0.000000000000000000e+00.18,-0.000000000000000000e+00.19,0.000000000000000000e+00.17,0.000000000000000000e+00.18,-0.000000000000000000e+00.20,-3.927614545120589051e-01,0.000000000000000000e+00.19,-1.497776032081570285e+00,-0.000000000000000000e+00.21,-0.000000000000000000e+00.22,-0.000000000000000000e+00.23,0.000000000000000000e+00.20,-0.000000000000000000e+00.24,-5.748364700160177830e-03,-0.000000000000000000e+00.25,0.000000000000000000e+00.21,0.000000000000000000e+00.22,0.000000000000000000e+00.23,0.000000000000000000e+00.24,-0.000000000000000000e+00.26,0.000000000000000000e+00.25,-0.000000000000000000e+00.27,-0.000000000000000000e+00.28,-1.584837495758385228e-01,0.000000000000000000e+00.26,-0.000000000000000000e+00.29,-1.862476500186582840e-01,-0.000000000000000000e+00.30,-0.000000000000000000e+00.31,0.000000000000000000e+00.27,0.000000000000000000e+00.28,9.574085957106302780e-02,0.000000000000000000e+00.29,0.000000000000000000e+00.30,0.000000000000000000e+00.31,0.000000000000000000e+00.32,-0.000000000000000000e+00.32,0.000000000000000000e+00.33,-0.000000000000000000e+00.33,-0.000000000000000000e+00.34,-1.019080678028801978e-01,0.000000000000000000e+00.34,6.245917933995970978e-03,0.000000000000000000e+00.35,4.626088490317566138e-02,-0.000000000000000000e+00.35,2.045528803836521581e-02,-0.000000000000000000e+00.36,-0.000000000000000000e+00.37,0.000000000000000000e+00.36,-0.000000000000000000e+00.38,0.000000000000000000e+00.37,-0.000000000000000000e+00.39,0.000000000000000000e+00.38,-0.000000000000000000e+00.40,-1.402433327760781445e-01,0.000000000000000000e+00.39
-0.0,3.1955555078025655,-0.0,-0.5720365202436577,-0.5703045638214159,-0.0,-0.0,-0.03621925167530863,-0.06881728987577847,-0.0,-0.0,-0.0,-0.0,-0.14058447943792252,-0.0,-0.049400119024833454,0.0,-0.0,0.0,-0.01999388136300078,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.06673895140481724,-0.0,-0.0,0.0,-0.0,-0.129830371397821,0.0,0.0,0.0,-0.0,0.0,-0.05063517261251719,-0.01983824010612765,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.5125978396487599,-0.0,-0.0,-0.5407263893362927,-0.0,-0.0,-0.3332773136777134,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.2944476114549632,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.14993977186927696,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.002467779329000121,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.14389337143251932,-0.0,0.0,0.0,-0.0,0.0
-0.0,-0.0,5.726806463280356,0.0,-0.0,-1.4820455619438646,-0.3014233845960525,-0.5409316310241128,-0.238570920329734,-0.03540642868821108,-0.0,-0.0,-0.0,-0.0,-0.0,-0.09477213413830604,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.022129855549937967,0.0,0.0,0.0,0.0,-0.0,0.06696815180212302,-0.0,-0.8894858050474379,-0.0,-0.0,-1.030106550622408,-0.4869410059804719,-0.005937592373432676,-0.6608708725782976,-0.0,0.0,-0.0,0.0,-0.0,0.11049893902278438,-0.0,0.0,-0.0,0.030958064372928754,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.01966571593387031,-0.0,0.0
0.0,-0.5720365202436577,0.0,1.9465660846264807,-0.22554617358294052,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.08751893590104097,0.0,-0.0,0.0,0.0,-0.0,-0.011271312978341908,0.0,0.0015653348843325788,0.0,0.0,-0.0,0.08386627932614708,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0314181462917388,-0.0,-0.20588318138949288,-0.0,0.0,-0.0,0.0,-0.004875750917133743,-0.0,0.0,-0.0,0.0,-0.0,-0.44898965130396673,-0.023134788365659752,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.05461091948507132,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.01532785061451606,0.0,-0.0,-0.002349376251044561,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0689349574951982,0.0,-0.0,-0.0,-0.0,-0.0,-0.13040242709060068,-0.0,-0.0,0.0,-0.0,-0.10132613222004334,0.0,-0.04984848415840649,-0.0,-0.0,-0.0,-0.0
0.0,-0.5703045638214159,-0.0,-0.22554617358294052,3.5058184665956436,-0.0,-0.0,-0.0,-0.5796407898233217,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.08122729494931237,0.02740824022867588,0.0,0.0,0.0,0.0,-0.0,-0.08593507876688873,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.1468093060397981,-0.0,0.0,-0.0,0.0012239232940959612,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.029338765434109328,-0.7116904997570329,-1.0230780973329323,-0.0,-0.0,-0.204686236643752,0.0,0.009970718631209456,-0.0,0.0,-0.0,0.022225537285711375,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.012838821064734782,0.06547537457575497,-0.0,0.0,-0.0,0.005935698989912771,0.0,0.0,0.0,0.04744890131342976,0.0,0.0,0.0,0.0
0.0,-0.0,-1.4820455619438646,0.0,-0.0,6.259865941451425,-0.0,-0.0,-1.0983187314251832,-0.04832400931405911,-0.0,-0.0,-0.16163963976852008,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.02834894890802273,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.010202187193455003,-0.0,-0.0,-0.9775709740864784,-1.8572635352023104,-0.0,-0.6700548358164736,-0.0,0.0,-0.0,0.0,-0.0,0.04627190190047512,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.009617493191257076,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.031401635920436245,0.0,0.0,0.0,-0.0,0.0
-0.0,-0.0,-0.3014233845960525,-0.0,-0.0,-0.0,3.1132084580692694,-0.18728983406085703,-0.0,-0.2955625785467074,-0.0247332472316261,-0.0,-0.0,-0.0,-0.0,-0.5986663936165528,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.011072354340078867,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.015527543552086787,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.020254736589545852,-0.0,-0.015532115666669111,-0.3749131567623551,-0.0,-0.0,-0.0,-1.0671798121343392,-0.0,-0.0,0.0,0.0,0.0,-0.05004143133014934,0.0,-0.10545233682981256,0.0,-0.14840696366907377,-0.0,-0.0,-0.0,-0.0,-0.08559712781491884,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.015494709119024992,0.21162668435111656,-0.0,0.0,-0.0,0.0,0.009491117624375529,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
-0.0,-0.03621925167530863,-0.5409316310241128,-0.0,-0.0,-0.0,-0.18728983406085703,5.964309405812116,-0.020863231909362973,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.12341730237363432,-0.3849654893544536,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.03487657259632509,-1.3438701882761859,-0.0,-0.33686432415611767,-0.056811775777213275,-0.0,-1.9637770237829213,-0.9669225760604366,0.0,0.031902995761319844,0.0,0.0,-0.15888896776395212,0.04170767893932645,-0.0,0.0,-0.0,0.007185190746726877,-0.0,-0.07102929778100708,-0.0,-0.0,-0.0,0.0,0.014112633150900054,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
0.0,-0.06881728987577847,-0.238570920329734,0.0,-0.5796407898233217,-1.0983187314251832,-0.0,-0.020863231909362973,5.463356494937939,-0.0,0.0,-0.0,-0.17118578304271623,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.14328994152598756,0.0,0.0,0.0,0.0,0.0,-0.8485375439667762,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.057284486372194285,0.0,0.0,0.0,0.15561515863575107,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.4664409009973715,-0.5666301635763885,-0.0,-1.6104601391800988,-0.0,0.0,-0.0,-0.0,-0.0,0.12387528530278816,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.013737671616543243,-0.0,0.021534102602372287,0.0,0.003380092438175412,0.0,-0.0
-0.0,-0.0,-0.03540642868821108,-0.0,0.0,-0.04832400931405911,-0.2955625785467074,0.0,-0.0,2.962400449581294,-0.29327639841523634,-1.180242219846947,-0.0,-0.0,-0.26921433891314633,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0032503881979786134,0.0,-0.4007793142863656,-0.0,0.12237637109469247,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.10624571435298417,0.0,0.0,0.0,-0.0,0.0,0.09595359085826637,0.0,-0.0,-0.0,0.0,0.070145487979092,0.0,0.0,-0.0,0.08079762762900387,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.5255154575638321,-0.10609506807692103,-0.0,0.0,-0.0,0.0,-0.013236905845694156,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.025205216983663927,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.03481678883978436,0.0,0.0,0.0,0.0,-0.2745791869907473,0.07103261191544805,-0.0,-0.08047059771935373,0.0,0.0,-0.0,-0.0
-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0247332472316261,-0.0,0.0,-0.29327639841523634,1.8808392201901256,-0.45406616241806613,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.02408853180197753,0.0,0.0,0.0,-0.21506682759395157,0.0,0.0,-0.11008284193240596,0.0,-0.0,0.0,0.10029931457915488,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.24924907593300527,-0.0,-0.0,-0.06471429740881379,-0.0,-0.0,-0.014469701515347051,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.42333168878323973,0.0,-0.006827732692509161,-0.00032112892380138614,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.05264113107883914,-0.1242380971838866,0.0,-0.04585193829393398,0.0,0.036823763437702633,0.0,0.0,0.14843930748895973,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.08420207618193366,-0.0,-0.0,-0.0,-0.0
