2.023439892532204354e+00,-0.000000000000000000e+00,-5.522501201096205459e-02,-0.000000000000000000e+00.1,0.000000000000000000e+00,-0.000000000000000000e+00.2,0.000000000000000000e+00.1,-0.000000000000000000e+00.3,2.511801786999624461e-02,0.000000000000000000e+00.2,0.000000000000000000e+00.3,9.194426718550388622e-02,0.000000000000000000e+00.4,0.000000000000000000e+00.5,0.000000000000000000e+00.6,-4.181255671844784638e-01,0.000000000000000000e+00.7,-5.647754577871032244e-02,-0.000000000000000000e+00.4,-0.000000000000000000e+00.5,0.000000000000000000e+00.8,-7.582116858552097327e-02,-0.000000000000000000e+00.6,1.865181649222621973e-01,-1.090344092338867699e-01,0.000000000000000000e+00.9,0.000000000000000000e+00.10,0.000000000000000000e+00.11,-0.000000000000000000e+00.7,0.000000000000000000e+00.12,0.000000000000000000e+00.13,-1.263824941035812666e-01,-5.152314262357491348e-01,-0.000000000000000000e+00.8,-0.000000000000000000e+00.9,0.000000000000000000e+00.14,-0.000000000000000000e+00.10,-0.000000000000000000e+00.11,-0.000000000000000000e+00.12,0.000000000000000000e+00.15,-0.000000000000000000e+00.13,9.311977491099869553e-02,-0.000000000000000000e+00.14,-0.000000000000000000e+00.15,0.000000000000000000e+00.16,-0.000000000000000000e+00.16,-0.000000000000000000e+00.17,-7.097812092497804426e-02,-1.415921753572489672e-01,-0.000000000000000000e+00.18,-5.135002103293558884e-01,-0.000000000000000000e+00.19,2.285322735466976118e-01,0.000000000000000000e+00.17,-0.000000000000000000e+00.20,-0.000000000000000000e+00.21,0.000000000000000000e+00.18,1.007900416348584405e-01,5.840843231095055321e-02,-0.000000000000000000e+00.22,0.000000000000000000e+00.19,0.000000000000000000e+00.20,0.000000000000000000e+00.21,-5.915739885365580569e-02,-0.000000000000000000e+00.23,0.000000000000000000e+00.22,0.000000000000000000e+00.23,0.000000000000000000e+00.24,1.607351063059330731e-01,0.000000000000000000e+00.25,0.000000000000000000e+00.26,0.000000000000000000e+00.27,-0.000000000000000000e+00.24,1.894243234609989113e-01,0.000000000000000000e+00.28,-1.142223420000424428e-01,-0.000000000000000000e+00.25,0.000000000000000000e+00.29,0.000000000000000000e+00.30,1.713903143765545256e-01,0.000000000000000000e+00.31,1.542221716131526033e-01,2.027546194346851460e-01,0.000000000000000000e+00.32,-0.000000000000000000e+00.26,-1.915927592615686015e-01,-0.000000000000000000e+00.27,0.000000000000000000e+00.33,6.870060474993719413e-02,5.118578962375112257e-02,1.379974799820153919e-01,-0.000000000000000000e+00.28,0.000000000000000000e+00.34,-0.000000000000000000e+00.29,0.000000000000000000e+00.35,0.000000000000000000e+00.36,0.000000000000000000e+00.37,-0.000000000000000000e+00.30,-8.453314634319691878e-02,-0.000000000000000000e+00.31
-0.0,3.1181968019071715,-0.0,-0.6070201072657461,-0.13071508870681492,0.0,0.0,-0.0,0.0,0.0,0.03223508149063381,0.0,0.0,0.0,-0.0,-0.518211849968535,0.0,-0.0,0.0,-0.0,0.0,0.11377887479614925,-0.0,-0.0,-0.008047166654351685,0.0,-0.14379482781884903,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.11331210120467997,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.1045405045606714,-0.9360296220581331,-0.0,-0.24487547368710555,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.05388807209867586,0.0,-0.0,-0.0,0.0,-0.0,-0.07842988782102228,-0.0,0.0,0.0,-0.0,0.0,-0.15347944037980393,-0.0,-0.33404048324279084,-0.0,-0.0,0.0,-0.0,-0.19813042383900584,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.2586244189018048,-0.32644484704559035,0.0,0.0
-0.05522501201096205,-0.0,3.1295342885785646,0.0,0.0,-0.0,-0.2747553465656215,-0.2688767988150505,-0.4735877245829664,0.0,0.0036072134668335616,0.06868798303407178,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.00015344572740949643,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-1.0679400859753403,0.0,0.17932775749628443,-0.0,-1.0330430536499935,-0.1314495668523811,-0.0,0.0,0.0,0.07836597596399576,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0004021314566480586,0.2584036313254188,-0.0,0.0,-0.0,0.0,0.0,0.0,0.19209800015632647,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.010377735682783091,0.0,-0.0,-0.06339009409167597,-0.15365049736660777,-0.0,0.0,0.0,0.0,-0.0,0.0
-0.0,-0.6070201072657461,0.0,2.5325336711073367,-0.06522601384006657,-0.0,0.0,-0.010884699915116673,-0.0,-0.17759681597904808,0.0,-0.0,-0.0,-0.0,-0.20268934898939647,-0.22065395597359708,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.04575599461267981,-0.05410191271077992,-0.0,0.0,0.0,0.0,-0.0,-0.11775404465559094,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027800187568812775,0.0,0.24270125859082425,-0.8000460920771341,-0.0,0.0,0.0,-0.4572223855843031,0.0,-0.0,0.0,0.0,-0.019198311793876533,-0.05023995334387148,-0.23509187793931363,-0.0,0.2109203044338852,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.06714803557545468,0.0,0.0,0.0,-0.0,-0.0,-0.03695638035083606,-0.0,-0.0,0.0,0.0,0.0,0.14022838599413023,0.06941856268964686,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.13071508870681492,0.0,-0.06522601384006657,2.519830039219046,-0.0,0.0,0.03946964120334966,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.10111568955449254,0.0,0.0,0.06049504778412897,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.20640546692324632,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-1.4244012608307175,-0.7151739109666486,0.0,0.0,0.0,0.0,0.042218770403422194,0.17536770400782975,0.0,-0.0,0.0,-0.0,-0.13758324471301783,0.0,0.113317291351071,0.2128223106187248,0.0,-0.012748508474507812,0.0,0.0,0.0,0.0,0.0,-0.0028505195613507013,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.05632230941268668,0.0,-0.0,0.0,-0.0,-0.0,-0.1738089363206863,0.17416738491961065,0.02282402600990203,0.0,0.0,0.0,-0.0,0.03536817870490912,-0.0,-0.0
-0.0,0.0,-0.0,-0.0,-0.0,4.865416399513097,-0.0,0.0,-0.5268737117631013,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.13676766389760922,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.015575383561608935,-0.0,-0.0,-0.0,-0.0,-0.0,-0.006846307306819188,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-1.6187814787857833,-1.5873672243936352,0.0,-0.0,-0.0,-0.0942871934993047,-0.0,-0.0071496463580645545,-0.0,0.0,0.0,-0.0,0.0,0.0,0.022974201144682058,0.0,-0.0,0.10245382073010574,0.028752202497722357,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0527878767498803,0.0,0.0,0.0,0.20343056221622907,0.0,-0.0,-0.0,-0.0,0.0396238341063063,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.1058382651110838,0.07280345361523388,-1.1165412789066436,0.0
0.0,0.0,-0.2747553465656215,0.0,0.0,-0.0,3.683749199496984,-0.3025199984303972,-0.14570201128380847,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.10970609641512478,-0.20448569643774617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.30058408163083306,0.0,-0.3224162591694949,-0.0,-0.2691992283824126,-0.9494081458062682,-0.0,-0.0,-0.0,-0.005558143945705721,-0.4753966034280936,-0.0,-0.0,-0.0,-0.6453190867365249,0.0,-0.0,-0.0172284874268278,0.16712913459374207,-0.0,0.0,-0.0,-0.0,0.08164713744876385,0.0,0.0,-0.09528022329834569,0.0,-0.0,-0.0,0.0,-0.20433042401764248,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.02650523639240996,0.0,0.19985518048548456,-0.0,0.045271257901800734,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.09894051458471953,-0.0,-0.0,-0.0,0.0,0.0,-0.0
-0.0,-0.0,-0.2688767988150505,-0.010884699915116673,0.03946964120334966,0.0,-0.3025199984303972,2.9332355736885933,-0.3344538163020353,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.38835128352655074,0.0,-0.2555575426192279,-0.0,-0.0,-0.007289139913229131,0.08689939683084373,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.01263329678379344,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.1098414905313834,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.48557207815770903,-0.9749266453204488,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.005527782543400098,-0.0,-0.17442510876757608,-0.0,0.0,0.0,-0.0,-0.0,0.43117877839109026,0.18545820117582895,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
0.025118017869996245,0.0,-0.4735877245829664,-0.0,-0.0,-0.5268737117631013,-0.14570201128380847,-0.3344538163020353,3.253500173844123,-0.0,-0.08268898195154031,-0.0,-0.0,-0.0,-0.07814973290951983,0.0,0.0,0.0,-0.0,-0.0,-0.22670154659303177,0.0,0.0,0.0,0.0,-0.05250570837404845,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.06911837694172515,-0.05374663987201398,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.22855665728485977,-0.0,-0.0,0.0,-0.0,-0.7765651060515457,-0.0,-0.6013121944821209,0.0,0.0,0.0,-0.0,-0.0,0.008132905829215671,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.02337313365245276,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.06681459695080762,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.43963090901548807,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.01907482263999139,-0.0,0.0
0.0,0.0,0.0,-0.17759681597904808,0.0,-0.0,0.0,-0.0,-0.0,2.6026099658358097,-0.2887157095738003,-0.3152967480256451,-0.037396765951399354,-0.0,-0.30512865450254834,-0.0,-0.04924333237397684,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.3406964537057493,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.2388966810771388,-0.028137279765094704,-0.0,0.0,0.0,-0.0,-0.1453203523621832,-0.0,-0.10844551552682315,0.0,0.0,0.0,0.0,0.0,0.0,0.04687049782785167,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.04073412057858661,-0.1797870111718338,-0.27795716601062886,-0.5889860038212593,-0.0,-0.0,-0.0,-0.0,-0.1726681331442798,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.1255246978752103,-0.0,-0.0,-0.0,-0.0,-0.0,0.08619675351945007,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.12304708058485096,0.0,0.0,0.0,-0.0,-0.088754690140875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.03223508149063381,0.0036072134668335616,0.0,0.0,-0.0,-0.0,0.0,-0.08268898195154031,-0.2887157095738003,2.3924127828712254,-0.4918647518088624,0.0,0.0,-0.6185219781911627,0.036345674636807976,0.0,0.0,0.01985659557452837,-0.0,-0.0,0.0,-0.0,-0.0,-0.0021237948960395967,-0.15180119632133143,0.0,0.0,-0.7458089455955171,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.17333521630564674,-0.08593119966808864,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.13810798227453217,-0.0,0.0,-0.0,-0.0,-0.03255918660308437,0.0,0.05107141532135564,-0.0,0.09227214738689357,0.0,0.0,0.0,0.0,0.0,-0.09859693250950403,0.0,0.0,0.0,0.0,0.13723556667091943,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0406003368434797,0.0,0.0,-0.0,0.0,-0.0,0.19505258222634847,-0.0,0.0,0.0,-0.0,-0.0,0.19405025309089924,0.10450341466444898,0.0,-0.0,0.1679917772979439,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0301628962072599,-0.0,-0.0,0.0,0.0,-0.0
