2.242257003132585247e+00,-1.220006623063521305e-02,-1.957500085168242532e-01,-0.000000000000000000e+00,-0.000000000000000000e+00.1,0.000000000000000000e+00,-2.122820633444709795e-02,-0.000000000000000000e+00.2,-0.000000000000000000e+00.3,-0.000000000000000000e+00.4,0.000000000000000000e+00.1,0.000000000000000000e+00.2,-0.000000000000000000e+00.5,0.000000000000000000e+00.3,-0.000000000000000000e+00.6,-9.210926160094538850e-02,0.000000000000000000e+00.4,-0.000000000000000000e+00.7,0.000000000000000000e+00.5,-0.000000000000000000e+00.8,0.000000000000000000e+00.6,0.000000000000000000e+00.7,0.000000000000000000e+00.8,1.704922807259497408e-01,-0.000000000000000000e+00.9,2.112941077152312719e-01,-0.000000000000000000e+00.10,0.000000000000000000e+00.9,-0.000000000000000000e+00.11,0.000000000000000000e+00.10,0.000000000000000000e+00.11,0.000000000000000000e+00.12,-0.000000000000000000e+00.12,-0.000000000000000000e+00.13,3.929047633052739491e-02,-0.000000000000000000e+00.14,-0.000000000000000000e+00.15,-0.000000000000000000e+00.16,1.509380459471217628e-01,0.000000000000000000e+00.13,-2.459930054298421487e-01,0.000000000000000000e+00.14,9.231588644314465963e-02,-0.000000000000000000e+00.17,0.000000000000000000e+00.15,0.000000000000000000e+00.16,0.000000000000000000e+00.17,-0.000000000000000000e+00.18,-3.434344568887836013e-01,-9.374287206965252472e-02,-7.035549296214232973e-02,-0.000000000000000000e+00.19,0.000000000000000000e+00.18,0.000000000000000000e+00.19,0.000000000000000000e+00.20,-0.000000000000000000e+00.20,-0.000000000000000000e+00.21,-0.000000000000000000e+00.22,0.000000000000000000e+00.21,-5.012547537720508234e-02,-5.538410205483856180e-02,-0.000000000000000000e+00.23,-0.000000000000000000e+00.24,0.000000000000000000e+00.22,0.000000000000000000e+00.23,-0.000000000000000000e+00.25,-5.072846813330063320e-02,-0.000000000000000000e+00.26,1.289052999909115760e-01,-0.000000000000000000e+00.27,0.000000000000000000e+00.24,0.000000000000000000e+00.25,-0.000000000000000000e+00.28,-0.000000000000000000e+00.29,0.000000000000000000e+00.26,0.000000000000000000e+00.27,-0.000000000000000000e+00.30,-0.000000000000000000e+00.31,0.000000000000000000e+00.28,3.569063464939244423e-01,-0.000000000000000000e+00.32,0.000000000000000000e+00.29,0.000000000000000000e+00.30,-0.000000000000000000e+00.33,-0.000000000000000000e+00.34,-0.000000000000000000e+00.35,-0.000000000000000000e+00.36,0.000000000000000000e+00.31,-8.648468114105838100e-02,-1.447978953444320205e-01,5.372812783570456857e-02,0.000000000000000000e+00.32,-0.000000000000000000e+00.37,-0.000000000000000000e+00.38,4.332847304532232158e-02,-0.000000000000000000e+00.39,-0.000000000000000000e+00.40,-0.000000000000000000e+00.41,-3.271565557167453453e-01,-0.000000000000000000e+00.42
-0.012200066230635211,3.3595886091431995,-0.1769504642692897,-0.6738299528737418,-0.9261065474461122,-0.0,-0.0,-0.05896385031249913,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.663087840411682,0.0,-0.0,0.032784098554644765,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.007966225510873379,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.06152413740059556,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0016108884826685152,-0.0,0.0,-0.0,-0.0,-0.0026883120938537976,-0.07858156542557233,0.0,-0.4838932425368259,-0.0,-0.0,-0.0,-0.19032620729368677,-0.0,-0.1446752974709765,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.07433316940275038,-0.1319669795906142,-0.18408101137390365,-0.0,-0.032027719236394685,-0.002515353051265776,0.0,0.0,0.0,-0.08868277062969941,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
-0.19575000851682425,-0.1769504642692897,2.3185509816544285,0.0,-0.0,-0.3754931803219529,-0.0,0.0,-0.0015159601841752063,0.0,0.0,0.0,0.0,0.22649979093865324,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.17994979235777492,-0.19117204232159477,0.0,-0.0,0.0,0.0,0.0,0.0,-0.16811557119390058,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.27320198885178393,0.0,0.1095799689965472,-0.08582025270613294,-0.7226200043946707,-0.0,-0.0,0.0,0.0,-0.051346559099117325,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.20824257353628703,-0.0,-0.03390162338869736,-0.0,-0.0,-0.207763611070898,-0.0,-0.0,0.0,-0.14502693410288128,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.06491194213192561,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.07016868926628257,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
-0.0,-0.6738299528737418,0.0,3.1341522438513296,-0.21995498512122663,0.2413228917779456,-0.0,-0.5319344252704346,-0.0,-0.2594859790828985,-0.0,-0.0,-0.0,-0.0,0.0,-0.1889878639097204,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.053036359889403,0.0,-0.0,-0.19839576819669047,-0.0,0.0,0.0,-0.0,-0.06416506178361484,-0.0,-0.0,-0.18539934170511344,0.0,-0.0,-0.0,-0.05350297306327082,-0.0,-0.0,-0.0,-0.0,-0.1294031501765406,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.5332182195301011,0.0,0.0,-0.0,-0.0,0.0,-0.15445669304576423,-0.0,-0.0,0.0,-0.0,0.1436834786659692,0.0,-0.0,0.0,0.08364784103105789,0.0,0.0,0.0,0.050187842759096005,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.21283596651756737,0.0,0.0,-0.0,-0.09642085210116502,-0.3791978354074196,0.0,-0.0,0.0,0.0,0.4589116747036496,0.38065477668392134,-0.07892953401040238,0.0,0.0677974937561527,-0.0,0.0,0.0,0.0,-0.0
-0.0,-0.9261065474461122,-0.0,-0.21995498512122663,3.012934110959681,-0.0,0.0,-0.0,-0.22050237051561633,-0.0,-0.0,-0.1302106473987878,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.011774650197497122,-0.0,0.0,0.0,0.12645900909500843,0.0,-0.0,-0.0,-0.13809584297678063,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.08601101366462988,-0.0,0.0,-0.0,-0.03473401986914068,0.092194032307686,-0.0751604511035766,0.0,0.0,-0.0,-0.0,-0.0646900525697715,-0.003850175892790229,-0.0,-0.0,-0.18741845065847884,-0.5449897537006537,-0.5916169124670826,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.047711694601849354,-0.0,-0.0,0.1403881106380389,0.0,-0.0,-0.0,0.0,0.0,0.12900045390872744,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.04744980683517799,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.09847786556441303,-0.0,0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.3754931803219529,0.2413228917779456,-0.0,4.224135431876058,0.0,0.0,-0.46573869880928,0.0,-0.0,-0.0,0.0,0.0,-0.08825061728797103,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.09537045300151215,-0.0,0.0,-0.0,-0.32103594094830845,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.4849268239518409,-0.0,-0.0,-0.1472182859439865,-0.0,0.0,-1.2036616580484585,-1.5937197577530873,-0.0,-0.0,-0.0,0.0,-0.0,0.14502878692924476,-0.0,-0.0,-0.0,-0.0174407515757451,0.0,-0.0,-0.05530908839951428,-0.0,-0.0,-0.0,-0.0,0.08570661288982992,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.10557377054196436,0.0,-0.0,-0.0,-0.0,0.08010185975315406,0.0,-0.026692702809144223,0.31494187114199784,-0.04869316413849981,0.0,0.0,-0.0,-0.0,-0.0,0.0
-0.021228206334447094,-0.0,-0.0,-0.0,0.0,0.0,2.9918628382368118,-0.9130068199281856,-0.0,-0.0,0.0,0.4212341126814992,0.11703749702011804,0.0,-0.0,-0.31164191404517205,0.0,-0.24851217648896204,-0.0,-0.0,-0.07550802484047224,-0.0,-0.0,0.0,0.0,0.019999923033276443,0.0,0.0,-0.17958557407683895,0.0,0.0,-0.0,-0.07079661231750084,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.3829905978829984,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.19592868021749243,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.260459033246898,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.002560528795758071,-0.0,0.0,-0.0,0.0,0.0,0.14061887521656008,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.11356312958940776,-0.0,0.0,0.0,0.0,0.0,0.056429266112538574,-0.0,-0.0,0.0,-0.44058749394845687,-0.0
-0.0,-0.05896385031249913,0.0,-0.5319344252704346,-0.0,0.0,-0.9130068199281856,3.767587609947801,-0.5540210534995541,-0.0,0.0,0.0,0.09251559283139033,0.0,-0.0,-0.7692645156044395,0.20647753569659613,-0.10958336576577989,0.0,0.0,-0.1644639072115295,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.04365734194691424,-0.06352166715369192,-0.0,-0.0,0.0,0.32732729267193306,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.03216918876926997,0.24165979230899848,-0.0,0.0,0.0,0.014075193160313453,0.0,-0.07424032951329897,-0.0,-0.4162309199346281,0.0,0.0,-0.16857621000808423,-0.1156972362566981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.11694596148688388,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.06063733614559836,0.0,0.0,0.032331618865922965,0.013737403772125255,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.14693798647070103,0.0,-0.0,0.13035609559818923,0.0,0.0,0.0,0.0,-0.0,0.0
-0.0,-0.0,-0.0015159601841752063,-0.0,-0.22050237051561633,-0.46573869880928,-0.0,-0.5540210534995541,3.5901689069633567,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.14550004401130612,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.009557568939582302,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.08071703567810364,-0.4024906101831218,-0.019162736060539663,-0.0,-0.23858095033377688,-0.11368595150427308,-1.4155789694754852,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.28908232448656423,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-0.0,-0.0,0.0,-0.2594859790828985,-0.0,0.0,-0.0,-0.0,-0.0,2.28247442796992,-0.0,-0.0,0.0,-0.0,-0.06946008653772688,-0.0,-0.0,0.0,-0.0,-0.0,-0.007835110273405598,0.05487204100599802,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.021459190219054833,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.041473899206958376,-0.0,-0.0,-0.0,0.04363797217392025,0.0,-0.06454913703044131,-0.0,-0.0,0.0,0.01122508275173689,0.0,-0.0,0.1888233900232525,0.0,0.0,-0.0,-0.39816515219621257,-0.37398378492148227,-0.12819003431109655,-0.0,0.022731454564169785,-0.20004878234057596,-0.01484211071712395,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.26195052797305046,-0.1981899826359336,-0.46335354848346144,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.29183176724080956,-0.2694316539576199,-0.06809639295857008,0.0,0.0,-0.0,-0.0,0.0,0.0,0.03207561647042662,-0.0,-0.0,0.08941204048615362,-0.0,0.13511733072064208,-0.0,0.0,-0.0
0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,2.26963210756467,-0.23255691706207127,-0.0,-0.4695966847670699,-0.0,0.0,0.0,0.03943163476731983,0.0,-0.0,0.0,-0.0,0.04213154943518936,0.2707360550733029,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.3596649981612941,-0.0,0.0,0.0,0.0,0.0,-0.05774793576018704,-0.0,0.0,-0.0,0.0,-0.08212716528587545,-0.0,-0.0,-0.0032642214555472873,-0.036071821574788894,-0.0,-0.0016482382434067477,0.0,-0.0,-0.0,-0.6974743565684566,-0.6439188961753168,-0.0,-0.055222411060335354,0.0,-0.0,-0.0,-0.30899782705148143,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0683561210596352,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.15280987481862657,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
