1.767304140088616027e+00,-0.000000000000000000e+00,-9.089955165482220545e-02,-1.523876754568620762e-01,-0.000000000000000000e+00.1,-0.000000000000000000e+00.2,-0.000000000000000000e+00.3,-0.000000000000000000e+00.4,-0.000000000000000000e+00.5,-3.134309563756513400e-02,1.457053000248838825e-01,0.000000000000000000e+00,0.000000000000000000e+00.1,0.000000000000000000e+00.2,-0.000000000000000000e+00.6,-4.408018989050718067e-02,-2.029446492845147360e-03,-0.000000000000000000e+00.7,-0.000000000000000000e+00.8,-1.018740663203695218e-01,-0.000000000000000000e+00.9,0.000000000000000000e+00.3,-3.701772830685038512e-02,0.000000000000000000e+00.4,-0.000000000000000000e+00.10,-0.000000000000000000e+00.11,-6.473011606172519861e-02,0.000000000000000000e+00.5,-0.000000000000000000e+00.12,-0.000000000000000000e+00.13,0.000000000000000000e+00.6,-0.000000000000000000e+00.14,-2.052958526666056882e-01,-0.000000000000000000e+00.15,-0.000000000000000000e+00.16,0.000000000000000000e+00.7,0.000000000000000000e+00.8,-0.000000000000000000e+00.17,0.000000000000000000e+00.9,0.000000000000000000e+00.10,-0.000000000000000000e+00.18,0.000000000000000000e+00.11,-0.000000000000000000e+00.19,-0.000000000000000000e+00.20,-0.000000000000000000e+00.21,0.000000000000000000e+00.12,0.000000000000000000e+00.13,-0.000000000000000000e+00.22,-0.000000000000000000e+00.23,-0.000000000000000000e+00.24,-0.000000000000000000e+00.25,0.000000000000000000e+00.14,0.000000000000000000e+00.15,-0.000000000000000000e+00.26,-0.000000000000000000e+00.27,-2.584179258990003114e-01,0.000000000000000000e+00.16,-0.000000000000000000e+00.28,-0.000000000000000000e+00.29,-0.000000000000000000e+00.30,-7.044019783794967793e-02,0.000000000000000000e+00.17,-0.000000000000000000e+00.31,-0.000000000000000000e+00.32,-0.000000000000000000e+00.33,-0.000000000000000000e+00.34,-0.000000000000000000e+00.35,-0.000000000000000000e+00.36,-0.000000000000000000e+00.37,-0.000000000000000000e+00.38,-1.021885222894931972e-01,0.000000000000000000e+00.18,-2.067929992063689271e-01,-0.000000000000000000e+00.39,-0.000000000000000000e+00.40,-0.000000000000000000e+00.41,-0.000000000000000000e+00.42,-0.000000000000000000e+00.43,0.000000000000000000e+00.19,-0.000000000000000000e+00.44,0.000000000000000000e+00.20,0.000000000000000000e+00.21,-0.000000000000000000e+00.45,-0.000000000000000000e+00.46,-1.845285012601457775e-01,-0.000000000000000000e+00.47,-0.000000000000000000e+00.48,-0.000000000000000000e+00.49,-0.000000000000000000e+00.50,0.000000000000000000e+00.22,0.000000000000000000e+00.23,-0.000000000000000000e+00.51,-0.000000000000000000e+00.52,0.000000000000000000e+00.24,-0.000000000000000000e+00.53,-0.000000000000000000e+00.54,0.000000000000000000e+00.25,-0.000000000000000000e+00.55,-2.089367889907897957e-01,-0.000000000000000000e+00.56
-0.0,4.272324852966626,-0.07097120028954348,-0.0,-0.43508360354862774,-0.8175901491969602,-0.0,-0.39653705457164984,-0.0,0.0,0.0,0.0,0.0,0.12595880864180783,0.0,-0.5272649506011925,-0.0,-0.12583417752161224,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.02450876488032261,-1.217616660886544,-0.0,-0.35797957930286267,-0.16929826763728995,-0.0,-0.348698871495876,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.004177865799630424,-0.0,-0.037422209143766975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.036512586860425626,-0.0,0.0,-0.0,0.0,0.0
-0.0908995516548222,-0.07097120028954348,3.5312887761039766,-0.0,-0.0,-0.15554536139866731,-0.0,-0.1680552887092305,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.12678780961578975,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.2281568461315496,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.14886224796471503,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1912056813194709,-0.0,-0.0,-0.6972130850814073,-0.07969625896312835,-0.21896303575028667,-0.5923934985179163,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.4861302421225022,-0.15595321268892712,-0.0,-0.0,-0.0,-0.0,-0.01062809293309728,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.005622849797513187,0.0,-0.10861373307320604,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.28249081878475096,-0.03269659079273056,-0.0,-0.0,-0.0,-0.0,-0.0
-0.15238767545686208,-0.0,-0.0,2.760749728210911,-0.6115918256268378,-0.0,-0.0,-0.11653987358146622,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.17700120778504227,-0.0,0.0,0.0,0.009236288482850083,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.1946670734644509,-0.03096878481962381,-0.0,0.0,-0.08018228992066269,-0.0,-0.24896048464896417,-0.0,-0.0,-0.0,0.0,0.16691545896340437,0.0,0.0,0.0,0.0,-1.512079563878742,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.05559262982665468,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1552050367859438,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.3694401602723724,0.0,-0.0,-0.0,-0.0,0.2074430498062674,0.0,0.0
-0.0,-0.43508360354862774,-0.0,-0.6115918256268378,2.524268768453332,-0.45620000990405624,-0.0,-0.0,-0.0,0.0,0.09307143832117788,-0.0,-0.0,0.0,0.22038383114057805,-0.005969979680529843,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.06657270030826679,-0.0,0.004615403332618249,0.10478783139556812,0.0,0.0,-0.034113299238619686,-0.13241145564459217,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.022268893954320915,-0.0,-0.0,0.09317608117435876,0.0,-0.0,-0.0032263552424804977,-0.0,-0.0,-0.5865821947152992,-0.0,0.0,-0.0,-0.0,-0.003312123910170864,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.18676516800824533,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.15846274903241567,-0.0,-0.07371130089694564,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.2712880068352341,-0.0,0.0,0.0,-0.0,-0.0
-0.0,-0.8175901491969602,-0.15554536139866731,-0.0,-0.45620000990405624,4.907348459403174,-0.0,0.0,-0.07310206849544691,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.240895339199756,0.02594093317388144,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1250849493127617,-0.0,0.0,0.0,0.0,-0.0,-0.15961994965877693,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.20987909184920756,-0.0,-0.0,-0.0,-0.0,-0.0,-1.9653307904535224,-0.8001559935198258,-0.0,-0.0,-0.0,0.0,-0.0,0.264349684005914,0.0,0.0,0.1846220775398369,0.3231830500698283,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.183350604820624,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2078558744707732,0.0,-0.0,0.0,0.0,-0.1041578934486802,-0.0,-0.07316717176516865,0.0,-0.0009794274246423971,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.2227260527999144,-1.522419671426789,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.19409472808943673,-0.0,-0.0,-0.0,-0.0,-0.5487959987509857,0.0,-0.11728796143865358,0.0,-0.0,-0.0,-0.0,0.0,-0.021467288265194083,-0.0,0.0,-0.17385825222496692,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.1659493944940781,-0.19935708807299593,0.0,-0.0,0.0,0.0,0.1236248238944196,-0.0,-0.0,0.0,0.0,0.0,-0.07068043510992167,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.24642707524953048,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.09753897735309941,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.02678460334313267,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0035491759521833954,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
-0.0,-0.39653705457164984,-0.1680552887092305,-0.11653987358146622,-0.0,0.0,-1.522419671426789,3.523558830794912,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.09152009372841183,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.32890100431249497,0.0,-0.0,0.2887612844918547,0.0,-0.0800725086687456,-0.1408810304503154,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.020424959780252935,0.0,-0.0,-0.0,0.0,-0.11226655231511974,0.0,0.0,-0.2326288678661296,-0.98896010407691,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.15477903811814775,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
-0.0,-0.0,-0.0,0.0,-0.0,-0.07310206849544691,-0.0,-0.0,2.908836879966816,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.011669498572979598,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.1351991583832404,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.006180555256467911,-0.0,-0.0,-0.06549668838627097,-0.0,-0.0,-0.0,-0.2102006241235152,-0.2902230826769386,0.0,-1.7460706932339896,-0.0,-0.0,-0.17252087640079553,-0.05293575120058816,-0.1260683449616644,-0.16627450693982995,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.1737304648487559,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.16522133759297797,-0.0,-0.0,-0.0,-0.010068658530035352,-0.0,-0.0,-0.0,-0.0
-0.031343095637565134,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,3.831792719590753,-0.1897925788618532,-0.17760047959639805,-0.0,-0.0,-0.0,-0.27618297289925986,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.1115661115676779,0.0,-0.09408702122692808,-0.0,-0.0,-0.0,-0.37479161741131606,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.24667616146298607,0.13859213505829432,0.0,0.0,-0.0,0.007163816921596136,0.0,0.0,0.0,0.0,0.0,0.01632621500479976,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0469117741035712,-0.12483388334706363,-0.0,-0.7282513386709876,-0.10219158490960928,-0.0,-0.0,-0.0,-0.009128639092531027,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2794977613516628,-0.006009930272492825,-0.3922355862687317,-0.0356314037400864,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
0.14570530002488388,0.0,-0.0,0.0,0.09307143832117788,0.0,-0.0,0.0,-0.0,-0.1897925788618532,2.4317832233283974,-0.7629562242112555,-0.0,-0.04885325404308453,-0.059538801272671915,-0.09824853507103523,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.409400410317336,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.08252503908269967,0.0,0.0,0.0,-0.23368800810920456,-0.0,0.0,0.1130468403648012,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.07021352541821846,-0.08476745991164142,-0.0,-0.0025175718141666995,-0.2598406422343203,-0.0,-0.0,-0.0765650851676652,-0.0,-0.07676320994871497,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.09202403097759294,-0.12669616158617136,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.017275232959698603,-0.0,-0.0,0.0,0.0,0.0,0.11505205091691909
