1.384538435673128065e+00,-0.000000000000000000e+00,-0.000000000000000000e+00.1,-0.000000000000000000e+00.2,-4.031052148517463851e-02,-9.899699563028404800e-03,0.000000000000000000e+00,-0.000000000000000000e+00.3,-0.000000000000000000e+00.4,0.000000000000000000e+00.1,0.000000000000000000e+00.2,0.000000000000000000e+00.3,-0.000000000000000000e+00.5,0.000000000000000000e+00.4,0.000000000000000000e+00.5,-0.000000000000000000e+00.6,2.710798242090898050e-03,0.000000000000000000e+00.6,0.000000000000000000e+00.7,-0.000000000000000000e+00.7,0.000000000000000000e+00.8,0.000000000000000000e+00.9,-0.000000000000000000e+00.8,5.772666041978161133e-02,-2.860308903338493192e-01,0.000000000000000000e+00.10,-0.000000000000000000e+00.9,-0.000000000000000000e+00.10,-1.097165597193970055e-01,6.699190864082421593e-02,-0.000000000000000000e+00.11,-3.940253202818962963e-01,-4.262285595425218537e-02,-0.000000000000000000e+00.12,-1.692325689741396577e-01,-0.000000000000000000e+00.13,-1.762619998086850312e-02,-5.710342972899340452e-02,-0.000000000000000000e+00.14,-0.000000000000000000e+00.15,-0.000000000000000000e+00.16,0.000000000000000000e+00.11,-7.516884826815012875e-03,-0.000000000000000000e+00.17,-0.000000000000000000e+00.18,-0.000000000000000000e+00.19,-0.000000000000000000e+00.20,-0.000000000000000000e+00.21,-0.000000000000000000e+00.22,-3.068969423696969040e-02,-9.701261592405644590e-03,-0.000000000000000000e+00.23,1.063007442836055721e-01,0.000000000000000000e+00.12,-0.000000000000000000e+00.24,-0.000000000000000000e+00.25,0.000000000000000000e+00.13,-0.000000000000000000e+00.26,-0.000000000000000000e+00.27,-0.000000000000000000e+00.28,1.341056140272635644e-01,0.000000000000000000e+00.14,6.876995170044798711e-02,0.000000000000000000e+00.15,0.000000000000000000e+00.16,3.153844027142066464e-02,-0.000000000000000000e+00.29,0.000000000000000000e+00.17,0.000000000000000000e+00.18,1.982612814574244431e-02,0.000000000000000000e+00.19,0.000000000000000000e+00.20,0.000000000000000000e+00.21,-0.000000000000000000e+00.30,-0.000000000000000000e+00.31,-4.446328235611268602e-03,-8.615060227602440446e-02,-0.000000000000000000e+00.32,-0.000000000000000000e+00.33,-0.000000000000000000e+00.34,0.000000000000000000e+00.22,0.000000000000000000e+00.23,-1.633618873818508122e-01,0.000000000000000000e+00.24,-0.000000000000000000e+00.35,0.000000000000000000e+00.25,-0.000000000000000000e+00.36,-0.000000000000000000e+00.37,-0.000000000000000000e+00.38,0.000000000000000000e+00.26,-0.000000000000000000e+00.39,-1.284062531229914483e-01,-0.000000000000000000e+00.40,-1.361433188702571018e-02,-0.000000000000000000e+00.41,-0.000000000000000000e+00.42,-0.000000000000000000e+00.43,0.000000000000000000e+00.27,-0.000000000000000000e+00.44,-0.000000000000000000e+00.45
-0.0,3.1845146100758415,-0.16970380907201513,-0.35451256408647436,-0.3032915317580159,-0.12258031529322028,-0.0,-0.27378680538267974,-0.2569356966113881,-0.17258215854725648,0.0,-0.0,-0.0,-0.0,-0.0,-0.45123034805796625,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.03365028051030203,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.12810762658928443,-0.0,-0.0,0.0,-0.0076148643614932674,0.05589851585049874,-0.00828295423466928,0.0,0.0,0.0,0.0,-0.0,0.0,-0.5795290849017689,-0.0,-0.15338305964916427,-0.46413617350951486,-0.0,-0.0,-0.08660582430456105,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.1182971822417182,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.01500806510783082,-0.0,-0.08970773623755049,0.0,0.0,0.0,0.0,-0.0
-0.0,-0.16970380907201513,2.715287147424524,-0.0,-0.0,-0.17773043866092628,-0.31899289359192046,-0.5781971779450478,-0.0,-0.0,-0.0,-0.10402068124264428,-0.0,-0.0,-0.016538743327879663,-0.0,-0.0,-0.008235962450366494,-0.0,-0.0,-0.134190448664255,-0.0,-0.2347873899543772,-0.0036187628279111656,-0.0,0.0,-0.0,0.0,-0.056137952389156115,-0.0,0.0,-0.0,-0.0,-0.0,-0.06513789753808183,-0.0,0.0,-0.0,-0.0,-0.08853797797003608,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.08056113827960294,-0.0,-0.0,-0.4117536924647524,-0.0,-0.0,-0.20313717613889387,-0.0,-0.040696036675396494,-0.30566949279445094,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.13122149942054676,-0.0,-0.0,-0.029977478463159977,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.07213616215795321,0.0,-0.0,0.0,0.08724994412958435,-0.0,0.00400527337424502,-0.0,-0.0,0.0,0.0,0.04188674997899907,-0.0,-0.0
-0.0,-0.35451256408647436,-0.0,3.380696675048724,-1.1609299628104914,0.0,-0.0,-0.62986146455566,-0.0,-0.10359855543878972,-0.0001169831021450462,-0.0,-0.04309214002776563,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.02529521113081488,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.12054115971940728,-0.1572643471733798,-0.11946421147003354,-0.0,-0.0,0.030645983570618852,-0.026884499422439725,-0.0,-0.03667094920348264,-0.0,0.0,-0.0,-0.0,0.007635898173632096,0.22822198548157677,0.0,0.0,-0.0,0.0,-0.0,0.30966551664520886,-0.0,0.0,-0.7891649893560446,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.023852359481419737,0.14362150279087182,0.0,0.0,-0.0,0.0,0.0,0.0,0.08375447722234419,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.027923229077765295,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.12823647546938996,0.0,0.0,0.004508898378639139,-0.0
-0.04031052148517464,-0.3032915317580159,-0.0,-1.1609299628104914,3.8877182576492335,-0.0,-0.0,-0.4641086986732571,-0.2234270174746848,-0.0,-0.12100951335760236,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.3906292874401629,-0.03408990091460602,-0.07222610368028173,-0.0,-0.0,0.0,-0.06502377258789604,-0.0,-0.0,0.0,-0.0,0.0,-0.056493863679141366,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.1478450472216913,-0.0,-1.2914162697601164,-0.00690616608440842,-0.0,-0.0,-0.16591632897157185,-0.02458557221888801,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.08138958516383038,0.0,0.0,0.04155218008042792,0.03364843216797207,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.003260093980813644,0.02490523635019122,-0.0,0.0,0.0,0.0,0.054574509929828395,-0.0
-0.009899699563028403,-0.12258031529322028,-0.17773043866092628,0.0,-0.0,2.4134674416843898,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.13817357715736348,-0.0,-0.0,-0.0,-0.0,-0.0,-0.16430981686391946,-0.0,-0.0,-0.0,-0.041275778196578565,-0.0,-0.04899922281611148,-0.0,0.0,-0.0,-0.0773431207850824,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.03203464445330695,-0.1981660012915514,-0.0,-0.0,0.0,-0.0,-0.5956040084440639,-0.8968807932878533,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.053042949444440886,0.0,0.11874261894436317,-0.0,0.00772767978547448,0.06614936173324525,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09058754483414008,0.0,-0.0,0.0,-0.0,-0.07967230059433854,-0.0,-0.0,-0.0,0.0,0.0,0.043940323525990595,-0.24950962032547783,-0.0
0.0,-0.0,-0.31899289359192046,-0.0,-0.0,-0.0,3.253012426669189,-0.6049007468801152,-0.0,-0.13748743516407963,0.0,-0.18279871727743477,0.0,-0.0,-0.03355784567921882,-0.7603881143912556,-0.06315199975202272,-0.0,-0.0,-0.0,-0.2736383054977054,-0.0,-0.0,-0.0947979130684963,-0.0,0.0,-0.0,0.0,-0.27617433514345235,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.03774219960310952,-0.0,-0.102346717080834,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.15330998060681808,-0.450579739889142,-0.0,-0.0,0.0,-0.008778235537204006,-0.24414418452302017,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.22114430926417397,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.09542302239825277,-0.0,-0.0,-0.0,-0.0,0.0,-0.022798985438229,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
-0.0,-0.27378680538267974,-0.5781971779450478,-0.62986146455566,-0.4641086986732571,-0.0,-0.6049007468801152,3.991147125032772,-0.0,-0.21815298222883567,-0.0,-0.0,0.0,-0.0,-0.0,-0.11956378146800033,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0018824580212636007,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.06003626043850144,-0.0,-0.0,-0.0,-0.0,-0.49373165901584937,-0.8161197623156385,-0.0,-0.19305809314189687,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.027213944757968404,0.19782365668727103,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.04315263272385787,0.03327438460758953,0.0,0.10698804016563768,-0.0,-0.0,-0.0,0.035318971454916206,0.22553984598829707,0.0,0.0
-0.0,-0.2569356966113881,-0.0,-0.0,-0.2234270174746848,-0.0,-0.0,-0.0,3.0671540182620327,-0.0755763191309044,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.019639131850362705,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.012370049177515954,-0.0,-0.06669351009532073,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1548765805582142,-0.12807481968919704,-0.0,0.0,-0.0,0.035416017392582703,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.19900591182231628,-0.8056943159672231,-0.0,-1.267871374782423,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.17344242102227928,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.05821617141442704,-0.0,0.0,-0.0,0.106243084737934,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
0.0,-0.17258215854725648,-0.0,-0.10359855543878972,-0.0,-0.0,-0.13748743516407963,-0.21815298222883567,-0.0755763191309044,1.8791335564392144,-0.09900002231459155,-0.0,-0.15450956987956957,-0.0,-0.04181532709010484,-0.18048289309602436,-0.0,-0.020381710031966347,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.30735013706468983,0.0,0.0,0.0,0.0,-0.0,-0.01957113982478112,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.2437361822643796,-0.0,-0.0,-0.0,-0.017344211467046473,0.0,0.05979002551438593,-0.0,0.0,-0.0,0.0463435634168652,-0.0,-0.08044635240869563,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.10953417467008524,-0.0,-0.09909023595618727,0.0,-0.002339380686823715,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.016122514561907837,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.05866000405867978,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.24578704906171217,-0.0,0.09334751829258935,0.0,0.0,-0.0
0.0,0.0,-0.0,-0.0001169831021450462,-0.12100951335760236,-0.0,0.0,-0.0,-0.0,-0.09900002231459155,1.8386485532026249,-0.5960367651282669,-0.002761866802930356,-0.0,-0.0,0.1937025684064688,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.14146650716836545,0.0,-0.3569279358574864,0.0,-0.0,0.0,-0.0,0.027151620143343616,-0.0,0.02168642977960342,0.0,-0.0,-0.0,0.0,0.0,0.24156425078093463,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.07759677943170752,-0.010856480069706098,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.2612875528995654,0.0,-0.0,-0.0,-0.23264777984594623,-0.0,-0.1379837687873623,0.0,0.0,0.0,-0.0,0.13826037800413263,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.13878498024158947,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.03704412959053457,0.0,-0.0,0.11140559825233567,0.0,-0.0,-0.0,0.09474930401807279,0.0,-0.0,-0.0,-0.0,0.0,0.024897254803088964,-0.0,-0.0
