1.936632024754776360e+00,-2.195759873761463088e-01,-1.145513352499119286e-01,-0.000000000000000000e+00,-0.000000000000000000e+00.1,-0.000000000000000000e+00.2,-0.000000000000000000e+00.3,-0.000000000000000000e+00.4,-0.000000000000000000e+00.5,-1.302014062066645383e-01,0.000000000000000000e+00,0.000000000000000000e+00.1,-0.000000000000000000e+00.6,0.000000000000000000e+00.2,-0.000000000000000000e+00.7,-1.470585256791121084e-03,0.000000000000000000e+00.3,0.000000000000000000e+00.4,0.000000000000000000e+00.5,-0.000000000000000000e+00.8,0.000000000000000000e+00.6,0.000000000000000000e+00.7,0.000000000000000000e+00.8,0.000000000000000000e+00.9,-1.025438574291676341e-01,-0.000000000000000000e+00.9,0.000000000000000000e+00.10,8.847284478127369345e-02,0.000000000000000000e+00.11,0.000000000000000000e+00.12,-0.000000000000000000e+00.10,-4.224707506617692565e-01,-2.265796156394446204e-01,0.000000000000000000e+00.13,0.000000000000000000e+00.14,-0.000000000000000000e+00.11,-0.000000000000000000e+00.12,-0.000000000000000000e+00.13,-0.000000000000000000e+00.14,-0.000000000000000000e+00.15,-4.808703277366156714e-02,-4.563583158432751863e-02,-0.000000000000000000e+00.16,6.296145084662078083e-03,-0.000000000000000000e+00.17,0.000000000000000000e+00.15,0.000000000000000000e+00.16,-0.000000000000000000e+00.18,-3.532790431999780489e-01,0.000000000000000000e+00.17,-4.598949818603077500e-01,-8.385062716101240876e-02,0.000000000000000000e+00.18,-0.000000000000000000e+00.19,-0.000000000000000000e+00.20,-0.000000000000000000e+00.21,-0.000000000000000000e+00.22,-0.000000000000000000e+00.23,0.000000000000000000e+00.19,-1.311646909377355563e-01,-0.000000000000000000e+00.24,8.350838740469331001e-03,0.000000000000000000e+00.20,0.000000000000000000e+00.21,1.481236181525535101e-01,-0.000000000000000000e+00.25,0.000000000000000000e+00.22,3.477204610298486598e-01,1.614681464508401767e-03,0.000000000000000000e+00.23,0.000000000000000000e+00.24,0.000000000000000000e+00.25,0.000000000000000000e+00.26,3.589080423741862480e-02,0.000000000000000000e+00.27,-6.760441951053437759e-02,0.000000000000000000e+00.28,0.000000000000000000e+00.29,0.000000000000000000e+00.30,0.000000000000000000e+00.31,0.000000000000000000e+00.32,-0.000000000000000000e+00.26,0.000000000000000000e+00.33,0.000000000000000000e+00.34,0.000000000000000000e+00.35,0.000000000000000000e+00.36,-0.000000000000000000e+00.27,0.000000000000000000e+00.37,0.000000000000000000e+00.38,2.573771923081042898e-02,1.246578073109471940e-01,0.000000000000000000e+00.39,0.000000000000000000e+00.40,-0.000000000000000000e+00.28,2.630903284899406558e-02,7.457829054245190825e-02,0.000000000000000000e+00.41,-0.000000000000000000e+00.29,-2.575168635077695889e-01,4.985382753808013934e-02
-0.2195759873761463,3.430104844893368,-0.29567700667423275,-0.0,-1.1912228977177306,-0.0,-0.09697834357686975,-0.0,-0.1185991170113366,0.0,0.0,0.0,0.0,0.0,0.07740125586349474,-0.614673944803236,0.0,-0.0,0.0,-0.22984974039665504,0.0,0.0,-0.0,0.0,-0.0,0.2504376116624804,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.008325523251850028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.7730830700090005,-0.0,-0.09559151914589363,-0.020852422597094432,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.12759361687352025,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.031200592892328047,-0.19610483442117113,-0.0,-0.0
-0.11455133524991191,-0.29567700667423275,3.4382684930432705,0.0,-0.0,-0.6171632594242645,-0.08943395324719766,-0.0,-0.40991367374855847,-0.01490164351633614,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.05521049921874562,0.0,-0.11758747289658916,-0.07240461132273847,0.0,-0.0821655107352979,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0021542498393415555,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.05133179256397656,0.0,0.2515351824286902,0.0,-0.0,0.0,-0.0,-0.6707759784922743,0.0,0.0,-0.42155236220862496,-0.8437801817017692,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.11384167402285011,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-4.684669302224088e-06,0.0,-0.0,0.0,-0.0,0.05379032208306345,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-0.0,-0.0,0.0,4.060053822002367,-0.7175067273341392,0.0,-0.12318992079165964,-1.1270494904310808,-0.0,-0.0,0.0,0.0,0.08960396220371798,0.0,-0.0,-0.2044155383303999,0.05932777439119632,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.420530748925541,-0.0,0.0,0.0,-0.0,-0.0,-0.06115302672688143,-0.0,-0.1008161916190714,0.0,-0.0,0.0,-0.0,-0.1499346984680477,-0.0,0.0,0.0,-0.0,0.023199393402157917,0.0,0.0,-1.732016533896708,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.08738955519747045,0.0,0.0,-0.0,-0.07848769290313731,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0041857843146435765,0.0,0.0,-0.0
-0.0,-1.1912228977177306,-0.0,-0.7175067273341392,4.116428815247033,-0.0,-0.0,-0.3258395106149046,-0.272800723912066,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.013678066748032966,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.08782343835241622,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.02084323892085388,-0.0,-0.18200654928734408,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.8917272331791034,-0.5679228410235124,0.0,-0.0,-0.0,0.177755168865418,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46014204232126166,0.0,0.0,0.0,0.07142509543498932,0.07398030210092536,0.25458105469220643,0.0,0.0,0.0,0.0,0.0,0.08126729331825373,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.4918541245223445,-0.0,0.0,0.01708469656968856,-0.013990416980931371,-0.0,0.0,-0.0
-0.0,-0.0,-0.6171632594242645,0.0,-0.0,4.635209770661176,-0.0,-0.0,-0.572399361703123,-0.0,-0.19721467323117153,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.16660952133228654,0.0,-0.0,-0.1729728074918808,-0.0,-0.0,-0.16361934583716903,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1739679547393593,-0.018677911666367727,-0.0,0.0,0.03903300627071058,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.09754327443041574,0.0,-0.6307102923016563,-0.0,-0.0,-0.0,0.0,0.0,-2.320108825206815,-0.11766430073512033,-0.0,-0.18483520199153636,-0.0,-0.0,0.0,-0.0,0.0,0.09602549581658462,0.0,0.0,0.0,0.021724014661217265,0.0,0.0,0.0,0.0,0.0018170335581857945,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.1605530814352951,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
-0.0,-0.09697834357686975,-0.08943395324719766,-0.12318992079165964,-0.0,-0.0,3.1695875244711993,-0.4148354048234064,-0.08652509098635584,-0.027599114855107607,0.0,-0.0,-0.0,-0.2373337681194063,-0.0,-0.30025933477236416,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.01004266939591045,0.0,0.11525045093660125,-0.0,0.0,-0.0,-0.06923589114746591,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.08640603629884043,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.1192328480708908,0.0,0.0,0.0,-0.33005583554182544,-0.199195495340922,-0.0,-0.0,-0.0,-0.47113171075487775,-0.11711714008812822,-0.0,-0.0,-0.0,-0.0,-0.0,-0.41222258829001635,-0.12512164789772764,-0.10173098237696213,-0.3812265178633413,-0.0,-0.0,-0.0095547436586374,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.2040639205440455,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.02333349046390981,0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-1.1270494904310808,-0.3258395106149046,-0.0,-0.4148354048234064,4.345047783932885,-0.42006749030384466,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.09814929845222378,-0.0,-0.05393729380639582,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0578879842379618,-0.0,-0.0,0.0,-0.0,-0.0,-0.03899681476774684,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.05702920809272297,0.0,0.0,0.1754953660318014,-0.0,0.0,-0.0,-0.034796442435100196,-0.0,-0.9143342095705038,-1.3715163875509937,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09190662532238988,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.046806229019501086,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.024977102563486894,0.036602650895436475,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0017872589613853755,0.0,0.0
-0.0,-0.1185991170113366,-0.40991367374855847,-0.0,-0.272800723912066,-0.572399361703123,-0.08652509098635584,-0.42006749030384466,4.656886414808201,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.2255535828972834,-0.0,0.05003269945633008,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.020108387404912127,0.0,-0.0,0.03948821942339872,-0.22801253052995923,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.002247247643633586,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.45325061235521186,-0.0,-2.0942551867227595,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.11442757889259147,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.08366749419806979,-0.012381224761174639,0.0,0.0,0.00021959460967322392,0.0,0.0,0.0931691740776895,0.0,-0.0,0.0,0.0,-0.0
-0.1302014062066645,0.0,-0.01490164351633614,-0.0,0.0,-0.0,-0.027599114855107607,-0.0,-0.0,2.232071943401773,-0.0,-0.06389147904414963,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.03385294425548244,-0.5126025074239272,-0.0,-0.0,-0.0,-0.1030880329606544,0.01163740830409351,-0.0,-0.0,-0.1299715751261777,0.0,0.0,-0.050653279145874086,-0.0,-0.11272663283740716,-0.08204768194500318,-0.0,-0.0,-0.0,-0.014105845895280297,-0.077469793419543,-0.06383198508650015,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.12298398601935152,0.1357679480049625,-0.0,-0.0,-0.0,0.0,-0.5993871898778457,-0.06591828572373512,-0.10581586937888415,-0.0,-0.1853978239096113,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.139381937315014,-0.05030879599243648,-0.14038022941714795,-0.0,0.06795994592897067,-0.0,0.0,-0.0,-0.0,-0.052648809964859496,-0.0,-0.0,-0.24213996207792465,-0.0,0.0,0.23392053466874052,-0.0,-0.059901631597646665,-0.0,-0.0,-0.0,0.0,-0.0,-0.07075296580197717,0.0
0.0,0.0,-0.0,0.0,-0.0,-0.19721467323117153,0.0,-0.0,-0.0,-0.0,1.6701011514901507,-0.546142022777614,-0.0,-0.0,-0.0,0.019015181133219056,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.10600207451479073,-0.2868624524893556,-0.2566547429741432,0.0,-0.0,-0.0,0.04120598439898394,0.0,0.03997446344969488,0.0,0.0,-0.0,-0.009609710910915153,-0.0,0.027878115485406207,0.0,0.0,-0.0974324462374055,-0.0,0.0,-0.0,0.1440116312153604,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.07032015182940284,-0.0,-0.0,-0.1416800400717747,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.11390013752631117,-0.0,0.0,-0.0,-0.028857011436499155,0.0,0.03163800155104965,0.008975248998488432,0.08964676096340388,-0.0,0.07981070867673734,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.1457346604803818,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
