1.607345137099573718e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-1.724764922578548090e-02,0.000000000000000000e+00.1,0.000000000000000000e+00.2,-0.000000000000000000e+00.1,-0.000000000000000000e+00.2,0.000000000000000000e+00.3,-0.000000000000000000e+00.3,-0.000000000000000000e+00.4,0.000000000000000000e+00.4,-0.000000000000000000e+00.5,-0.000000000000000000e+00.6,-0.000000000000000000e+00.7,-1.577751174535059753e-01,0.000000000000000000e+00.5,0.000000000000000000e+00.6,-0.000000000000000000e+00.8,-0.000000000000000000e+00.9,0.000000000000000000e+00.7,0.000000000000000000e+00.8,0.000000000000000000e+00.9,8.153074594754249060e-02,-2.513700499343314299e-01,9.603211169540568082e-02,0.000000000000000000e+00.10,0.000000000000000000e+00.11,-0.000000000000000000e+00.10,0.000000000000000000e+00.12,-0.000000000000000000e+00.11,-0.000000000000000000e+00.12,-2.014659647865678915e-01,0.000000000000000000e+00.13,0.000000000000000000e+00.14,-0.000000000000000000e+00.13,-1.625183578306912124e-01,-2.280211838558536819e-01,-0.000000000000000000e+00.14,0.000000000000000000e+00.15,-0.000000000000000000e+00.15,0.000000000000000000e+00.16,0.000000000000000000e+00.17,-0.000000000000000000e+00.16,-0.000000000000000000e+00.17,0.000000000000000000e+00.18,0.000000000000000000e+00.19,0.000000000000000000e+00.20,-1.566149342527311805e-01,-0.000000000000000000e+00.18,-1.723678543115488571e-01,0.000000000000000000e+00.21,0.000000000000000000e+00.22,1.629904194288872288e-01,0.000000000000000000e+00.23,-0.000000000000000000e+00.19,0.000000000000000000e+00.24,-0.000000000000000000e+00.20,-0.000000000000000000e+00.21,-0.000000000000000000e+00.22,0.000000000000000000e+00.25,-0.000000000000000000e+00.23,0.000000000000000000e+00.26,-0.000000000000000000e+00.24,-8.774197401567035426e-02,0.000000000000000000e+00.27,0.000000000000000000e+00.28,-0.000000000000000000e+00.25,0.000000000000000000e+00.29,0.000000000000000000e+00.30,0.000000000000000000e+00.31,0.000000000000000000e+00.32,2.454196013401637733e-01,0.000000000000000000e+00.33,-0.000000000000000000e+00.26,-0.000000000000000000e+00.27,-0.000000000000000000e+00.28,0.000000000000000000e+00.34,-0.000000000000000000e+00.29,-0.000000000000000000e+00.30,5.140345079948448193e-02,0.000000000000000000e+00.35,0.000000000000000000e+00.36,1.230649214816580683e-01,0.000000000000000000e+00.37,0.000000000000000000e+00.38,0.000000000000000000e+00.39,-0.000000000000000000e+00.31,-0.000000000000000000e+00.32,0.000000000000000000e+00.40,1.022633114075398170e-01,-0.000000000000000000e+00.33,0.000000000000000000e+00.41,-0.000000000000000000e+00.34,1.665840482532046640e-01,-3.327138021110987443e-01,-0.000000000000000000e+00.35,-0.000000000000000000e+00.36,-0.000000000000000000e+00.37,-6.058998875929678257e-02
0.0,2.9316356402102475,-0.4919628396460176,-0.0,-0.10848498872416595,-0.0,-0.13723743210779693,-0.08363386419915399,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2643508098114789,0.0,-0.0,-0.0,-0.006214378679052984,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.07905676035421279,-0.2796705505553179,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.5380310905321521,-0.13370336860125415,-0.0,-0.0,-0.0,-0.0,-0.08439005481062538,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.22910146030234743,-0.4149093853524773,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.13752086344711717,0.0,-0.0,-0.2449773928902236,-0.0,-0.1459332964643653,-0.0,-0.0,-0.0,0.014960727517262616,-0.09191662870929139,-0.0,-0.0,-0.0,-0.0,0.0,-0.011783895177675772,0.0,-0.01710122396643169,-0.0,-0.11460393547056044,-0.0
-0.0,-0.4919628396460176,4.413860819257681,0.0,-0.0,-0.4709410095333796,-0.4872057396787281,-0.0,-0.45047202914920054,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.20457804002312496,0.0908712068034404,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.050200983778018855,0.0,0.0,-0.015350788888940795,-0.0,-0.0,-0.8910735017304051,-0.0,0.0,-0.5327785354598298,-0.8324977816813506,-0.0,-0.1680493134044103,-0.0,-0.0,-0.06125348277739568,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.015738618552932862,-0.0,-0.0,0.0,0.0,-0.2017926947030413,0.0
-0.01724764922578548,-0.0,0.0,2.0052332720346966,-0.0,0.07791643988413521,-0.0,-0.5097587500014428,0.0,-0.12075966508773196,-0.0,-0.0,-0.0,-0.33816398008247406,-0.0,-0.0,0.0,0.21905944494123367,-0.004658301190859269,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.2388634334689863,0.07477110021725651,0.0,-0.0,-0.1875245888264748,-0.3669516081203472,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.020841187463597123,-0.10480841826904608,0.0,-0.07369932574748451,0.0,-0.21779652349179368,0.0,0.0,0.03893248704902615,0.0,-0.0,0.023951674988553624,0.24212555641555528,0.0,-0.7449890855170017,0.058444795103995674,0.0,0.0,-0.0,0.0,-0.062093386440516526,0.0,-0.0,0.0,-0.14778395262435867,-0.0035672382501361942,0.0,0.09318296434358589,-0.0,-0.0,0.0,0.0,0.0029940281948301725,0.12482686484590055,0.1298151892568075,0.06435462608630357,-0.0,0.011610055833144452,0.0,0.04866274144081117,0.0,0.0,-0.0,0.0,-0.20591097546218248,-0.04590472537707999,-0.0,0.0,0.0,-0.0,0.0,0.1884751385960528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04576240425401732,-0.0
0.0,-0.10848498872416595,-0.0,-0.0,2.592786159713839,-0.09975868044903549,0.0,-0.0,-0.0,0.0,-0.09015954338974679,0.0,0.20945933012658827,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.13132416271806313,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.015241623411585395,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05750531488165112,-0.0,-0.0,-0.0,0.0,-0.0,-0.1147951278844857,-0.8232359702014117,-0.7125567959358252,-0.0,-0.21919936126745587,-0.5958892217516736,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.04951237451618693,-0.0,-0.0
0.0,-0.0,-0.4709410095333796,0.07791643988413521,-0.09975868044903549,3.654572847069759,-0.0,-0.0,-0.7634938642916491,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.013315085771147216,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.12660744065322116,-0.0,-0.0,0.0,0.1162658549076096,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.31676953801816515,0.0,-0.11039256508234616,-0.0,-0.0,0.012275456204866631,-0.9936212857806797,-0.8417680506274675,0.0,-0.0,-0.0,-0.0,-0.12226678408767624,-0.0,-0.0,0.05989434416435464,-0.09638439317141204,-0.0,-0.0,0.055382324905549805,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.1969950896289756,0.0,-0.0,-0.0,-0.06342594003311933,0.0,0.0,0.03123681162626566,-0.0,0.0,0.0,0.0959178332440739,0.0,0.12506809609984704,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
-0.0,-0.13723743210779693,-0.4872057396787281,-0.0,0.0,-0.0,3.723184379614025,-0.7837002126652358,-0.0,-0.0,-0.0,-0.0,-0.3549631954692056,-0.0,-0.0,-1.2261868796234852,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.06108318410398559,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.3657753422939288,-0.0161970026588762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.1457412344798741,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.547390821417186,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.008034775912606212,-0.03594170474633056,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
-0.0,-0.08363386419915399,-0.0,-0.5097587500014428,-0.0,-0.0,-0.7837002126652358,3.9057171913946536,-0.7899391678135129,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.8984193021751117,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.6563861727280542,-0.0,0.0,-0.0,-0.08166707489004701,-0.0,-0.09262095651572928,0.0,-0.0,0.0,-0.0,-0.0,-0.07881475433395181,-0.0,0.0,-0.5073992731330604,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.319933256112285,-0.5554194911870913,-0.0,-0.06178223303440142,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.31381773608230373,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.03173178924780053,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.03231482158336153,0.0,-0.0,0.0
0.0,-0.0,-0.45047202914920054,0.0,-0.0,-0.7634938642916491,-0.0,-0.7899391678135129,4.898551054912136,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.2744697272950876,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8088180735332156,-0.0,-0.024677614705227655,-0.0,0.0,0.0,-0.13004613627264086,-0.0,-0.0,-0.0,0.0,-0.055060739245803056,-0.0,-0.5790622480488049,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.1420873058566889,-0.0,-1.503997073448112,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.023168049974083657,-0.0,-0.0,0.06553528913460344,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.19623868677790987,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
-0.0,-0.0,-0.0,-0.12075966508773196,0.0,-0.0,-0.0,-0.0,-0.0,2.8380394658824524,-0.22412161412701065,-0.0,-0.0,-0.0,-0.19659726578438777,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.13750615163082985,-0.0,-0.0,0.0,0.0,-0.0,-0.24314037558814977,-0.15436375176830336,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.2394788619840624,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.4871044406793745,-0.42777618876281936,-0.9936416753213649,-0.0,0.0,-0.08325602482136257,-0.0,-0.0,0.09418239054347652,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.1612294633231081,0.0,-0.0,0.0,0.0,-0.0,-0.05644560877736125,0.0,-0.0,0.0,0.0,0.0,0.03584189348149349,-0.0,-0.0,0.09486886312176301,-0.0,0.031026822165776305,0.0,-0.0,-0.0,0.0
-0.0,-0.0,-0.0,-0.0,-0.09015954338974679,-0.0,-0.0,-0.0,-0.0,-0.22412161412701065,1.7201055481958796,-0.2861260998792381,0.0,-0.0,-0.0,0.0,0.22659404998865268,0.021839303355136487,-0.0,0.0,0.0,0.07846767107378218,-0.0,-0.0,-0.0,-0.268905585788739,-0.05130682024400373,0.0,0.0,-0.0,-0.0,0.0,0.0,0.12220958018050516,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.3272547438678657,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.34156617181072574,0.2073392017500088,-0.0,-0.0,-0.08152342862558073,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.13660607129152003,0.0,-0.0,0.04404886555547069,-0.0,-0.23983091584186733,0.0,-0.0,0.0,0.11524845858869653,-0.0,-0.0,0.2501170861322494,-0.0,-0.04560755125628336,0.0,-0.0,-0.0,-0.0,0.0,0.13350661751443535,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
