1.711363449571637441e+00,-0.000000000000000000e+00,-0.000000000000000000e+00.1,-0.000000000000000000e+00.2,0.000000000000000000e+00,-0.000000000000000000e+00.3,-0.000000000000000000e+00.4,-0.000000000000000000e+00.5,-0.000000000000000000e+00.6,-3.311548169694678023e-02,0.000000000000000000e+00.1,6.154538043648188211e-02,0.000000000000000000e+00.2,0.000000000000000000e+00.3,0.000000000000000000e+00.4,-3.023110037057671895e-01,-0.000000000000000000e+00.7,-0.000000000000000000e+00.8,-0.000000000000000000e+00.9,-2.251798631075183077e-02,-2.135626446594069971e-01,2.937510284486642524e-03,0.000000000000000000e+00.5,1.963323887761475595e-02,-0.000000000000000000e+00.10,0.000000000000000000e+00.6,0.000000000000000000e+00.7,0.000000000000000000e+00.8,-0.000000000000000000e+00.11,4.059358272274785073e-02,0.000000000000000000e+00.9,-3.059710618146218031e-01,-2.384556470918177407e-01,-0.000000000000000000e+00.12,0.000000000000000000e+00.10,-0.000000000000000000e+00.13,0.000000000000000000e+00.11,-2.084098865081661645e-01,0.000000000000000000e+00.12,-0.000000000000000000e+00.14,-0.000000000000000000e+00.15,6.921596019951456458e-02,1.888144369153179070e-01,-2.148882368975036927e-01,-0.000000000000000000e+00.16,-0.000000000000000000e+00.17,0.000000000000000000e+00.13,-0.000000000000000000e+00.18,-0.000000000000000000e+00.19,-2.995040071002686918e-02,-2.967186896195946888e-01,-0.000000000000000000e+00.20,0.000000000000000000e+00.14,4.718456919172024644e-02,1.874846032596879947e-03,0.000000000000000000e+00.15,0.000000000000000000e+00.16,-0.000000000000000000e+00.21,1.419083734679786601e-02,-0.000000000000000000e+00.22,0.000000000000000000e+00.17,0.000000000000000000e+00.18,0.000000000000000000e+00.19,-0.000000000000000000e+00.23,5.206819758943570520e-02,-0.000000000000000000e+00.24,3.313938209714713257e-02,-0.000000000000000000e+00.25,-0.000000000000000000e+00.26,-2.566252311098694144e-02,-0.000000000000000000e+00.27,0.000000000000000000e+00.20,-0.000000000000000000e+00.28,0.000000000000000000e+00.21,5.338736010312186697e-02,0.000000000000000000e+00.22,-3.632847219864572541e-02,-2.018275349063590809e-02,-0.000000000000000000e+00.29,0.000000000000000000e+00.23,8.905337195566176423e-02,0.000000000000000000e+00.24,-1.380845891860061139e-02,-0.000000000000000000e+00.30,-0.000000000000000000e+00.31,0.000000000000000000e+00.25,-0.000000000000000000e+00.32,9.846160261124506374e-02,-0.000000000000000000e+00.33,1.585226930105645138e-01,0.000000000000000000e+00.26,-0.000000000000000000e+00.34,0.000000000000000000e+00.27,-3.424054262682633964e-02,1.972030863829498659e-01,-0.000000000000000000e+00.35,0.000000000000000000e+00.28,0.000000000000000000e+00.29,-0.000000000000000000e+00.36,-1.456248008147849049e-01
-0.0,2.4943711425629744,-0.0,-0.31865646935403036,-0.14892954921990714,0.0,-0.0,-0.0,-0.0,0.1919924534955977,0.38623962786725374,0.0,-0.12427739376933392,-0.0,-0.0,-0.174724390268301,-0.0,-0.0,-0.15476976125738068,0.20216253391369915,0.0,-0.0,0.0,0.0,-0.23714902803050472,0.0,0.0,0.0,-0.0,-0.08501429053967957,0.29679334852735445,-0.0,-0.0,0.0,0.2101022659902012,-0.0,0.0,0.0,-0.0,-0.0,0.0008227291233955197,0.07431578943311865,0.0,0.0,0.23912371415203745,0.0,0.0,0.0,0.17008031245635574,0.0,-0.0,-0.29403031480621905,-0.4499824210995425,0.0,-0.0,-0.0036702510291715673,0.0,-0.34863709334018983,0.0,0.0,-0.029103508946276398,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.1366955239472755,0.0,0.0,-0.0,-0.0,0.03442577960988716,-0.0,-0.0,0.0,-0.0374197770428092,-0.0,0.0786233881097249,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.11206411234261372,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.1017320097916869,0.0,-0.0,0.0,0.0,-0.0
-0.0,-0.0,1.6143444564882092,-0.0,-0.009107837113888401,-0.02808079680323799,0.0,-0.11793839894318071,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.017683160300485213,-0.20175723590732308,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.1681955492370945,-0.0,-0.0,-0.06525455091440334,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.1825007409965688,-0.0,-0.0,-0.0,0.0,-0.33255911374041874,-0.0,-0.0,-0.02772447988014769,-0.0,0.0,-0.0,0.0,-0.0,-0.26987982520000847,-0.09723268205574133,-0.060735576796798474,0.0,0.0,-0.0,-0.0,0.05062225611267059,-0.0,-0.0,-0.0,0.0,-0.0,0.2015559130467796,0.10074423432502372,-0.0,0.043798172028947806,0.0,0.0,0.0,0.0,0.0062631755826513015,-0.0,0.053560966412481786,0.16209135550443426,0.0335251217788804,-0.0,-0.0,0.1824830931033473,-0.0,0.025667628681537304,0.0,0.0,-0.0006300135915320211,-0.0,-0.0,0.11016460577231516,0.00621317382404395,-0.0,-0.0,0.0,-0.0,-0.016178236117705563,0.0,-0.044307890480032246,-0.022190730221996944
-0.0,-0.31865646935403036,-0.0,3.1802679431268435,-0.41610503012768174,0.0,-0.781400497851318,-1.031054868616978,-0.0779883063710773,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.39195871976552765,-0.0006962879391295921,-0.25487834684532334,0.0,0.0721513689706639,0.0,0.0,-0.0,0.0,-0.0,0.0,0.15289073381758053,0.0,0.0,0.0,0.0,0.1429048320833803,0.027102070856983223,0.06293356510372437,0.0,0.09222887384362585,-0.0,0.0,-0.505960869476716,-0.0,-0.0,-0.0,-0.09522313972902506,0.07161367902107105,-0.0,-0.08183880223827524,0.0,0.0,-0.0,0.0,0.07756588431407169,-0.0,0.0,0.15937733069316512,0.0,0.0038114561196778366,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.1832882247441001,-0.0,0.0,-0.053092830193828246,0.0,0.0,0.019757953235170135,0.0,0.0,0.0,0.0,0.0,-0.015954983988329688,-0.05784981375204297,0.0,-0.0,0.0,0.0,0.0
0.0,-0.14892954921990714,-0.009107837113888401,-0.41610503012768174,2.2958979940541937,-0.0,0.0,-0.0,-0.013473348409834303,-0.0,-0.0,-0.05600071823427892,0.11343339847536749,-0.12158851083971405,0.0,-0.07928355819584419,0.0,-0.0,-0.0,0.0,-0.0,-0.031366866101938055,-0.06759759149408212,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.16195603788761057,-0.0,-0.0,0.0,0.0,0.0,0.1069197438612827,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.1029368982579632,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.2340774479089665,-0.2571180388135944,-0.25799039729318435,-0.7943253145469229,-0.029137387058876935,-0.027146879729122508,-0.0,-0.0,-0.0,-0.1784330095667543,0.0,-0.0,-0.0,-0.026607521749268687,0.0,-0.0,0.0023132238624362983,0.09611327852126515,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.10261837711128198,0.08603119493384374,0.0,0.0,0.0,0.0,0.0,0.17916350119474356,0.05729522257270243,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,0.0,-0.02808079680323799,0.0,-0.0,3.6514279342988623,-0.0,0.0,-0.1385712113333837,-0.234418310606528,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.198476814255807,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.09369267002659248,0.0,0.0,-0.0,-0.0,-0.13558492528154337,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-1.2560827322966428,-0.0,-0.29140819025712167,-0.0,0.0,0.02672708820276675,-0.4464518330359548,-1.33827376284219,0.0,-0.0,-0.10283837827324697,-0.0,-0.0,-0.11979120252321988,-0.0,0.0,-0.0,0.08847971854437629,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.09282081990943548,-0.0,-0.0,-0.0,0.2235727797893444,-0.0,-0.0,-0.053613502791168055,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.2950353545177268,-0.0
-0.0,-0.0,0.0,-0.781400497851318,0.0,-0.0,2.491876978855207,-0.16181647029824664,-0.05615555424855744,-0.21483562865206576,0.0,0.0,-0.0,-0.0,-0.0661586032360455,-0.038700115303664406,0.0,0.0,-0.0,0.0,0.0,0.022926437690861896,-0.0,0.0,-0.12345995961899237,0.0,-0.0,0.0070844346362099325,-0.0,0.010451339453706944,0.0,-0.019749058060710145,-0.06336226377356703,0.000793314924026163,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.008924077633769626,0.0,0.0,0.0,0.0,0.0,0.0,0.22490962482002935,-0.0,0.025932135528960534,-0.0,-0.0,-0.5969988121410104,0.0,-0.0,-0.08282692852564749,-0.189163701050182,-0.0,-0.0,0.0,0.0,-0.13298226143508768,-0.0,0.050982823230098125,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.26772737859367296,0.0,-0.07749772754995535,-0.0,0.0,0.0,0.0,-0.23015606716033157,0.0,-0.24472923547597747,0.0,0.0,8.904068338433294e-05,-0.03204446366898503,0.0,0.1308391700831679,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
-0.0,-0.0,-0.11793839894318071,-1.031054868616978,-0.0,0.0,-0.16181647029824664,3.473038852186052,-0.415193828341301,-0.04363682415648698,-0.0,0.0,0.0,0.0,-0.0,-0.030547091711976174,0.0,-0.0,-0.011456348043868116,0.0,0.0,0.0,-0.0,0.0,0.008866043622471904,0.0,0.36110742924493966,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.025473586412706466,-0.0,0.0606204222164349,0.0,0.07547911625693188,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-1.1530494234729287,-0.5665281941786655,0.21160863572431307,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.045736658376652334,0.0,-0.0,-0.0,0.0,-0.06099101984813164,-0.0,0.0,0.1645204824106376,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.18915837651350245,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.04636402286386988,-0.0,0.0,-0.017250648701638855,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0779883063710773,-0.013473348409834303,-0.1385712113333837,-0.05615555424855744,-0.415193828341301,3.331612742913348,-0.11211679031311872,-0.0,-0.0,-0.15435719740036,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.09975875065592409,-0.0,0.0,0.0,0.0,-0.0,-0.09918602826644494,0.0,0.0,-0.5249766869675873,0.0,-0.09111014295461936,-0.01677520311526306,-0.18191583705203548,-0.12518228169960083,0.022194035969001175,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.19043826504329137,-0.0,-0.0,0.0,0.0,-0.0,-0.29298702702568435,-0.0,-1.203531125586512,-0.0,0.0,-0.014572632060893587,-0.0,-0.08119912770664339,-0.0,-0.004060074572450804,-0.020297116484589456,-0.01778105093203715,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.23526194221003827,-0.0,-0.0,-0.0,0.0,-0.002223171274141547,-0.0,0.0,-0.0,-0.20201794349436847,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.30678540876543536,-0.2008358701099885,-0.0,-0.0,-0.0,0.0,0.0,-0.0
-0.03311548169694678,0.1919924534955977,-0.0,-0.0,-0.0,-0.234418310606528,-0.21483562865206576,-0.04363682415648698,-0.11211679031311872,2.31799364189469,-0.42309106411770714,-0.045415851611633376,-0.0,-0.0,-0.0,-0.04637248657232503,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.11176048353218523,-0.0,-0.0,-0.0,0.1603572734097339,-0.0,0.0,0.0,-0.0,-0.0,-0.01814834244289865,0.0,-0.0,0.0,0.0,-0.21929997037096935,-0.0,-0.5498338007302591,-0.0,-0.09176029499484765,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.015678869381335912,0.0,0.09061444809830417,0.0,-0.0,-0.02103053667988305,-0.0,0.0,-0.0,-0.406188942230766,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.06238705853139028,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.16628191501570797,-0.0,-0.2014210935305964,0.0,-0.0,-0.0,0.0,0.24029481759052276,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.07827772542803561,-0.0,-0.0,0.33192527975065594,0.11245043740634438,0.0,-0.0,-0.0,0.006701600180246433,0.0,0.0,-0.0,-0.0
0.0,0.38623962786725374,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.42309106411770714,2.316838466514145,-0.448802091312117,0.008162193538804265,-0.0,0.09640584264563615,0.0,0.0,0.0,0.0,-0.0,-0.2290462816919276,0.06659527962340221,0.11110344729837943,-0.15733955131293817,0.0,-0.07640878684944492,0.0,0.1021340450353001,0.0,0.5405360087255393,-0.0,0.08155409955994714,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.010477607920616219,0.0,-0.06811750951258035,-0.09576929097025616,0.0,0.0,-0.0,-0.04146176582873856,-0.0,0.0,-0.0,0.0,-0.0,-0.33123043759167414,-0.0,0.0,0.0,0.0,-0.0,0.3220078158879818,-0.10730299962683135,0.0,-0.0,0.0,0.0,-0.026243812032487997,0.0,0.0,-0.156446619274222,-0.0,0.0,0.0,-0.008087330681644377,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0819605549376559,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
