1.790722382858385142e+00,-0.000000000000000000e+00,-2.130919890751031553e-01,-0.000000000000000000e+00.1,-3.229957744660426084e-03,-3.649358985953767009e-02,-0.000000000000000000e+00.2,-0.000000000000000000e+00.3,0.000000000000000000e+00,-0.000000000000000000e+00.4,-0.000000000000000000e+00.5,0.000000000000000000e+00.1,8.537996442497960969e-02,-9.289615198453669842e-02,-0.000000000000000000e+00.6,-0.000000000000000000e+00.7,0.000000000000000000e+00.2,-0.000000000000000000e+00.8,-8.350453889946764588e-03,0.000000000000000000e+00.3,-0.000000000000000000e+00.9,0.000000000000000000e+00.4,-0.000000000000000000e+00.10,0.000000000000000000e+00.5,-0.000000000000000000e+00.11,0.000000000000000000e+00.6,0.000000000000000000e+00.7,0.000000000000000000e+00.8,-0.000000000000000000e+00.12,0.000000000000000000e+00.9,-8.459790172873800362e-03,-1.549049246237799438e-01,-3.383688462091812010e-02,0.000000000000000000e+00.10,0.000000000000000000e+00.11,0.000000000000000000e+00.12,0.000000000000000000e+00.13,-5.061437543463319644e-01,0.000000000000000000e+00.14,0.000000000000000000e+00.15,0.000000000000000000e+00.16,0.000000000000000000e+00.17,0.000000000000000000e+00.18,0.000000000000000000e+00.19,0.000000000000000000e+00.20,0.000000000000000000e+00.21,-0.000000000000000000e+00.13,-0.000000000000000000e+00.14,-2.595783936193434838e-01,0.000000000000000000e+00.22,-4.293207252864855716e-01,0.000000000000000000e+00.23,0.000000000000000000e+00.24,-0.000000000000000000e+00.15,-0.000000000000000000e+00.16,-0.000000000000000000e+00.17,-0.000000000000000000e+00.18,0.000000000000000000e+00.25,0.000000000000000000e+00.26,0.000000000000000000e+00.27,0.000000000000000000e+00.28,0.000000000000000000e+00.29,0.000000000000000000e+00.30,5.014175554165667403e-02,3.944538095111582710e-02,0.000000000000000000e+00.31,-0.000000000000000000e+00.19,-0.000000000000000000e+00.20,0.000000000000000000e+00.32,-0.000000000000000000e+00.21,-0.000000000000000000e+00.22,0.000000000000000000e+00.33,-0.000000000000000000e+00.23,0.000000000000000000e+00.34,4.784174202039011975e-02,-0.000000000000000000e+00.24,-1.196237532621696603e-01,0.000000000000000000e+00.35,-0.000000000000000000e+00.25,-0.000000000000000000e+00.26,0.000000000000000000e+00.36,-0.000000000000000000e+00.27,-0.000000000000000000e+00.28,0.000000000000000000e+00.37,-0.000000000000000000e+00.29,0.000000000000000000e+00.38,-0.000000000000000000e+00.30,-0.000000000000000000e+00.31,-0.000000000000000000e+00.32,2.702926317547414345e-02,-0.000000000000000000e+00.33,-0.000000000000000000e+00.34,-5.418556191992274229e-02,-3.375865961744291543e-01,1.834773907408081273e-01,-0.000000000000000000e+00.35,0.000000000000000000e+00.39,-0.000000000000000000e+00.36,-2.127404289129024642e-02,-0.000000000000000000e+00.37
-0.0,3.810549608752813,-0.42720898725079426,-0.045460787205445566,-0.5928341132119245,-0.0,-0.015183170538760263,-0.0,-0.10133017901999956,-0.0,-0.0,0.0,0.0,-0.219086283797224,-0.0,-0.0,-0.0,-0.0,-0.1342168629949301,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.09828027494056361,-0.0,0.0,0.0,0.030668820687725848,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.006703860866579113,-0.0,0.0,0.0,0.0,0.0,0.0,-2.0208774461633365,-0.0,-0.0,-0.07238090115907081,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.4693558369943952,0.0,0.0,-0.0948009299600288,0.12062278622211002,0.0,-0.0,-0.0,0.3183475272005299,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.10355214530116395,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
-0.21309198907510316,-0.42720898725079426,2.8754663508836726,-0.0,-0.0,-0.5490290450928004,-0.0,-0.0,-0.173075832646004,-0.002290874454498453,-0.0,-0.0,0.0,-0.2482655712607993,-0.1383952606052964,-0.0,-0.0,-0.27117868761763464,-0.45197517058433306,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.21895758590871117,-0.0,-0.0,-0.0,-0.09140725388256418,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.1019458224181858,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.29399310644973403,0.0,0.0,-0.12987149484105992,-0.32796801258514824,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.09934682332685289,-0.0,0.0,0.16722794047575676,0.019365982056136943,0.0,0.009192220553511972,0.0,0.0,0.0,-0.0,-0.0,0.2813306594379508,-0.0,0.0,-0.08653334509656213,-0.0,0.019171517581613944,-0.0,0.0,0.0,-0.0,0.0
-0.0,-0.045460787205445566,-0.0,3.7618783113303977,-0.6054059870038722,0.0,-0.39914663877797146,-0.8618146485590857,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.10742613378525644,-0.0,-0.012026983363595683,-0.0,0.0,-0.0,0.0,-0.0,0.07679421689368998,0.2630335127174928,-0.0,0.23618095880905768,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.5413289685124913,0.04735375934791888,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-1.2405199720642504,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.11921656523755993,-0.0,-0.0,-0.0,-0.009707754799679166,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.02006752761201321,-0.09750348314154748,0.1473169606737451,-0.0,-0.06830307628274529,-0.0,0.0,0.21840712379024013,0.0,-0.13170455549610907,0.0,-0.0,-0.0,-0.0,0.01888756066501601,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
-0.003229957744660426,-0.5928341132119245,-0.0,-0.6054059870038722,3.4778877469281646,-0.0,-0.0,-0.13095389669995675,-0.17687396327094462,-0.0,0.0,0.0,0.0,-0.040459846416264406,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.1588433976590022,0.0,0.10238632978155268,0.0,-0.0,-0.0,0.0,0.5809935433125126,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.08904590512486096,-0.0,-0.5581581357276127,-0.5714500276735647,-0.020243741408250002,-0.0,-0.5609746175403295,-0.0,0.0,0.0300510015613127,0.0,-0.0,-0.0,-0.0,-0.04466312028202706,-0.0,-0.0,-0.08745789385882224,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.012612616341587092,-0.04025236251373528,-0.0,-0.0,-0.0,-0.0,-0.2181641282197356,-0.0,-0.2187878821837752,-0.015941019302704796,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.08117181167594918,-0.0,-0.0
-0.03649358985953767,-0.0,-0.5490290450928004,0.0,-0.0,3.636890200672336,0.0,-0.0,-0.3995292239531431,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.1698219457917773,0.099626228202036,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.22533601658638888,-0.22689972499339087,0.0,0.0,-0.0,0.0021786863202169836,-0.0,0.0,-0.010387165709667336,-0.0,-0.1818275770651708,-0.2112943308118128,0.0,0.0,-0.0,0.012840365137576302,0.0,-1.5344191678571597,-0.28575693425061166,0.0,-0.0,0.006775944683314128,-0.0,0.0,0.0,0.0,-0.09844238738220866,-0.0,-0.0,0.19703036830684095,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.03824139448572411,0.05801235115001254,-0.1857210466596715,-0.5577850929725485,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
-0.0,-0.015183170538760263,-0.0,-0.39914663877797146,-0.0,0.0,4.169186336547219,-0.0,-0.0,-0.18626423404587447,0.0,-0.0,0.0,-0.0,-0.0,-0.8851397235758394,-0.4431443105419465,-0.7228435770669371,-0.0,-0.4962193556679152,-0.0,-0.40534487965020327,-0.0,-0.2891527245481446,0.0,-0.0,-0.0,-0.0,-0.11515750394308603,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8465990249627703,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0007946336219986063,-0.04868454847639306,-0.0,0.05441357553597914,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.179872351845712,-0.0,-0.0,-0.0,-0.0,0.08813704953636539,0.0,-0.0,-0.0375423554858479,0.0,0.0,0.07511382420622163,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.34111070475725974,0.0,0.0,0.030335589029709984,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.08203733992110165,0.0,0.0,0.0,0.0,0.0
-0.0,-0.0,-0.0,-0.8618146485590857,-0.13095389669995675,-0.0,-0.0,4.0622374685028495,-0.3574229822880351,-0.0,-0.0,0.023939980589273324,-0.0,-0.0,0.0,-0.0,-0.0,-0.5992203852860275,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.017061468268145263,-0.38849078485174,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.1535977075278867,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.28501701553911046,-0.0,-0.37447133381845593,-0.0,-0.0,-0.6356473609323748,-0.6460470207175696,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.09162595230665059,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.5454586014998289,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.06826964271615844,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
0.0,-0.10133017901999956,-0.173075832646004,-0.0,-0.17687396327094462,-0.3995292239531431,-0.0,-0.3574229822880351,2.9939282169518644,-0.0,-0.0,0.0,-0.06999967242328839,-0.0,-0.0,0.0,-0.0,-0.12143604329969648,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.47740056291846994,-0.0,-0.029835078831872412,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.20194071858895496,-0.0,-0.0,0.0,-0.0,-0.3895903258109422,-0.0,-0.008242473486609057,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.17774725055876325,0.0,-0.0,-0.44082686007254807,-0.0,-0.6382039513370633,0.0,0.0,-0.0,-0.0,-0.11283367885664453,-0.0,-0.1445797702277391,-0.0,0.10732335012447652,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.07472441544781963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.06205318442796608,-0.0,0.0,0.06094083951606247,0.0,0.0,0.0
-0.0,-0.0,-0.002290874454498453,-0.0,-0.0,-0.0,-0.18626423404587447,-0.0,-0.0,2.3012793018760904,-0.0,-0.2971804052680756,-0.0,-0.14530188864570895,-0.0,-0.016754009120010557,-0.27517965427153646,-0.0,-0.11121329210881274,0.0,-0.04794386712296213,-0.07319506294057483,-0.0,-0.0,-0.06806122325721542,-0.14478882445462557,-0.0,-0.0,-0.0,0.14159751418437047,-0.0,-0.0,-0.30014856978965326,-0.001041749037593089,-0.0,0.0,-0.0,-0.5806945069219248,-0.10609433156784416,-0.2951367924875109,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056882242029634905,0.0,-0.0,-0.12418686999251796,0.0,0.0,-0.4392697744066783,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.11935246990220943,-0.0,-0.0,-0.0,0.0,-0.026283339342800444,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.1467603755587526,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.05547081282111194,0.0,0.0,0.0
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,2.2367017614270845,-0.0,-0.04724086997635498,0.0,0.0,0.0,-0.0,-0.23073944802530252,-0.0,0.0,0.0,0.0,0.03633436208314896,0.0,-0.04837274435468516,0.0,0.0,0.2048519776978369,0.0,0.0,-0.0,0.0,-0.0,0.0,0.3246722338453128,-0.0,0.15808814472574872,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.09775982450677692,0.0,-0.15164877529695892,-0.0,-0.0,0.0813296157623122,0.0,-0.0,-0.20387792559910425,-0.07546327169907428,-0.0,-0.2637858968330986,-0.2105906404201874,-0.105441090109269,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.200292226147612,-0.0,0.0,0.0,-0.35318288380562174,0.0,0.0,-0.0,0.0,0.12148244917799748,-0.0,-0.0,-0.0,-0.0,-0.0,0.14789785616023704,0.0,-0.0,0.0,-0.1580861446745092,-0.4565354647997097,-0.04034842359273977,-0.10505040053544693,-0.0,-0.15417451724786704,-0.0,-0.08493646101079572,-0.0,-0.0
