2.259751117053245384e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00.1,0.000000000000000000e+00.2,-0.000000000000000000e+00.1,-1.922984932564122673e-01,-0.000000000000000000e+00.2,0.000000000000000000e+00.3,-0.000000000000000000e+00.3,-0.000000000000000000e+00.4,-0.000000000000000000e+00.5,-1.700364425832557869e-01,-1.709924504125913750e-02,-3.691684673902818209e-02,-5.052888554587307152e-02,0.000000000000000000e+00.4,0.000000000000000000e+00.5,-0.000000000000000000e+00.6,-8.164371824555020918e-02,0.000000000000000000e+00.6,0.000000000000000000e+00.7,0.000000000000000000e+00.8,0.000000000000000000e+00.9,-2.620025429712439236e-01,-0.000000000000000000e+00.7,0.000000000000000000e+00.10,-0.000000000000000000e+00.8,-0.000000000000000000e+00.9,5.650707529058340145e-02,-5.922035337634908025e-02,-2.964476850622281279e-01,-2.535535607536296490e-02,3.281845219334950103e-02,0.000000000000000000e+00.11,-0.000000000000000000e+00.10,1.158355913269860579e-03,-3.202048284136893574e-01,0.000000000000000000e+00.12,0.000000000000000000e+00.13,-0.000000000000000000e+00.11,-0.000000000000000000e+00.12,0.000000000000000000e+00.14,-0.000000000000000000e+00.13,0.000000000000000000e+00.15,0.000000000000000000e+00.16,-0.000000000000000000e+00.14,-0.000000000000000000e+00.15,-8.494363024658664607e-02,-0.000000000000000000e+00.16,-7.593119443620109932e-01,-0.000000000000000000e+00.17,-0.000000000000000000e+00.18,0.000000000000000000e+00.17,-0.000000000000000000e+00.19,-7.856776203510378032e-02,-0.000000000000000000e+00.20,-0.000000000000000000e+00.21,-0.000000000000000000e+00.22,-0.000000000000000000e+00.23,-0.000000000000000000e+00.24,-0.000000000000000000e+00.25,-0.000000000000000000e+00.26,0.000000000000000000e+00.18,0.000000000000000000e+00.19,0.000000000000000000e+00.20,-9.158534573094566367e-02,-0.000000000000000000e+00.27,0.000000000000000000e+00.21,0.000000000000000000e+00.22,0.000000000000000000e+00.23,-0.000000000000000000e+00.28,0.000000000000000000e+00.24,-0.000000000000000000e+00.29,2.154431518681298313e-02,0.000000000000000000e+00.25,-0.000000000000000000e+00.30,-0.000000000000000000e+00.31,-2.281824139359240056e-01,0.000000000000000000e+00.26,8.076999220556639603e-02,1.560978525599856503e-01,0.000000000000000000e+00.27,0.000000000000000000e+00.28,1.528631855796619898e-03,0.000000000000000000e+00.29,0.000000000000000000e+00.30,-0.000000000000000000e+00.32,-0.000000000000000000e+00.33,0.000000000000000000e+00.31,-0.000000000000000000e+00.34,-1.793976710850118256e-02,0.000000000000000000e+00.32,-0.000000000000000000e+00.35,-0.000000000000000000e+00.36,-0.000000000000000000e+00.37,0.000000000000000000e+00.33,0.000000000000000000e+00.34,-0.000000000000000000e+00.38,-0.000000000000000000e+00.39
0.0,3.0441348375109114,-0.02004511981580288,-0.5049143296754949,-0.27238619867854613,0.0,-0.0,-0.23285760053655533,0.0,0.0,0.0,-0.0,0.0,0.09771228536368023,0.0,-0.0,-0.0,-0.006119576432013455,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.02957614681738187,0.0,-0.0,-0.0,-0.0,0.0,0.0,-1.6772724660600076,-0.0,-0.05988859546965136,-0.0,0.0,-0.1794889589217702,-0.0,0.0,0.0,-0.0,0.019313516738251223,0.06257186921126591,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0750140637119635,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.04617724723077109,0.0,-0.0,0.0,-0.000642389075928655,0.0,0.0,-0.0,-0.0,-0.025715731816890967,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
-0.0,-0.02004511981580288,2.6438153170713607,0.0,-0.0,-0.5095932448271037,-0.0,-0.45139291800498904,-0.26994700015605155,-0.0031433542812394667,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.13914448963768608,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0016606984040050308,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.1204694314764036,-0.0,0.008856127562130662,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.32353063582317454,0.0,0.3015686629350239,-0.3797386667387741,-0.44188840359217857,-0.0,-0.2363637414458281,-0.0,-0.08630821549593531,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.01545003646412126,-0.0,-0.0,0.0,-0.0,-0.010128629655152092,-0.0558708162563044,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.07983738109481388,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0
0.0,-0.5049143296754949,0.0,2.2819093486652964,0.0,0.0,-0.0,-0.0,0.0,0.1892148606337872,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.058906280110670846,0.0,0.0,-0.08259759622815811,0.12219583561296903,0.0,0.0,0.2806833766735773,-0.021254533176206392,0.0,-0.0,-0.0,0.06083063887242004,0.0,0.0,0.15400422149788198,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-1.112687505471209,-0.0,0.0,-0.033340846874402884,-0.07497990325275002,-0.0,0.0,-0.0,0.0,-0.0,-0.046638479568265216,-0.08506072570251341,-0.07380002348864027,0.0,-0.0,0.0,-0.0,-0.2209696805798464,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1073839152328134,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.02794254183922214,-0.0,-0.0,-0.2493451277562347,-0.0,-0.0,-0.003184324164784496
0.0,-0.27238619867854613,-0.0,0.0,2.6378525936601798,-0.0,0.0,0.0,-0.0,-0.0,0.01524507334868118,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.10146375962607285,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0068088152370982535,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.08456326145158062,0.3700623538845507,-0.4556414532589788,-1.1518167381670008,-0.0,0.08291467602274406,-0.11459581985766948,-0.24392282044504288,-0.0,-0.20429214957343036,0.2880549592494651,0.0,0.0,0.0,0.0,0.0,0.08352044515671267,0.13941251686194822,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.1179564029570541,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0882237418169812,-0.0,-0.0,-0.05581314159379493,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.07348070366122854,0.0,0.0,0.0,-0.0,-0.0,0.0
-0.0,0.0,-0.5095932448271037,0.0,-0.0,2.975135424362908,0.0,-0.0,-1.089444767392335,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.17359862558987224,0.0,0.0,0.17316593651014164,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.03190809321210413,-0.5417802415701002,-0.6575888427564884,0.10290054940135912,-0.0,-0.0,-0.0,0.0,-0.0,-0.028567468382304447,-0.0,-0.0,-0.0,0.12216176908771266,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.08020564677328974,-0.0,-0.0,0.0,-0.0,0.06135031517770922,0.0,0.03492212652236839,0.0,0.0,0.0
-0.19229849325641224,-0.0,-0.0,-0.0,0.0,0.0,3.064317532378879,-0.21213880057319037,-0.0,-0.0,-0.0,0.0,-0.34420796782789287,0.0,0.0,-0.4164486466024096,0.0,0.0,-0.0,-0.0,0.0,0.0,0.01445258529266483,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.025425429451288797,-0.0,-0.054984048786782536,-0.3282767364497578,-0.10897960356928375,-0.0,-0.0,0.0,0.0,-0.0,-0.16095364217663047,-0.0,-0.0,-0.25627254770260327,-0.0,-0.0,-0.5056114929456154,0.0,0.0,-0.0021863232706815735,-0.11777367621004504,-0.0,0.0,-0.0,0.02293133871212616,-0.25352949297779886,0.0,0.0,-0.0,0.36929737331183,-0.5645868859344872,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.29144066193468654,0.043701371337200735,0.09269549081057805,0.2071141110971016,0.0,-0.0,0.0,0.0,0.0,0.0,0.03830843646326442,0.09317494667684531,-0.0,0.0,0.1563095685232035,-0.0012409523204171308,0.0,-0.0,-0.058122815001437525,-0.0,0.0,-0.2206824971608988,0.0,-0.0,0.0,-0.0,-0.0
-0.0,-0.23285760053655533,-0.45139291800498904,-0.0,0.0,-0.0,-0.21213880057319037,3.6889160349302106,-0.28040429158658753,-0.0,-0.0,0.024344856001885302,-0.0,-0.0,-0.0,-0.1362547543990588,0.0,-0.6101108693043868,-0.0,-0.0,-0.0,0.00040815294961630937,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.003967903577913648,0.0,-0.0,0.0,0.0,-0.0,0.25055281553271774,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.15492451031742036,0.0,-0.0,-0.0,-0.9965283690630563,-1.0725273707126184,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.026450364986454367,-0.1337492692085867,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.08049995598687022,-0.05909101040684048,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.19478840922864113,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
0.0,0.0,-0.26994700015605155,0.0,-0.0,-1.089444767392335,-0.0,-0.28040429158658753,3.3666460197534342,-0.0,-0.0,0.20588387978867057,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.19698225629343807,0.0,-0.0,0.15957376309835397,0.0,0.0,-0.0,0.0,0.0,-0.11021199044216198,-0.0,0.021886832362960656,-0.0,-0.0,0.0,-0.6408742981176029,-0.0,-0.0,-0.0690729217941176,-0.0,-0.0,-0.01585081198466346,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.1950688923681014,-0.0,-0.17744422497623416,0.0,-0.9804317687104941,0.0,-0.0,0.0,-0.0068039641598673485,-0.0,0.0,-0.004319910312293331,-0.0,0.0,-0.13475055160763633,-0.0,-0.0,-0.16744336124549428,0.04019721421523158,-0.0,0.2131018275817586,-0.0,-0.0,-0.0,0.0,-0.0,0.003686786603860192,0.0,-0.03372089806602288,-0.09817105485276864,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
-0.0,0.0,-0.0031433542812394667,0.1892148606337872,-0.0,-0.0,-0.0,-0.0,-0.0,2.2262694493920705,-0.005922567537366183,-0.22423040841716235,-0.2887471991158348,0.004445780381193424,0.0,-0.0,-0.0,0.0230213895199696,0.0,0.0,0.0,0.0,0.0,-0.0,-0.3043394250461854,0.0,-0.0,-0.0,-0.0,-0.3052265943335746,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0020336337011060152,-0.239965281672313,-0.0,-0.21658193953186408,0.0,0.0,-0.0,0.18461749598469712,0.0,0.0,-0.0,0.014791770260199028,-0.0,0.0,-0.23637687331700924,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.7362044741829451,-0.16676439588404443,-0.0,-0.0,-0.0,0.0,0.050934893908260406,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0006269880106172498,-0.0,-0.0,-0.016883890295436747,-0.0,-0.18982613980204915,-0.0,0.108932375360068,-0.0,-0.0,0.15042139165243243,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.06811242524056986,-0.17477801195698267,0.0,-0.0,0.029259532045071285,0.0,-0.0,0.013866713081725967,0.08255942316707014
-0.0,0.0,-0.0,0.0,0.01524507334868118,-0.0,-0.0,-0.0,-0.0,-0.005922567537366183,1.99528040694752,-0.0,-0.0,-0.093206386890854,-0.3308390546445015,0.0,0.0,0.0,-0.0,0.0,-0.0,0.009689074982362385,-0.0,0.03966521402365142,-0.0,-0.0,0.0,-0.0,-0.2277759592126538,-0.0,-0.0537681501255743,0.0,-0.0,0.06258492103365851,0.10985947646560576,0.0,0.11357920558049356,-0.0,0.0,0.0,0.12136451818146748,0.0,0.006118452431661836,-0.0,0.0,0.0,0.10888926575640422,0.0,0.0,0.0,-0.0,0.0,-0.05763129587262023,0.015147350270365631,-0.0,-0.3911651253164307,-0.0,-0.0,-0.18534305130949985,-0.153724198109167,0.0,-0.12402068904275612,-0.3053859411800845,-0.0,-0.0,-0.10834261975570687,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.11806304509996084,-0.07240803158213967,-0.0,-0.04936888685991921,0.0,0.0,0.10388159263281796,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15243271644554163,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
