1.914520490738333747e+00,0.000000000000000000e+00,-1.670113266341209102e-01,-0.000000000000000000e+00,-6.130495036033658390e-02,-7.126365468177241203e-02,0.000000000000000000e+00.1,0.000000000000000000e+00.2,-0.000000000000000000e+00.1,0.000000000000000000e+00.3,-0.000000000000000000e+00.2,0.000000000000000000e+00.4,0.000000000000000000e+00.5,-0.000000000000000000e+00.3,0.000000000000000000e+00.6,-0.000000000000000000e+00.4,-0.000000000000000000e+00.5,-0.000000000000000000e+00.6,0.000000000000000000e+00.7,-1.622010323399906973e-01,-0.000000000000000000e+00.7,0.000000000000000000e+00.8,0.000000000000000000e+00.9,0.000000000000000000e+00.10,-0.000000000000000000e+00.8,1.338542868866764157e-01,-3.106146684400204125e-02,-2.949919369886300213e-02,-0.000000000000000000e+00.9,-0.000000000000000000e+00.10,-3.041255524952134470e-01,0.000000000000000000e+00.11,-1.488700249339043324e-01,-0.000000000000000000e+00.11,0.000000000000000000e+00.12,-0.000000000000000000e+00.12,0.000000000000000000e+00.13,0.000000000000000000e+00.14,1.728723350072719767e-01,0.000000000000000000e+00.15,-0.000000000000000000e+00.13,5.268700011771348946e-02,3.642179460201771385e-03,0.000000000000000000e+00.16,-0.000000000000000000e+00.14,-0.000000000000000000e+00.15,0.000000000000000000e+00.17,-1.202301505334476689e-01,2.951084118268491180e-02,0.000000000000000000e+00.18,-3.347927653619929833e-01,-0.000000000000000000e+00.16,-0.000000000000000000e+00.17,-1.125752504233305529e-01,-0.000000000000000000e+00.18,-0.000000000000000000e+00.19,0.000000000000000000e+00.19,0.000000000000000000e+00.20,0.000000000000000000e+00.21,0.000000000000000000e+00.22,0.000000000000000000e+00.23,0.000000000000000000e+00.24,-0.000000000000000000e+00.20,-0.000000000000000000e+00.21,0.000000000000000000e+00.25,-0.000000000000000000e+00.22,-0.000000000000000000e+00.23,0.000000000000000000e+00.26,0.000000000000000000e+00.27,0.000000000000000000e+00.28,-5.276668564345347867e-02,0.000000000000000000e+00.29,-3.294828498012070117e-02,0.000000000000000000e+00.30,7.652783908697781412e-02,0.000000000000000000e+00.31,-0.000000000000000000e+00.24,-0.000000000000000000e+00.25,-6.965489146155420253e-01,-0.000000000000000000e+00.26,0.000000000000000000e+00.32,0.000000000000000000e+00.33,-0.000000000000000000e+00.27,-0.000000000000000000e+00.28,-0.000000000000000000e+00.29,-0.000000000000000000e+00.30,0.000000000000000000e+00.34,-0.000000000000000000e+00.31,-0.000000000000000000e+00.32,0.000000000000000000e+00.35,-0.000000000000000000e+00.33,0.000000000000000000e+00.36,0.000000000000000000e+00.37,-6.904467089696521287e-02,0.000000000000000000e+00.38,-0.000000000000000000e+00.34,-0.000000000000000000e+00.35,-0.000000000000000000e+00.36,0.000000000000000000e+00.39,0.000000000000000000e+00.40
0.0,3.4218599229139794,-0.1127655896430382,-0.21647729093750967,-0.0,-0.18332949054344083,-0.2528802589147501,-0.17107959268683395,-0.05292378873058131,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.34420274034777343,0.0,-0.00970960448727941,0.0,-0.17302315395847306,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.08315778006944506,-0.0,0.026199625133333206,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.12340129079759592,-0.5627154300215366,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.9749133579886624,-0.06422739399069509,-0.0,-0.027078384752788023,-0.0,-0.47754524841712087,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.01615769130751772,-0.0,0.0,-0.0,-0.0,-0.02205113166751327,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.07366667928971973,-0.0,0.044825043156013045,0.0,0.0,0.0,-0.0
-0.1670113266341209,-0.1127655896430382,2.2226761511923514,-0.0,-0.0,-0.19196170438866625,-0.0,-0.2589934745955125,-0.07826028355932721,-0.0,0.0,-0.0,0.047575974049457646,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.13889335756485732,-0.0,-0.0,-0.0,-0.06466758513146811,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.03180761729742144,0.0,0.0,0.0,-0.5888266706190656,-0.0,-0.0,-0.22156368229047624,-0.3877396500386185,0.0,-0.09078311833728915,-0.0,-0.0,0.0,0.02777801104441161,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.10910874548836796,0.018917644571962492,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.055759629790136885,-0.005947353920171714,-0.0,0.0,0.0,-0.0,0.0,0.3796347763902912,0.046987484277537295,-0.0,0.0,0.0,0.0,0.02163389184185854,0.0,0.064278628525132,-0.0
-0.0,-0.21647729093750967,-0.0,2.6125719633879134,-0.1869653824750944,-0.12670335987873116,-0.0289361125986616,-0.16835318165514784,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.1405929232390741,-0.0,-0.0,-0.0,0.0,-0.29668375249864926,-0.003386022013749388,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.023555305999417183,-0.0,-0.0,-0.0,-0.24432220046654513,-0.15759450078957318,-0.796682130774195,-0.0,-0.07651129224257036,-0.32044225526761644,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.10596259175112711,0.11175279726002928,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.11842595561360889,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.06530130860922977,0.0,0.0,-0.0,0.0,0.0,0.0,-0.030013304473234064,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
-0.06130495036033658,-0.0,-0.0,-0.1869653824750944,3.052713674374969,-0.024741880898614448,0.0,-0.0,0.0,0.07627921132797094,0.0,0.0,0.12371945036211195,0.2566806614778606,0.37437582493694066,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.1287026335798095,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.1117523385913422,0.0,0.0,0.0,0.0,-0.0,0.14821619294581959,-0.0,0.0,-0.0,0.0,0.12524267616379367,0.0,-0.0,-0.0,0.0,-1.225329794682862,-0.7761991992476347,-0.0,0.0,-0.48623978732345047,0.16640501120687343,0.003931483771219449,0.06802480937091494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011053729557777052,0.0,-0.0,-0.0,0.0,0.07274879748436011,0.01835804991202569,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1989269617324146,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
-0.07126365468177241,-0.18332949054344083,-0.19196170438866625,-0.12670335987873116,-0.024741880898614448,3.2796919354929046,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.1418570968009398,0.0,0.2733771979955506,-0.23725597727424916,0.0,0.0,0.0,-0.0,-0.05650705727040089,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.13272378092735057,-0.13662157509281683,0.0,-0.27891604729381825,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.06412085480083346,-0.0,-0.0,-1.057079139048696,-0.8732321556100556,0.0,0.0,0.0,0.0,0.17445832013160467,0.0,0.0,0.06904165181061109,0.0,0.0,-0.0,0.18285250788437185,0.0,0.0,-0.0,0.12233651803674944,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0905908261546212,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,3.15948708141602e-05,-0.0,-0.0,0.0,-0.0,0.0,-0.10740939918135972,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.2528802589147501,-0.0,-0.0289361125986616,0.0,-0.0,2.6738703006257,-0.0,-0.0,-0.1598221797060657,0.0,-0.0,-0.0,-0.0,-0.0,-0.08087628795478397,0.11687618452216318,-0.0,0.0,-0.03896889441971056,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.056708096779953046,-0.8207339784527222,-0.0,-0.0,0.0,-0.017275466938313205,0.0,0.010978591155704868,0.0,-0.0,-0.33611975157990154,-0.0,0.0,-0.096517098101599,-0.0,-0.0,0.0,-0.0,-0.46948768719164014,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.46759826037373153,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.012223697663290407,-0.0,-0.0,0.0,-0.0,-0.016836847683358084,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
0.0,-0.17107959268683395,-0.2589934745955125,-0.16835318165514784,-0.0,-0.0,-0.0,2.957327513483712,-0.21677691701161564,-0.0,0.0,-0.017484319465630865,0.0,0.0,0.0,0.0,0.014917734431362621,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.03788807896654955,-0.04187061573915303,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.17719671466707154,-0.0,0.0,0.0,0.0,-0.0,0.0,0.23780346116825277,0.0,0.0,0.12392305172669336,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.2376349160673296,-1.072326002485234,-0.5275562438802681,-0.16332777583655064,-0.0,-0.0,0.0,-0.0,-0.0,-0.24781460138839184,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0517956306916515,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.31690519864930966,-0.01525139498899013,0.0,-0.0,0.0,0.04552017227976156,0.1455195000016742,0.0,0.0
-0.0,-0.05292378873058131,-0.07826028355932721,-0.0,0.0,-0.0,-0.0,-0.21677691701161564,3.506221358639857,-0.0,-0.24167500035198552,-0.06904529916454812,0.0,0.0,0.0,0.0,-0.0,-0.10452005126413157,0.0,-0.0,0.0,-0.0,0.032828689364322754,-0.3129831328491616,0.0,-0.0,0.0,-0.0,-0.000976924755301735,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.42921400467860565,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.07413167417028388,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.8117643113110212,-0.2436259959138008,-0.0,-0.938711121525644,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.03717991761052174,-0.0,-0.02266526672491033,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.4647079193645228,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0,0.07627921132797094,-0.0,-0.1598221797060657,-0.0,-0.0,2.267841297419852,-0.0879144956247556,-0.6561263689324851,-0.02277827210751226,-0.0,-0.045274081222544046,-0.02792917115241734,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.45795520239093407,-0.12850480825443492,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.19814977778346768,-0.41934032805507593,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.2048659997777519,-0.0,-0.0,-0.004677908613216102,-0.0,-0.0,-0.0,-0.07714709823342608,0.0,-0.0,-0.0,-0.0,-0.004284888370408731,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.06797891938814767,0.0,0.0,-0.0,0.22976574723167953,0.0,-0.0,0.0
-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24167500035198552,-0.0879144956247556,1.7349134254754592,-0.2301136481435211,-0.023038104158384577,-0.13370283197192534,-0.0,0.0,-0.12170526593839276,-0.04946899975656137,-0.08381182351232161,-0.0,-0.0,-0.0,0.0,-0.07184069470760891,-0.0,-0.024354402795893737,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.15246440919093834,0.0,0.0,-0.0,0.0,-0.0,-0.10340924918309333,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.018781038638252995,-0.11119906121133231,-0.0,-0.0,-0.3407678235747551,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.07330090437066225,-0.0,-0.0,-0.02233549732893893,0.0,0.0,0.0,0.0,0.0,0.03579916638719114,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.01712610544266745,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
