4.202311271092830758e+00,-1.841183696290513150e-01,-1.011476767877800054e+00,-4.830810789544477402e-01,-0.000000000000000000e+00,-0.000000000000000000e+00.1,-0.000000000000000000e+00.2,-0.000000000000000000e+00.3,0.000000000000000000e+00,0.000000000000000000e+00.1,0.000000000000000000e+00.2,0.000000000000000000e+00.3,0.000000000000000000e+00.4,-0.000000000000000000e+00.4,-0.000000000000000000e+00.5,-6.233540715512886354e-01,0.000000000000000000e+00.5,0.000000000000000000e+00.6,0.000000000000000000e+00.7,0.000000000000000000e+00.8,-0.000000000000000000e+00.6,0.000000000000000000e+00.9,-0.000000000000000000e+00.7,0.000000000000000000e+00.10,-0.000000000000000000e+00.8,0.000000000000000000e+00.11,0.000000000000000000e+00.12,6.682576972242322555e-02,2.862716631348036223e-01,0.000000000000000000e+00.13,-0.000000000000000000e+00.9,-0.000000000000000000e+00.10,-1.537736046083937602e-01,0.000000000000000000e+00.14,0.000000000000000000e+00.15,1.999596751737126310e-01,8.324625298110333027e-02,-2.156652919242966759e-01,-0.000000000000000000e+00.11,0.000000000000000000e+00.16,0.000000000000000000e+00.17,1.355586418263849541e-03,0.000000000000000000e+00.18,2.111541322027291057e-01,0.000000000000000000e+00.19,0.000000000000000000e+00.20,0.000000000000000000e+00.21,0.000000000000000000e+00.22,-0.000000000000000000e+00.12,0.000000000000000000e+00.23,-0.000000000000000000e+00.13,-4.640335665475271432e-01,-0.000000000000000000e+00.14,-0.000000000000000000e+00.15,-0.000000000000000000e+00.16,-4.041746543408001324e-01,-0.000000000000000000e+00.17,0.000000000000000000e+00.24,-3.082020172236477409e-02,0.000000000000000000e+00.25,0.000000000000000000e+00.26,0.000000000000000000e+00.27,0.000000000000000000e+00.28,0.000000000000000000e+00.29,0.000000000000000000e+00.30,-0.000000000000000000e+00.18,-0.000000000000000000e+00.19,-0.000000000000000000e+00.20,4.673425282424645277e-02,0.000000000000000000e+00.31,0.000000000000000000e+00.32,7.834266995018279722e-02,-0.000000000000000000e+00.21,-0.000000000000000000e+00.22,0.000000000000000000e+00.33,-0.000000000000000000e+00.23,0.000000000000000000e+00.34,0.000000000000000000e+00.35,-0.000000000000000000e+00.24,0.000000000000000000e+00.36,0.000000000000000000e+00.37,1.463814592506698375e-01,0.000000000000000000e+00.38,-0.000000000000000000e+00.25,0.000000000000000000e+00.39,0.000000000000000000e+00.40,0.000000000000000000e+00.41,0.000000000000000000e+00.42,0.000000000000000000e+00.43,-0.000000000000000000e+00.26,0.000000000000000000e+00.44,-4.466664694392151469e-02,-0.000000000000000000e+00.27,0.000000000000000000e+00.45,0.000000000000000000e+00.46,0.000000000000000000e+00.47,-0.000000000000000000e+00.28,-0.000000000000000000e+00.29,0.000000000000000000e+00.48,0.000000000000000000e+00.49
-0.1841183696290513,4.584601790432473,-0.9759942650434762,-1.0611047939296092,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.006335544904631048,-0.0,-0.0,-0.0,-0.5906139119736542,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.106534245758455,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.031114517744775215,0.0,-0.0,0.013648451339209892,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.21617983644564057,-1.1831319079321752,-0.0,-0.0,-0.0,-0.0,-0.18872517253574603,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.000534794679860739,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.03788683773337373,0.0,0.0,0.0,-0.0,0.01117811304337012,-0.0,-0.0,0.0,0.0,0.0,0.09191195004974073,0.0819682491946226,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
-1.0114767678778,-0.9759942650434762,5.157408387766106,-0.04239931907426552,-0.5322561236551867,-0.37659081326950383,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.6753792615966425,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0874602113309251,-0.0,-0.1515138550940043,0.0,0.0,0.0,0.0,-0.0,-0.0855173321099573,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7324664789814067,-0.6318639817254273,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.06268696050486898,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.019459636332492244,0.0,-0.0,0.0,0.042174563817933206,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
-0.4830810789544477,-1.0611047939296092,-0.04239931907426552,5.451754566818049,-0.6932161694017551,-0.16341860194859553,-0.0988994411393768,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.5640890688261672,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.41114788827340826,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.039132280434614565,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.042193415452320734,-0.6339504590075266,-0.0,-0.07324235403622921,-0.1751635249953827,-0.0,-0.9759969836722613,-0.0,-0.0,0.07611290184834663,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.34565388314797985,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.5322561236551867,-0.6932161694017551,4.73422469314123,-0.34677757408594934,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0793402661547328,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.014642775912364903,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.7718579364813514,-0.0,-0.06875964100766668,-1.7339669503565909,-0.03464208215383967,-0.40590166108888415,-0.0,-0.0,0.0,-0.009027622535246783,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027495797266493927,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.2101349348395297,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
-0.0,-0.0,-0.37659081326950383,-0.16341860194859553,-0.34677757408594934,4.718288368134488,-1.0350901638489212,-0.08246653774052387,-0.48333807953594454,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.012963744507299427,-0.37665067838087607,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.04810154091321977,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8272428165673407,-0.7278493664360601,-0.0,-0.08227611592231909,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.04438017665051989,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.5001255004509058,-0.0
-0.0,-0.0,-0.0,-0.0988994411393768,-0.0,-1.0350901638489212,3.626002445228372,-1.0329129552498,-0.03781974696360233,-0.0,0.0,0.0,0.0,0.0,0.0,-0.2757827256064694,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.027106387167429448,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.289734909244228,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.3900525251506648,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.2821229009008927,0.012348966466448919,0.0,0.0,0.0,0.3914987412334755,0.027204883857287705,-0.0,0.0,0.0,-0.0,0.0,0.0,0.041458269697209726,0.0,-0.0,0.09627503610665064,0.0,0.0,0.02282051532567489,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.07251876711756773,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.08246653774052387,-1.0329129552498,3.7665746697158737,-1.2758401020064,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.09762013617169533,-0.0,-0.0,0.0,-0.0,-0.001208546939958273,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.35643390378114903,-0.5872855848461238,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.4806049118316614,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.17366169501006107,-0.0,-0.0,0.0,0.04683044600345461,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
0.0,0.0,-0.0,-0.0,-0.0,-0.48333807953594454,-0.03781974696360233,-1.2758401020064,3.126631990738716,0.0,-0.0,0.006781040200336669,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.09602164187625753,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.7045920230361785,0.0,-0.0,-0.0,-0.0,0.0,0.029144990468015088,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.05195639112850303,0.0,0.0,-0.49693976473199686,-0.0,-0.0,-0.0,-0.0,-0.640270734509279,0.06840106699553622,0.0,-0.061932201026646726,0.0,0.0,0.0,0.0,0.0,-0.0,0.13512276598702397,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.16334396760133277,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,2.386763146676368,-0.43585124792501106,-0.3062410682527956,-0.0,0.022402181403076305,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.03874904942740516,-0.0,-0.06379996444620241,-0.41306293179757375,0.0,0.14892520594219455,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.1548340238352391,-0.32205950593608274,-0.4120193026716505,0.0,-0.0,-0.0,-0.0,0.0,0.1275340220729876,0.049365564049678845,0.06463438218133026,-0.0,0.0,0.0,0.0,0.08383694248192501,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.18112554322116836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06039891613254192,0.04321357999186832,-0.0,-0.07064886288470705,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.03513984154625208,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.17710624814683343,0.23179421670600653,-0.0,-0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.43585124792501106,1.590174307748168,-0.3023052790732997,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.13507357840984272,0.0,0.04014889039926171,0.0,-0.0,0.028807078838796008,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.10215747874212172,-0.0,0.0,0.0,0.08340233606425548,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0073616982624242515,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.010327080517071558,0.28882339694702114,-0.0,0.0,0.0,0.0,0.0,0.0,-0.015387468430135366,0.0,0.0,0.0,-0.21545500799313,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.13238654627900143,-0.0,0.1945658289599302,-0.0,-0.0,0.20683790778116945,0.0,-0.11157835211948766,0.0,0.0,-0.04258436460522552,-0.07323807757868357
