1.825932976273297648e+00,-8.668762663460442830e-02,-0.000000000000000000e+00,-0.000000000000000000e+00.1,-0.000000000000000000e+00.2,-2.829891100167997720e-01,-0.000000000000000000e+00.3,0.000000000000000000e+00,0.000000000000000000e+00.1,-0.000000000000000000e+00.4,-0.000000000000000000e+00.5,3.234938873132285793e-03,0.000000000000000000e+00.2,5.297047260378123790e-02,0.000000000000000000e+00.3,-2.871913921500000577e-01,-0.000000000000000000e+00.6,0.000000000000000000e+00.4,0.000000000000000000e+00.5,0.000000000000000000e+00.6,0.000000000000000000e+00.7,0.000000000000000000e+00.8,0.000000000000000000e+00.9,0.000000000000000000e+00.10,-0.000000000000000000e+00.7,0.000000000000000000e+00.11,4.193789931546525185e-02,0.000000000000000000e+00.12,5.574588115211724648e-02,0.000000000000000000e+00.13,0.000000000000000000e+00.14,-1.930019810083848653e-01,-2.674191846422938057e-02,-0.000000000000000000e+00.8,0.000000000000000000e+00.15,0.000000000000000000e+00.16,-0.000000000000000000e+00.9,-1.328866593272823304e-01,0.000000000000000000e+00.17,-0.000000000000000000e+00.10,-0.000000000000000000e+00.11,0.000000000000000000e+00.18,0.000000000000000000e+00.19,0.000000000000000000e+00.20,0.000000000000000000e+00.21,0.000000000000000000e+00.22,0.000000000000000000e+00.23,0.000000000000000000e+00.24,-0.000000000000000000e+00.12,0.000000000000000000e+00.25,-7.156742806451851235e-01,-0.000000000000000000e+00.13,0.000000000000000000e+00.26,-0.000000000000000000e+00.14,-1.540642819146551684e-02,-8.585669244873372907e-02,0.000000000000000000e+00.27,1.849743854742944005e-02,0.000000000000000000e+00.28,-0.000000000000000000e+00.15,-0.000000000000000000e+00.16,-0.000000000000000000e+00.17,1.488115769468686123e-01,-0.000000000000000000e+00.18,0.000000000000000000e+00.29,3.788775741882968555e-03,0.000000000000000000e+00.30,0.000000000000000000e+00.31,-0.000000000000000000e+00.19,0.000000000000000000e+00.32,5.914527869366053431e-02,0.000000000000000000e+00.33,0.000000000000000000e+00.34,0.000000000000000000e+00.35,-0.000000000000000000e+00.20,0.000000000000000000e+00.36,0.000000000000000000e+00.37,0.000000000000000000e+00.38,0.000000000000000000e+00.39,-0.000000000000000000e+00.21,-1.607019318383677009e-01,-0.000000000000000000e+00.22,0.000000000000000000e+00.40,-9.774469862162080136e-02,-0.000000000000000000e+00.23,-0.000000000000000000e+00.24,-0.000000000000000000e+00.25,-0.000000000000000000e+00.26,0.000000000000000000e+00.41,0.000000000000000000e+00.42,-0.000000000000000000e+00.27,-0.000000000000000000e+00.28,-0.000000000000000000e+00.29,0.000000000000000000e+00.43,-0.000000000000000000e+00.30,0.000000000000000000e+00.44,-0.000000000000000000e+00.31,0.000000000000000000e+00.45,0.000000000000000000e+00.46,0.000000000000000000e+00.47
-0.08668762663460441,2.461202665908821,-0.07416676817979237,-0.1070782790765164,-0.224347286106368,-0.0,-0.23380755006139797,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.20605258027787235,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.22063836046412957,-0.0,0.0,0.0,-0.0,0.2770082527387065,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.056776654536400926,-0.0,0.0,0.0,0.0,0.0,0.1707397592718621,0.0,0.0,-0.0,-0.0,-0.0,0.08683374488959777,-0.0,0.05870243482583704,0.0,-1.155301778328809,-0.0,-0.0,-0.0,-0.001798135868528958,-0.0,0.0,0.12413960422244036,0.25381036488895886,0.0,0.0,-0.0,-0.1859634016003117,-0.06649033450061295,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.06708932765453603,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
-0.0,-0.07416676817979237,1.5328862922163211,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.016992217750441435,0.0,0.09372383455093304,0.016146440514563456,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.34151871265410727,0.04082430933960935,0.0,0.03822378665781833,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.026241711591072026,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.17348033400813775,0.0,-0.023050592936770604,0.0,-0.0,-0.0,0.0,0.0665699645591351,-0.48980267502343255,0.0,0.09818925121216888,-0.05339579089039855,-0.3576032579148364,0.07650081134132741,0.0,-0.031242003392716735,0.0,0.0,0.0,0.0,-0.0,0.04541227429466822,-0.02543055764496853,0.0,-0.0,-0.0,0.0,-0.0,0.04871037724402696,0.0,-0.0,-0.06145073416559027,0.0,0.0,0.0,0.06494001669193439,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.1313447597636533,0.0
-0.0,-0.1070782790765164,0.0,4.331741158238148,-0.7841248155910697,-0.0,-1.0250752525913511,-0.45680958428979146,-0.0,-0.3159846680280029,-0.0,-0.0,-0.0,0.39092263312921033,0.0,-0.23306872859928263,-0.0,0.0,-0.09136784858199949,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03485573238424484,-0.0,0.0,0.022213876546173583,0.0,-0.0,-0.0,-0.0,-1.260407006930374,0.0,-0.0,-0.0,-0.0,0.23347520637212957,-0.0,-0.10024779033952874,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.037902827341982456,-0.0,-0.0,-0.11970405474376782,0.0,0.0,0.06718489989866178,-0.10607172374954632,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.16566454062852673,-0.0,-0.0,0.0,0.0,0.0,0.05260273865645852,-0.0,0.0,0.0,-0.2296458343163413,0.0,-0.0,0.0,0.0,-0.0
-0.0,-0.224347286106368,0.0,-0.7841248155910697,3.1808792168189424,-0.0,-0.326045607785917,-0.25934409607865977,-0.1667594780996201,-0.0,-0.0,0.0,-0.09084686666064049,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.12127769522564465,0.15211788489515032,0.0,-0.0,-0.0,0.016774158238975535,0.0,-0.17343628742129583,-0.0,0.0,-0.0,0.0,-0.030173667701629964,-0.004008685555171575,-0.10511024901036552,-0.0,-0.0,-0.0,-0.0,-0.09206915915253354,-0.0,-0.3332310323917709,-0.024706652910749288,-0.0,-0.0,0.0,-0.1421329587178989,-0.0,-0.0,-0.767891818047336,-0.28214509419942274,-0.0,-0.0,-0.012122886492908736,0.0,0.0,-0.0,0.0,-0.074246708249531,-0.0,-0.0,0.0,-0.3831782314969098,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.15246045023811977,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.06816207580448269,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
-0.28298911001679977,-0.0,0.0,-0.0,-0.0,2.429869131486961,-0.0,-0.0,-0.2879924529286874,-0.0,-0.0,0.05662929044134889,-0.008948396098300006,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.22260969759026228,0.0,-0.0,-0.14272769884451628,0.218977081854053,0.0,-0.0,-0.0,-0.43689841558832926,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.038405466168122605,-0.0,0.0,-0.040948578410489773,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.20399617313566265,0.2145804788208108,-0.0,-0.021104780179094177,0.0,-0.0,-0.7219832321202152,-0.803455336679479,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.09723041455721752,-0.0,0.012014285197135764,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.177634911488784,0.0,-0.13385610229785333,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.030363712664074127,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
-0.0,-0.23380755006139797,0.0,-1.0250752525913511,-0.326045607785917,-0.0,3.2364281329613687,-0.9725916348621968,-0.0,-0.0,0.0,0.0,-0.0,0.002116230669180423,0.0,-0.2008185721716725,-0.03554289120684626,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.029416677722436415,0.0,-0.0,-0.12435195280141736,-0.09219077513680224,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.11135126898724725,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.1346315113612276,-0.2839149387503182,-0.007852363161756014,-0.0,-0.0,-0.0518201076488885,-0.0,0.0,-0.11245837935623541,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.11104897554287556,-0.0,0.0,-0.0,0.0,0.2116662487395866,0.0
0.0,-0.0,0.0,-0.45680958428979146,-0.25934409607865977,-0.0,-0.9725916348621968,4.721792475430632,-0.11283565323232524,-0.0,0.0,0.1058211000156891,-0.08117301081768603,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0783557461657576,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.1039862797755061,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.11420285191777461,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.1979388689091576,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.9780514808229118,-1.6947452036478137,0.0,0.0,0.0,-0.0,-0.0185786679624961,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0821285359191577,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.2518217747956637,-0.0,0.0,0.0,-0.0,0.08381083464049059,0.31366933031184246,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
0.0,-0.0,-0.0,-0.0,-0.1667594780996201,-0.2879924529286874,-0.0,-0.11283565323232524,2.5301599269012782,-0.0,0.0,0.0,-0.09403376618923324,-0.08605584696700762,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.010066950429951411,-0.054020398070992154,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.05040580083954677,0.0,0.0,0.04734865478848472,-0.30316427615825053,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.24098838051137536,-0.0,0.0,0.0,-0.0,-0.133015977885293,-0.0,0.0,0.0,-0.05021908166557984,0.0,0.0,-0.16270760725578415,-0.28304041681640973,-0.0,-1.0482748481266984,-0.0,0.0,-0.014806427536721836,-0.0,-0.06829332587752185,-0.0,0.0,-0.05539656353201954,-0.019587758484118676,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04311299106210397,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.13843582191928572,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0
-0.0,-0.0,-0.0,-0.3159846680280029,-0.0,-0.0,-0.0,-0.0,-0.0,2.02294360605919,-0.08511335381054867,0.0,0.0,0.14034893120385236,-0.0,0.0,-0.0,0.1450385687871025,-0.0,0.0,-0.0,0.0,-0.0,-0.02944739128052093,-0.3483308048554464,0.4408983740058192,0.0,0.0,-0.08590538219749326,0.0,-0.0,-0.0,-0.04947524439835135,-0.0,0.0,0.2075046907386312,-0.0,-0.0,-0.13341491888274232,-0.20300498712484347,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0011939792717529122,0.0,0.21080228456448669,0.0,0.0,-0.0,-0.2611729530202691,-0.0,0.0,0.0,-0.4894376020045028,-0.04538526098976717,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.02574565366615817,0.0,0.0,0.0,-0.0,-0.2716860653305144,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.08468592459894587,-0.11085124329751704,-0.0,-0.0,0.0,0.0,0.0,0.07623545945096624,-0.21603869248110147,-0.0,0.0,0.0914627709849166,0.0,-0.0,0.0,-0.0,-0.0
-0.0,-0.0,0.016992217750441435,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.08511335381054867,2.168042863154114,-0.6417271244391854,-0.2472579391872154,-0.035489873973124246,-0.0,0.0,-0.02662650063374728,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.14776994808524854,0.0,-0.3966995413271221,0.0,-0.0,0.0,-0.0,0.0,-0.00227740940509587,0.0048074561518247835,-0.0,0.0,-0.0,-0.09853084648368254,-0.0,0.0,0.0,-0.0035335931510830938,-0.1896976867499208,-0.11475162373102787,-0.0,-0.0,-0.0,-0.0,0.08815444855628023,-0.0,-0.0005633719330237817,-0.43145998925393647,-0.01347213108276951,-0.0330065661791139,-0.0,-0.0,0.0,0.0,0.06300233885431639,-0.0,-0.201763630739818,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.13773882206893032,0.0,0.0,0.0,-0.0,0.0,0.061185230429040206,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.16127683193547607,-0.0,-0.0,-0.0,0.0,0.0,0.19557855167827176,-0.0,-0.0,-0.0,-0.0,-0.0,-0.091701949068792,-0.0,-0.0,-0.0,-0.046371494690092545,0.0,0.0,0.0,-0.0
