1.832063912410166528e+00,-0.000000000000000000e+00,-0.000000000000000000e+00.1,-0.000000000000000000e+00.2,0.000000000000000000e+00,-1.767512619756495332e-02,0.000000000000000000e+00.1,0.000000000000000000e+00.2,-0.000000000000000000e+00.3,-0.000000000000000000e+00.4,0.000000000000000000e+00.3,0.000000000000000000e+00.4,0.000000000000000000e+00.5,0.000000000000000000e+00.6,-0.000000000000000000e+00.5,-6.005282091629716990e-02,-0.000000000000000000e+00.6,-0.000000000000000000e+00.7,1.583234782499177151e-01,-1.776239687517739210e-02,0.000000000000000000e+00.7,-0.000000000000000000e+00.8,-0.000000000000000000e+00.9,1.560877278749304709e-01,0.000000000000000000e+00.8,-0.000000000000000000e+00.10,0.000000000000000000e+00.9,-0.000000000000000000e+00.11,-0.000000000000000000e+00.12,0.000000000000000000e+00.10,-0.000000000000000000e+00.13,-0.000000000000000000e+00.14,-6.356171612375300928e-01,-0.000000000000000000e+00.15,-6.444167691622960936e-03,0.000000000000000000e+00.11,-8.162887093677129169e-02,-0.000000000000000000e+00.16,-0.000000000000000000e+00.17,7.221361506641613137e-02,0.000000000000000000e+00.12,-1.335464433845200971e-01,0.000000000000000000e+00.13,-2.953403737915073490e-01,-0.000000000000000000e+00.18,9.495642492837198453e-03,-0.000000000000000000e+00.19,-0.000000000000000000e+00.20,-1.361235518860991200e-01,-0.000000000000000000e+00.21,-2.539372501832120599e-01,-1.418046774419305656e-01,0.000000000000000000e+00.14,-0.000000000000000000e+00.22,0.000000000000000000e+00.15,-1.886759501389641269e-01,1.330379065647020742e-01,0.000000000000000000e+00.16,0.000000000000000000e+00.17,-1.644594457395796294e-01,0.000000000000000000e+00.18,0.000000000000000000e+00.19,0.000000000000000000e+00.20,0.000000000000000000e+00.21,0.000000000000000000e+00.22,-0.000000000000000000e+00.23,0.000000000000000000e+00.23,0.000000000000000000e+00.24,0.000000000000000000e+00.25,0.000000000000000000e+00.26,-0.000000000000000000e+00.24,-0.000000000000000000e+00.25,0.000000000000000000e+00.27,0.000000000000000000e+00.28,0.000000000000000000e+00.29,-1.241813613978451913e-01,0.000000000000000000e+00.30,9.288316726352800756e-02,-0.000000000000000000e+00.26,0.000000000000000000e+00.31,0.000000000000000000e+00.32,0.000000000000000000e+00.33,-0.000000000000000000e+00.27,-0.000000000000000000e+00.28,0.000000000000000000e+00.34,-0.000000000000000000e+00.29,-9.272882582564627441e-02,0.000000000000000000e+00.35,-0.000000000000000000e+00.30,3.598818610632714132e-01,-0.000000000000000000e+00.31,0.000000000000000000e+00.36,-0.000000000000000000e+00.32,0.000000000000000000e+00.37,0.000000000000000000e+00.38,-0.000000000000000000e+00.33,8.228971303074178456e-02,-0.000000000000000000e+00.34,-5.603953773512791205e-04,-0.000000000000000000e+00.35
-0.0,4.192903783705536,-0.4952518794887215,-0.0,-0.6431617115232102,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.6796444129194166,0.0,-0.0,0.0976951163953276,-0.0,0.0,-0.08156683077090203,-0.0,0.0,-0.0,-0.0,-0.0,-0.0005167586981605924,0.0,-0.0,-0.0,-0.03317565259674603,-0.17296276266233093,-0.0,-0.0,-0.26470518742994054,-0.0,-0.0,-0.0,-0.0,-0.24944000006758205,0.0,0.0,0.0,0.0,-0.07672246130973084,-0.0,-0.0,-0.0,-0.0,-0.0,-1.4096140356236408,-0.0,-0.0,-0.0981054014505468,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.3839047470682114,-0.24278189715242543,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.01639974888765158,-0.0,-0.0,0.0
-0.0,-0.4952518794887215,4.101844248571879,0.0,-0.0,-0.7010392422879222,-0.0,-0.0,-0.012899965596227223,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.105545516295825,-0.0,0.0,0.0,-0.0,0.14457866325189547,-0.0,-0.0,-0.31705388537019,-0.0766643526102889,-0.0,-0.1318120231282032,-0.0,0.0,-0.0,-0.0,-0.04177829136404233,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.31424827725644405,-0.03335539567120903,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.2746599953882076,-0.0,-0.07582990205878073,-0.6923116470731986,-0.0,0.0,-1.3004800122578823,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.10191391072589583,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.05848170690979492,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
-0.0,-0.0,0.0,5.020773732914678,-0.7575720384033403,-0.0,-0.47380901583813767,-1.8522939334596784,-0.0,-0.1959288888835728,0.0,0.0,0.0,0.0,0.0,-0.16597929745781448,0.0,0.0,0.25420967615037027,0.0,0.0,0.09705553610286835,-0.0,0.48460981290171373,-0.0,0.0,0.0,-0.0,0.0,0.02234737541269108,-0.0,-0.03852535217477724,-0.0,-0.0,0.0,0.04609788380146925,-0.0,-0.020890360252010767,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.3777032291848521,0.0,-0.0,-0.9726437584223587,-0.0,-0.0,-0.0,-0.40666021263559,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0032503029504018406,0.0,0.05195501712261683,0.14162015129225197,0.0,0.0,-0.0,0.0,0.0,0.0,0.06967792550618765,0.0,-0.0,0.12495083763433076,-0.0,-0.27576134669348235,-0.04429629693397873,-0.0,-0.10060341249448589,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
0.0,-0.6431617115232102,-0.0,-0.7575720384033403,4.556812478568671,-0.0,-0.0,-0.4548378939808123,-0.0,-0.2103060247129516,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.14810077292936688,-0.0,-0.0,-0.0,-0.047128448438584304,-0.0,-0.0,-0.0,-0.0,-0.20239909269311523,-0.0,0.0,-0.0,-0.0,0.18592317309499232,0.0,0.0,0.194915905553538,-0.0,-0.02782016223616364,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.6030277714169973,-0.9925109540734883,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.3831874793391927,0.19924177928110523,-0.0,-0.05390806021682598,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.1372616906158053,-0.0,-0.0,-0.16990477445149818,-0.0
-0.017675126197564953,-0.0,-0.7010392422879222,-0.0,-0.0,3.727429572750829,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1759927443582024,-0.0,-0.12047182848135284,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.3160708076589981,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.3293419284903893,-0.0,-0.10948319335991227,-0.0,-0.0,-0.0,-1.2922242102811448,-0.8727132345534863,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.07354137320138752,-0.0,0.0,0.19973047521500864,0.055135432874997295,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.025276179329466904,-0.0534284544510981,-0.0
0.0,-0.0,-0.0,-0.47380901583813767,-0.0,-0.0,4.751284167126508,-1.2784681566389071,-0.047902900279805725,-0.2157501781089918,0.0,-0.0,-0.0,-0.0,0.0,-0.15824522833245544,-0.0,-0.0,-0.0,0.03500396702664966,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.019079132737418368,0.006997300930486591,-0.11161068642790596,-0.0,-1.2122996039071836,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.1582481007203305,0.0,-0.0,-0.0,-0.0,-0.0,-0.24830245636795836,-0.7826528694428606,-0.0,-0.0,-0.0,-0.0,-0.1884515921536026,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.12456383126292618,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.119670140283908,0.010893580779662557,-0.0,-0.23825710228573185,-0.0,0.0,0.0,0.0,-0.10204931792480498,0.15616856804129084,0.0,-0.0,0.0,-0.0,0.010234797785417672,0.0,0.0,0.0,0.0
0.0,-0.0,-0.0,-1.8522939334596784,-0.4548378939808123,-0.0,-1.2784681566389071,5.902740656293761,-0.17750186421989672,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.5358643706042204,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.10982454877561439,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.29978243467929794,-0.0,-0.024195227258862397,-0.0,-0.9753896608460496,-0.0,-0.0,-0.0,-0.0,-0.0900077507164798,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.5073939529044287,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
-0.0,-0.0,-0.012899965596227223,-0.0,-0.0,-0.0,-0.047902900279805725,-0.17750186421989672,2.2220663381916714,0.0,0.09929610595553581,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.19287772245366464,-0.0,-0.0,-0.0,0.110741149954944,-0.0,0.0,-0.11595754581727552,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.20203547440609412,0.0,-0.0,0.0,-0.0,0.16104812860498763,0.0,-0.15481709861619727,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0060713982772393526,0.0,-0.01620920569380845,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.24985404042543377,-0.0,-0.6241251634127016,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.23471469195888311,0.0,-0.15821733777584598,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.005544616455235367,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.10799282725407196,-0.02881915974540748,-0.0,-0.18780153115463877,-0.026441934906651202,0.0,0.0,-0.0,0.12093658633656736,0.0,-0.0,-0.10429979055775972
-0.0,0.0,-0.0,-0.1959288888835728,-0.2103060247129516,-0.0,-0.2157501781089918,-0.0,0.0,2.7379059974497126,-0.0,-0.33413130009758246,-0.0,-0.0,-0.0,-0.20194218553782955,-0.6889635927407401,0.0,0.0,0.0,-0.0,-0.0,-0.16294305362464123,-0.0,-0.5818336722006351,0.0,0.0,-0.05457595388592992,-0.0,-0.0,-0.03773016946122116,-0.15517638367137254,-0.13567797595116543,-0.08067830286581983,-0.0,0.062220541465258274,-0.0,-0.11753905066593408,0.0,-0.08404048232692275,-0.0,-0.0,0.0,0.0,0.0,0.061237013664757194,-0.16316625034087015,-0.13283250579250092,-0.0,-0.0,0.16762077597256833,0.0,0.0,0.0,-0.09382675798603696,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0017087097600857338,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.11189550332839401,-0.0,0.0,0.06378598351794501,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0377823894910298,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.10912156377193245,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.09929610595553581,-0.0,2.2495524092020007,-1.1819834780901968,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0605708744358911,-0.11517516505374308,0.0,-0.0,-0.0,0.0,0.0,0.0005531621590963142,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.028664853644693927,0.0,0.023328731475986728,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.2643111121539954,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.12192348959131127,-0.651721027296302,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.09301433918683712,0.0,-0.0,-0.04289014740450652,0.032613270447372,0.0,-0.0,0.0,-0.0,0.13050587387660623,-0.0,-0.0,0.0,0.09357175145772467,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.39689301776760566,-0.013697859573744505
