2.010565618035632607e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00.1,-0.000000000000000000e+00.2,-0.000000000000000000e+00.3,-0.000000000000000000e+00.4,0.000000000000000000e+00.1,0.000000000000000000e+00.2,-0.000000000000000000e+00.5,-0.000000000000000000e+00.6,0.000000000000000000e+00.3,-0.000000000000000000e+00.7,-0.000000000000000000e+00.8,-0.000000000000000000e+00.9,-1.240027008037594830e-01,-9.856754283014640405e-02,-3.136296621794638223e-02,-0.000000000000000000e+00.10,-0.000000000000000000e+00.11,0.000000000000000000e+00.4,-0.000000000000000000e+00.12,-2.168160083036048957e-01,0.000000000000000000e+00.5,-9.624606356860829215e-02,0.000000000000000000e+00.6,0.000000000000000000e+00.7,0.000000000000000000e+00.8,-0.000000000000000000e+00.13,0.000000000000000000e+00.9,-0.000000000000000000e+00.14,-5.211225412534890682e-03,-0.000000000000000000e+00.15,-0.000000000000000000e+00.16,0.000000000000000000e+00.10,-0.000000000000000000e+00.17,-0.000000000000000000e+00.18,-0.000000000000000000e+00.19,0.000000000000000000e+00.11,0.000000000000000000e+00.12,-3.296537273443109206e-01,0.000000000000000000e+00.13,0.000000000000000000e+00.14,-4.656109949029873379e-02,0.000000000000000000e+00.15,0.000000000000000000e+00.16,0.000000000000000000e+00.17,-0.000000000000000000e+00.20,-2.440180082252003113e-01,-0.000000000000000000e+00.21,-3.156092575673270506e-01,0.000000000000000000e+00.18,0.000000000000000000e+00.19,0.000000000000000000e+00.20,-0.000000000000000000e+00.22,-2.347840900759833732e-02,0.000000000000000000e+00.21,0.000000000000000000e+00.22,0.000000000000000000e+00.23,-2.095118764172730630e-01,-0.000000000000000000e+00.23,-0.000000000000000000e+00.24,0.000000000000000000e+00.24,-5.374520943616585729e-03,-0.000000000000000000e+00.25,-0.000000000000000000e+00.26,-0.000000000000000000e+00.27,0.000000000000000000e+00.25,-0.000000000000000000e+00.28,-0.000000000000000000e+00.29,0.000000000000000000e+00.26,0.000000000000000000e+00.27,0.000000000000000000e+00.28,2.043008352111711501e-01,0.000000000000000000e+00.29,-0.000000000000000000e+00.30,-0.000000000000000000e+00.31,2.054863470098634848e-01,-1.945268866601954638e-01,0.000000000000000000e+00.30,0.000000000000000000e+00.31,-0.000000000000000000e+00.32,3.215107642363141532e-02,0.000000000000000000e+00.32,7.423532651306737062e-02,0.000000000000000000e+00.33,0.000000000000000000e+00.34,0.000000000000000000e+00.35,-0.000000000000000000e+00.33,3.564391171272943137e-02,0.000000000000000000e+00.36,-0.000000000000000000e+00.34,0.000000000000000000e+00.37,-0.000000000000000000e+00.35,6.892711892734883217e-02,-0.000000000000000000e+00.36,0.000000000000000000e+00.38,-1.011324285787417870e-01,-3.796672168588253737e-01,-0.000000000000000000e+00.37
0.0,2.3047859386856455,-0.0,-0.10061541847491468,-0.5114596156651334,-0.0,-0.0,-0.1656870005592135,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.11110778074310144,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.08940591298569224,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.014846204157152834,-0.0,-0.0,0.0,0.023544338848746408,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.6888133350992913,-0.0,-0.054528460454669456,-0.0,-0.0,-0.0,-0.3443952301406148,-0.0,-0.0,-0.0,-0.035197782670723446,-0.0,-0.199345529732829,-0.0,-0.11965805792923428,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0729490016754742,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.027034712826389085,0.018097112168893818,0.0,0.0,0.06967896148986001,0.0,0.0,0.14464823119431464,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.08787470272927284,0.0,0.0
-0.0,-0.0,2.0435027039692364,0.0,0.0,-0.09615983157749715,-0.0,-0.32174376204356503,-0.24316792572439688,-0.05939459994096954,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.06561620523694521,0.0,-0.0,-0.18719231916562823,0.0,0.0,0.0,-0.22794827652833427,0.029566310190393404,-0.0,-0.0,0.02182868429411497,0.0,0.0,0.0,-0.0,-0.0,0.007291964382794982,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.4343945843016114,0.018592262979801977,0.0,-0.27748481505517814,-0.3481939331653079,-0.0,-0.0,-0.00866728990521781,-0.0,-0.0,-0.09361312102016216,-0.0,-0.0,-0.0,0.0,-0.0036335184731872304,0.0,0.0,0.0,-0.0,0.0,0.09556824929483936,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.08663527726501849,0.0,0.0,-0.0,0.01958787885382304,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
-0.0,-0.10061541847491468,0.0,2.3474908394019938,-0.36711919900392515,0.0,-0.16408184178650653,-0.7027404724255288,0.0,-0.0,0.15987867890300023,0.0,0.0,-0.04617847062123032,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.021120892109263725,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.17630651065299596,0.0,-0.037129123499792874,-0.0,-0.0,0.0,0.0,-0.16954882328026272,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.020222234099707168,0.0,0.0,-0.0,0.27748073909102594,0.0,0.0,-0.6487433148729022,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.013519216760279769,0.0,0.0,-0.0,-0.0,0.16530194928588768,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.10000708782465674,0.0,0.0,-0.0,0.0,0.0,0.02254258504063914,0.0,0.0,0.0,0.054657286363675166,0.0,-0.08310474888176109,0.0,0.0002917217427628364,0.0
-0.0,-0.5114596156651334,0.0,-0.36711919900392515,2.7264351513934537,-0.39308725991924953,0.0,-0.0,-0.0,-0.0,0.10931836495770059,0.03684901651038772,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.14227475068249384,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.13343936195713768,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.08690398435458965,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.786714151693888,-0.485164190660574,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.15906226561101666,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.021846195040394277,0.0,0.019446997400341007,0.029588377704071567,0.0,0.0,0.0,0.10569104906143076,0.0,-0.0,0.22014978259026335,0.0,0.060386560559615006,0.0,-0.0,0.027303746184630558,0.0,0.0,0.0,0.17763157778263655,0.03017549025226488,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.024894446691253964,-0.0,-0.0
-0.0,-0.0,-0.09615983157749715,0.0,-0.39308725991924953,2.713042013312126,0.0,0.0,-0.02953273152730411,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.09368767171527392,0.0,0.0,-0.05266039222721229,0.0,0.0,0.0,-0.026677464470612023,0.0,-0.0,-0.0,0.10097752712479556,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.04937401083870081,-0.0,0.0029253887819242685,0.0,0.0,0.0,-0.28711525625699647,-0.0,0.0,-0.0,0.1000211255758024,0.0,-0.7661977981333736,-0.9922349231861128,0.0,-0.0,-0.0,-0.0,-0.0,-0.0510799920542467,-0.0,-0.0,0.001565520699155618,0.0,-0.0,0.0,0.04725449648359381,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.09824863151505948,0.0,0.042038737921740565,0.0,0.0,0.006413623342189981,0.007712434514249994,0.0,0.260906366628659,0.0,0.12795184549112087,0.15600416083222843,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.16408184178650653,0.0,0.0,1.8464858494559209,-0.4536672452670043,-0.0,-0.0,0.015950727537311447,0.008984059576483497,0.0,-0.0,-0.006519774704863392,-0.3315982557766792,-0.21626303778547187,-0.17638793500077765,-0.0,-0.0,-0.00616734827458936,-0.0,-0.054142170410540216,-0.0,-0.0,0.0,0.0,0.0,-0.11701478473658324,0.0,0.0,0.0,-0.0,-0.005644786752949865,-0.0,0.0,-0.0,-0.0,-0.0,-0.11438992829985357,-0.029531318373235048,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.2060325597291479,0.0,0.0,0.013039874845490199,0.0,-0.0,-0.03801206818564807,-0.0,0.0,-0.0,-0.0,0.0300768120918434,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.12908834865674892,-0.0,-0.06553695135325804,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.07261798249744471,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.052941619652369765,0.0,0.018293151508898185,-0.0,0.0016228789145807908,0.06810564102993556,0.0,0.0,-0.0,0.0,-0.0
0.0,-0.1656870005592135,-0.32174376204356503,-0.7027404724255288,-0.0,0.0,-0.4536672452670043,3.2779008448019504,-0.0,-0.12929025400117555,0.0,0.0,0.0,-0.0,-0.035621057357993965,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.07459915700884305,0.004321036276720235,-0.0,-0.0,-0.0,0.028132944648928356,0.09266543710308592,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.25169848625063435,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.9331578336816014,-0.4597157616786767,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.1098864871312084,-0.0,-0.0,-0.0,-0.0,-0.05851065954148109,0.0,-0.0,-0.0,-0.26624858867735657,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0019172519284576584,-0.14037731520191107,-0.0,0.017216242035583158,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.042434820436520575,0.0,0.20650957027943373,0.0
0.0,0.0,-0.24316792572439688,0.0,-0.0,-0.02953273152730411,-0.0,-0.0,2.468393191479447,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.1390796739042472,0.0,-0.08776214540161593,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.3174072975245715,-0.0,0.0,-0.0,-0.08817340474124878,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.1932257598430989,-0.25603688682914194,-0.03547130358889416,-1.2552993157572685,-0.0,0.14008382558368845,-0.0,-0.0,-0.0,-0.0,-0.0,-0.08552241087355417,-0.014002193071601618,0.0,0.0,-0.0,-0.0,0.03416204286064977,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.1525437746939856,-0.0,0.014734053707828603,-0.0,0.0,-0.22025797350900733,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.05939459994096954,-0.0,-0.0,-0.0,-0.0,-0.12929025400117555,-0.0,1.5892984913231951,-0.0616375819472929,-0.04962418583352022,0.0,-0.1475843598749242,-0.0,-0.0,-0.022233932058682935,0.0,-0.0,-0.0,-0.15155197007693308,0.0,0.0,0.0,-0.30777464956694817,0.16197566729951496,-0.0,0.0,-0.0,0.2609629922032663,0.0,-0.0,-0.1549189670262379,0.0,0.0,0.0,0.0,-0.15085725534232208,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.31861488339016725,0.0,-0.0,0.0,0.0,-0.0,-0.01754858423032014,-0.0,-0.24110888067465683,-0.0,-0.0,-0.1352620096542934,0.0,-0.0,0.0,0.0,0.0,0.027539902417048186,-0.0,0.01924973532514811,-0.0,-0.0,-0.2787454136623618,-0.023826601240320686,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.001207400068436382,0.011893160372145084,0.0,0.012196881868463424,0.0,0.0,0.0,0.07905170754636838,-0.0,-0.1201959186766351,-0.007824014456797902,0.0,-0.0
-0.0,0.0,0.0,0.15987867890300023,0.10931836495770059,-0.0,0.015950727537311447,0.0,0.0,-0.0616375819472929,1.626728552759925,-0.43808514081290656,-0.1937092716777732,-0.0,-0.045011293926063074,-0.03287705867542123,-0.0,0.0,-0.04613645898489112,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.05390234359115319,-0.0,0.0,0.0,-0.0,-0.08763324600297918,0.09855038909256333,0.0,-0.0,0.018455649062553856,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.09776105286796595,0.0,0.0,0.028112599192017976,0.0,-0.0,0.03155093626712245,0.0,-0.0939006235352659,-0.29949923190208544,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.03620415065278928,0.0,0.25874546965198814,-0.0,0.0,-0.0,-0.06227225297841737,0.0,0.14743008396503335,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.10324293952638718,0.19299037726912496,0.0,0.0,0.0,0.12699408380747787,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
