2.069774576515446718e+00,-0.000000000000000000e+00,-0.000000000000000000e+00.1,-0.000000000000000000e+00.2,-0.000000000000000000e+00.3,-0.000000000000000000e+00.4,-0.000000000000000000e+00.5,-0.000000000000000000e+00.6,-0.000000000000000000e+00.7,-0.000000000000000000e+00.8,-0.000000000000000000e+00.9,-0.000000000000000000e+00.10,0.000000000000000000e+00,-0.000000000000000000e+00.11,0.000000000000000000e+00.1,-3.110953088812931089e-01,0.000000000000000000e+00.2,0.000000000000000000e+00.3,0.000000000000000000e+00.4,0.000000000000000000e+00.5,-0.000000000000000000e+00.12,7.496199250906054878e-02,0.000000000000000000e+00.6,-0.000000000000000000e+00.13,-0.000000000000000000e+00.14,9.367809128125836882e-02,0.000000000000000000e+00.7,-0.000000000000000000e+00.15,-0.000000000000000000e+00.16,-9.997297169325310151e-02,0.000000000000000000e+00.8,-3.256387851220005070e-02,-0.000000000000000000e+00.17,7.041075779673673651e-02,0.000000000000000000e+00.9,-0.000000000000000000e+00.18,-0.000000000000000000e+00.19,-2.748509762484926955e-01,-0.000000000000000000e+00.20,-1.869913126645441903e-01,3.108689277461383904e-01,5.044824105815450682e-02,0.000000000000000000e+00.10,0.000000000000000000e+00.11,-2.346147681031925808e-02,0.000000000000000000e+00.12,-0.000000000000000000e+00.21,0.000000000000000000e+00.13,-0.000000000000000000e+00.22,0.000000000000000000e+00.14,-4.840750446054251088e-01,-0.000000000000000000e+00.23,0.000000000000000000e+00.15,-1.652059824340342074e-03,0.000000000000000000e+00.16,-0.000000000000000000e+00.24,-0.000000000000000000e+00.25,2.928885593469304216e-01,0.000000000000000000e+00.17,1.859024203538507392e-01,2.526063455392115742e-01,0.000000000000000000e+00.18,-0.000000000000000000e+00.26,0.000000000000000000e+00.19,0.000000000000000000e+00.20,0.000000000000000000e+00.21,-1.370567575146823709e-02,1.376741300215655883e-01,0.000000000000000000e+00.22,0.000000000000000000e+00.23,-0.000000000000000000e+00.27,1.436945993333091642e-01,0.000000000000000000e+00.24,-1.205716823869654036e-01,0.000000000000000000e+00.25,8.953535420813334145e-03,-2.217884418849544459e-01,-9.808400181385701355e-02,0.000000000000000000e+00.26,-0.000000000000000000e+00.28,0.000000000000000000e+00.27,-0.000000000000000000e+00.29,-1.684666935709563940e-02,-0.000000000000000000e+00.30,-0.000000000000000000e+00.31,-0.000000000000000000e+00.32,-9.377845521507989501e-02,-0.000000000000000000e+00.33,-7.840605846833040293e-02,0.000000000000000000e+00.28,0.000000000000000000e+00.29,-0.000000000000000000e+00.34,-0.000000000000000000e+00.35,6.102116631289122850e-01,0.000000000000000000e+00.30,-3.689006059854069153e-02,-0.000000000000000000e+00.36,0.000000000000000000e+00.31,-1.452236850260858747e-01,-0.000000000000000000e+00.37
-0.0,3.7851501361863193,-0.2241008192471876,-1.7688795775724406,-0.7719504751386398,-0.0,-0.0,-1.0293914873329988,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.012638951511881944,-0.0,-0.0,0.0,0.003762233094202597,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.004733496801720616,-0.0,0.0,0.02492734170693135,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22512062783848263,0.0,0.0,-0.0,-0.09978247598005578,-0.0,-0.0,0.0,-0.01117874934036636,-0.0,0.0,0.2008016617464864,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.05226563478324881,-0.0,0.0,-0.0,0.00029824912079929016,0.0,0.0,0.11776736494776913,0.0,0.0,0.1734364779489734,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.11960148932523972,0.0,0.0,0.0,-0.0,0.0,0.0,0.08556662546127304,0.0,0.0,0.0407803478496224,0.03780220466706432,0.0
-0.0,-0.2241008192471876,2.945585234476456,-0.0,-0.0,-0.16408617987503923,0.0,-0.2988212955197248,-0.0,-0.0,-0.19174634321996384,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.11888889727212296,-0.0,-0.0,-0.0,-0.0,-0.1844174911093136,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.26145931300457986,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.822637311557447,-0.0,0.0,-0.5751009656179376,-0.8908600749831338,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.1089147564573134,0.0,-0.0,-0.0,-0.04816697108119465,0.0,-0.0,0.0,-0.0,0.0,-0.24149881307803067,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024567858708002516,0.0,0.14975844633630528,0.0,-0.11354337795398572,-0.0,0.0,0.061111724833201,-0.0,0.0
-0.0,-1.7688795775724406,-0.0,3.6092415704636474,-0.19915223994738285,-0.0,-0.0,-0.0,0.0,-0.03203904431483805,0.0,0.0,-0.0,-0.13541607054163052,-0.0,-0.8167670320576303,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.17877488085607388,0.0,-0.01917073802916125,-0.0,-0.0,0.05653569445378916,-0.0,-0.3428961061583319,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.009966901850761411,0.0,0.04323631692484522,-0.0,-0.02503432836956824,-0.5752510220707122,0.12112192049864912,0.005931238360468944,-0.0,0.1471134952790986,0.0,0.0,0.0,0.0,-0.0,-0.011654240431301135,0.0,-0.0,0.0976806891901324,0.0,-0.08630520209123699,0.0,0.0,0.0,0.0,0.0,0.18655689451484567,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.021277991025329283,0.0,0.0,-0.0,-0.0,0.0,0.025608385802617227,-0.0,-0.0,0.0,0.0037475461838684574,-0.0
-0.0,-0.7719504751386398,-0.0,-0.19915223994738285,2.399915030915964,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.07498868567176287,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.009992483767017288,0.0,0.12518449728959735,-0.0,0.0,-0.0,-0.0466459770163082,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.11032014756911095,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.03087227483562809,0.13645484019923787,0.18628187987496292,0.0,0.0,-0.0,-0.809257652596648,-0.3078375113120396,0.06397193790902944,-0.128868050341312,-0.0,-0.0,0.27994729853853956,0.027785739454175628,0.23862085417011436,0.0,0.1952795082869453,0.015929209232996535,0.0,0.0,0.0,-0.0,-0.0,0.023587228581923685,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.10168351164664036,-0.09391196574021482,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0705956201059956,0.0
-0.0,-0.0,-0.16408617987503923,-0.0,-0.0,3.455794906553292,0.0,-0.0,-0.020657842077696605,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.4952648928067752,-0.0,-0.0,-0.037530390662374416,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.12415842221754755,-0.0,-0.0,-0.0,-0.0,-0.0,-1.5193753671918275,-1.101173800865454,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.15344389678878184,0.0,0.03909720892043916,0.13576211795338136,0.19592478419837767,0.03364551680499046,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.11778146526855664,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.3746713722561217,-0.12584700742494484,0.0
-0.0,-0.0,0.0,-0.0,0.0,0.0,2.5012727504836807,-0.785649337238712,-0.24837453192168593,0.0,0.25686784654948874,0.0,0.2590686974571057,-0.0,0.0,-0.0,-0.268651197943208,-0.15301358893480263,-0.0,0.0,-0.16919541463837964,0.0,-0.1728574949724432,-0.0,-0.0,0.0,0.0,0.06069256079741488,0.0,-0.0,0.1992785274597024,-0.36909267472221696,-0.05289182460857353,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.49851749607497253,-0.0,-0.0,0.0,0.0695554399933697,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0018684905508196275,-0.0,0.0,0.023659469635282288,-0.0,0.23932613695745267,0.0,-0.0,-0.0,-0.0,-0.08609905306745075,0.0,0.0,-0.0,-0.0,0.0,-0.0010892101008364752,-0.0,0.0,-0.0,-0.0,0.04668976706911379,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.13194091646250855,0.1559411129794814,-0.0,-0.0,0.04316521436915884,-0.0,-0.0,-0.0,0.0,0.0,-0.38399432811214007,0.0,0.0,0.0
-0.0,-1.0293914873329988,-0.2988212955197248,-0.0,0.0,-0.0,-0.785649337238712,3.9546952608177297,-0.7020390391773351,-0.0,0.0,0.0,0.037585503635935165,-0.0,0.0,-0.3666537807935121,-0.0,-0.19890248299178687,-0.0,-0.0,-0.2377560026093808,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.031553131359087445,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.5858666581992973,-0.0,0.0,-0.0,-0.0,-0.35046665826148865,-0.36913878167201614,0.0,0.05657860373952873,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.08592120691619533,-0.09159492276781875,0.030734302581503142,-0.0,0.014276655613351648,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.03688534171123986,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.17197020404023164,-0.0,0.0,0.27039211823123693,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
-0.0,-0.0,-0.0,0.0,0.0,-0.020657842077696605,-0.24837453192168593,-0.7020390391773351,3.6046386137250273,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.006356407154939678,0.0828796303363688,-0.0,-0.0,-0.23257291074589756,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.8772093729360294,0.0,-0.0,-0.0,-0.0,-0.0,0.10446842952717159,0.0,0.0,0.008230825560959193,0.0,-0.0,-0.0,-0.0,-0.32477423328620486,0.0,-0.0,-0.0,0.0,-0.0,-0.7241449523477661,-0.0,-0.91254946665037,0.0,0.0,-0.20571222437760547,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.18228398259200235,-0.0,-0.0,0.2236840413410548,-0.0,0.0,-0.0,-0.027547922079525822,-0.0972047294651883,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.03683727397496225,-0.0,0.108755770205055,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.2790864625075587,-0.0
-0.0,-0.0,-0.0,-0.03203904431483805,-0.0,0.0,0.0,-0.0,-0.0,2.633042820020927,-0.05520451417148361,-0.0,-0.0,-0.0,-0.12483130125314076,-0.400318139231176,0.0,0.0,0.0,0.25310453299545904,0.0,0.0,0.0,-0.24941424943293217,-0.016668557391253013,-0.0,0.0,-0.0,-0.07102778333342878,0.0,-0.0,0.0,-0.22094796905819275,-0.0,0.0,-0.0,-0.0,-0.0,-0.535245744313436,-0.18910334085642236,0.0,0.0,0.0,-0.0,0.0,0.14531518757922834,0.0,0.07553213071353748,0.0,0.0,0.10862908621960005,0.0,-0.0,-0.0,0.0,-0.06492232401335783,0.0,-0.0,-0.7777786872609905,-0.046313671350786234,-0.0,-0.0,-0.15963406232662183,-0.0,-0.0,-0.0,0.18445366306740857,0.07506531448889203,0.0,0.1221458915895432,-0.0,0.25802471065537314,0.08817590410962585,-0.172031032847706,-0.0,-0.0,-0.2523369175215484,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.1823636907829476,-0.0,-0.0,-0.032936203529169365,-0.020242644608592816,-0.0,0.0,0.0,-0.0,-0.28892166048452567,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
-0.0,0.0,-0.19174634321996384,0.0,0.0,-0.0,0.25686784654948874,0.0,0.0,-0.05520451417148361,2.667157712154238,-0.8828507118047898,-0.0,0.0,-0.0,0.223844255000052,0.0,0.0,-0.0,-0.0,-0.0,0.16098634440022996,0.18535798660778507,-0.0,-0.0,-0.0,0.0,-0.039332367348777375,-0.0,0.0,-0.0,0.07224376914419574,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.11202571778725308,-0.1512950924865236,-0.0,-0.0,0.0,-0.0,-0.0,-0.05019620169806479,-0.09838429286761367,0.0,0.0,-0.0,-0.39146320244635086,-0.0,-0.0,-0.4294256437599328,-0.24777607892524253,-0.0,-0.32442522624322834,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.04467617262927181,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.08874168482207878,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04518259655648964,-0.061068573195031006,0.0,0.0,-0.0,-0.0
