2.021711906306130402e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00.1,-0.000000000000000000e+00.2,-2.169586087619349013e-01,0.000000000000000000e+00.1,0.000000000000000000e+00.2,-2.741358181890443321e-02,0.000000000000000000e+00.3,-4.840860694282501930e-03,0.000000000000000000e+00.4,0.000000000000000000e+00.5,0.000000000000000000e+00.6,0.000000000000000000e+00.7,-4.819901530132483791e-02,2.392787539359141416e-02,0.000000000000000000e+00.8,0.000000000000000000e+00.9,0.000000000000000000e+00.10,0.000000000000000000e+00.11,0.000000000000000000e+00.12,0.000000000000000000e+00.13,0.000000000000000000e+00.14,0.000000000000000000e+00.15,0.000000000000000000e+00.16,-1.134767912265859935e-01,3.391715224155951169e-01,0.000000000000000000e+00.17,1.775365454719327329e-01,-0.000000000000000000e+00.3,-3.698051577631623066e-01,-2.150391415937445705e-01,0.000000000000000000e+00.18,0.000000000000000000e+00.19,0.000000000000000000e+00.20,-6.341534355928468703e-02,-7.660615487240019991e-03,0.000000000000000000e+00.21,-3.637472295872067052e-02,-1.190887929734431860e-01,0.000000000000000000e+00.22,0.000000000000000000e+00.23,-0.000000000000000000e+00.4,-0.000000000000000000e+00.5,-0.000000000000000000e+00.6,0.000000000000000000e+00.24,-0.000000000000000000e+00.7,-0.000000000000000000e+00.8,-0.000000000000000000e+00.9,-2.071496651902816899e-01,-0.000000000000000000e+00.10,-0.000000000000000000e+00.11,-0.000000000000000000e+00.12,0.000000000000000000e+00.25,-0.000000000000000000e+00.13,0.000000000000000000e+00.26,0.000000000000000000e+00.27,-0.000000000000000000e+00.14,-3.996163458726435525e-01,-4.281243995447180789e-02,-8.654208764820396291e-03,-0.000000000000000000e+00.15,-0.000000000000000000e+00.16,-2.972855489932988426e-01,-1.152415860895534411e-01,-0.000000000000000000e+00.17,-0.000000000000000000e+00.18,-0.000000000000000000e+00.19,-0.000000000000000000e+00.20,-0.000000000000000000e+00.21,0.000000000000000000e+00.28,0.000000000000000000e+00.29,1.457033620287240538e-01,-0.000000000000000000e+00.22,0.000000000000000000e+00.30,0.000000000000000000e+00.31,0.000000000000000000e+00.32,3.166403205654848008e-01,-9.622254910332164735e-02,-0.000000000000000000e+00.23,-0.000000000000000000e+00.24,-0.000000000000000000e+00.25,0.000000000000000000e+00.33,0.000000000000000000e+00.34,0.000000000000000000e+00.35,-6.444435572275121482e-02,1.079832427540250855e-01,0.000000000000000000e+00.36,6.627428636017158869e-02,0.000000000000000000e+00.37,-0.000000000000000000e+00.26,1.456173112422808891e-01,0.000000000000000000e+00.38,-0.000000000000000000e+00.27,0.000000000000000000e+00.39,-6.113617777833584011e-02,-0.000000000000000000e+00.28,0.000000000000000000e+00.40,0.000000000000000000e+00.41
-0.0,3.213447075166164,0.0,-0.3755325810339621,-0.04140340018471197,-0.0,-0.050890638311913046,-0.4174488252541239,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.1331455637978444,-0.018625995913642324,0.16613072437045243,-0.0319449735210466,-0.0,0.0,0.0,0.0,-0.0,0.0,0.36283522652372013,0.090710573527929,0.0,-0.0,0.09801380627396673,0.0,0.0,-0.0,0.0,-0.15179233524383415,0.0,-0.0,0.021080632848088088,-0.0,0.0,0.0,0.0,0.23869333142092336,0.0049730326401866,0.0,0.0,0.0,-0.0,0.0,-0.0,-1.0208965262552343,-0.0,-0.413002679117004,-0.0,-0.0,-0.33530702543871344,-0.0,-0.0,0.0,0.0,0.0,0.0,0.10956257885193704,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.030264579572008603,-0.0,-0.0,0.0,0.0,0.1034695173491381,-0.07347870614528547,-0.0,-0.0,-0.0,-0.08511074824780926,-0.0,-0.0,0.0,0.0,-0.07875215872530672,-0.05931062714191821,0.0,-0.0,-0.1469368619234071,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
0.0,0.0,2.966472740811944,0.0,-0.09494659387396627,-0.4723494158616841,-0.0,-0.009715508944246372,-0.7927153399844244,0.0,0.0,-0.0,-0.0,-0.0,0.004931266745148181,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.024566674900892527,-0.0,0.0,-0.07014553613616438,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.11396055076189689,-0.0,0.0,-0.0,0.0,-0.0,0.12871081560682895,0.0,0.0,-0.0,0.0,-0.0,0.1623103870128229,-0.0,0.0,0.4304464569377778,-0.6214574705379711,-0.6089240228815441,0.0,-0.1659428313067611,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.005905145338809182,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.04318795254135476,-0.02731614523866016,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.3755325810339621,0.0,2.5731609048610244,-0.0,0.0,-0.10820536607021077,-0.3401319440669491,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.1433857580525567,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.12927576389041587,0.0,-0.0,0.0,0.0,0.0,-0.07647487585786676,0.0,-0.0,-0.0,-0.0,-0.0,0.06514957751000841,-0.0,0.0,-0.0,-0.020210800858943972,0.0787689231411351,0.0,0.0,0.036249444459025115,-0.0,0.0,-0.0,0.014793108454342237,-0.2546006899295238,0.0,-0.5929930969478643,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.27658330243521884,-0.0,-0.0,-0.0,-0.0,-0.0,0.22710019936674464,-0.0,0.0,0.0,0.0,0.0,-0.15260170797280465,-0.0,-0.0,-0.0,-0.0,-0.0,0.03402721806489365,0.0,-0.0,0.0,-0.1029908222513062,-0.00991599860301232,-0.21946112843326895,-0.30143515369506607,-0.0,0.0,0.0,0.0,0.28282505595337326,-0.0,0.0,-0.0,0.0,0.0,-0.14250487660224048,-0.0,0.0,0.0
-0.0,-0.04140340018471197,-0.09494659387396627,-0.0,2.7487463977634823,-0.0,0.0,-0.8734574346529455,-0.02243833349773328,-0.0,-0.16986865159369183,0.0,0.07269536670043082,0.0,0.0,-0.0,0.15472125221640348,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.03927722653411635,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.2084809370608725,-0.0,-0.15927811260142283,0.0604371339484735,0.0,0.0,-0.0,-0.0,-0.0,-0.752636972669327,0.0,-0.0,-0.6070936389345257,-0.0,0.0,-0.0,0.0,0.04254416773605448,0.0,0.21843753409298533,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.12573044648720205,0.0,0.0,-0.10261906947040388,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.00805535469147051,-0.0,-0.0,0.0,-0.0,-0.0,0.021871540234834584,-0.0,-0.0,0.0,0.04235150483711873,0.194564923887789,-0.0
-0.21695860876193487,-0.0,-0.4723494158616841,0.0,-0.0,3.3431669435041766,0.0,0.0,-0.4324016047190989,-0.0,-0.0896685166716735,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.051600944578462433,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.018655963212017172,-0.0,-0.2853194309783324,0.0,0.0,0.07206644280411001,-0.153978508940416,-0.16661512360122818,-0.0452859443579214,-0.106228876361428,-0.2458718407246601,-0.0,-0.0,0.2455041499638224,-0.0,0.1689107834096474,0.0,0.0,0.0,-0.36773577031455673,-0.1543113677466304,-0.0,-0.0,0.0,0.0,-0.4478269212062654,-0.9823327233673187,0.0,-0.0,-0.19839195558778389,-0.0,-0.02940290872888976,-0.0,0.0,-0.0,-0.0,-0.049547917006189726,-0.0,0.01352764962007856,0.06435006338037004,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.06217654331038424,0.0,0.0,0.13137713321531871,0.0750374176321555,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.019178088322433447,-0.0,0.0,0.0,-0.0,-0.22445042874512816,-0.0,-0.0,-0.0,-0.0
0.0,-0.050890638311913046,-0.0,-0.10820536607021077,0.0,0.0,3.5877677499612766,-0.4447317081837801,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.3014187289174214,-0.0,-0.5327481214943959,-0.1824928976969991,-0.0,-0.47613763240562373,0.0,0.0,-0.1810883031043443,-0.0,-0.004123678170932017,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.5981756331214163,0.0,0.2204557481943079,0.0,0.0,-0.0,0.0,-0.0,-0.6604333555819002,-0.0,-0.0,0.0,-0.0316168057146617,-0.19655136388287145,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.20753756312587912,-0.0016996746363383071,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.13730245192620527,-0.0,0.0,-0.0,-0.19820561157980465,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0
0.0,-0.4174488252541239,-0.009715508944246372,-0.3401319440669491,-0.8734574346529455,0.0,-0.4447317081837801,3.922474111396133,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.6272757100501715,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0653235177234931,-0.0,-0.13202481831194207,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.24255828485471828,0.0,0.0,-0.12630620034287643,-0.0,-0.0,-0.0,-0.0,-0.1329174852196061,-1.2958505779273914,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.04384508981729898,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.1541728365671503,0.0,-0.0,0.0,0.0,0.02301794168386284,0.0,-0.0
-0.027413581818904437,-0.0,-0.7927153399844244,-0.0,-0.02243833349773328,-0.4324016047190989,-0.0,-0.0,3.863575773338287,-0.12195263504780011,-0.14900174327386828,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.17246258928065755,0.0,-0.0,0.0,0.03372826845739514,-0.0,-0.10148821869826992,-0.0,0.0,-0.0,-0.0,0.09894577055359145,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.06057823414738949,-0.22113158497638008,-0.0,-0.17169351782094483,0.02340015162073971,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.11848205055453,-0.4073807496123957,-0.0,0.0,-1.4010556616224417,-0.0,-0.0,-0.0,-0.024213934108656424,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.048239533780388366,-0.0,-0.0,-0.0,-0.1809233940255808,-0.010196973352077974,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.2890384068637425,-0.0
0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.12195263504780011,3.7681515185444105,-0.39209277815712806,-0.4448128814697244,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.7151247001817749,-0.0,-0.0,-0.03750662796269448,-0.0,-0.11193885632348388,-0.007346446658527859,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.23179393449607205,-0.0,-0.2821249883186096,0.0,-0.0,0.062270783321085287,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-1.1873445086266314,-0.12796196943106145,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.13938728113541068,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.09412933605965036,-0.28413529157190454,-0.0,-0.0,-0.0,0.0,-0.0,-0.1520031532803121,0.0433866194054037,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.027405920455712,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.10642675481473914,0.07073674609395897,-0.0
-0.004840860694282502,-0.0,0.0,0.0,-0.16986865159369183,-0.0896685166716735,0.0,0.0,-0.14900174327386828,-0.39209277815712806,1.726180491176808,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.021959695042581207,-0.0,0.06809674497786625,-0.07962426913444492,-0.18958447661587544,-0.09716742087754232,0.0,-0.0,0.0,-0.18524267566330915,-0.126967151416794,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.057985886229985975,-0.0,-0.0,-0.02563666033165728,-0.10168341648572048,0.0,0.0,-0.0,-0.08700997651573911,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.1427478798968417,-0.0,-0.32084245923335447,-0.0,-0.0,-0.0,-0.0,-0.0073410198796779215,-0.0,-0.0,-0.0543349202687457,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.020490088962901973,0.0,-0.0,0.0,-0.0,0.1700298512606613,0.0,-0.13917392188450764,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.08083001875643268,0.0,0.0,0.0
