1.921362115367708512e+00,-0.000000000000000000e+00,-0.000000000000000000e+00.1,-0.000000000000000000e+00.2,-0.000000000000000000e+00.3,-1.010310663689955174e-01,0.000000000000000000e+00,0.000000000000000000e+00.1,-0.000000000000000000e+00.4,-0.000000000000000000e+00.5,0.000000000000000000e+00.2,0.000000000000000000e+00.3,1.519236920642447197e-01,0.000000000000000000e+00.4,-0.000000000000000000e+00.6,-8.242478834977523885e-03,0.000000000000000000e+00.5,-0.000000000000000000e+00.7,0.000000000000000000e+00.6,-1.150564927006757915e-02,-0.000000000000000000e+00.8,-0.000000000000000000e+00.9,-0.000000000000000000e+00.10,0.000000000000000000e+00.7,-2.714829010993130218e-03,-0.000000000000000000e+00.11,0.000000000000000000e+00.8,-0.000000000000000000e+00.12,-0.000000000000000000e+00.13,-8.080156480783700843e-03,-1.399106617219607052e-01,-4.988638892103148398e-02,-3.828687367728711988e-01,-0.000000000000000000e+00.14,-0.000000000000000000e+00.15,-3.036944642735299113e-02,0.000000000000000000e+00.9,-0.000000000000000000e+00.16,-0.000000000000000000e+00.17,-0.000000000000000000e+00.18,0.000000000000000000e+00.10,-1.192474401657198785e-01,-0.000000000000000000e+00.19,0.000000000000000000e+00.11,-0.000000000000000000e+00.20,0.000000000000000000e+00.12,-2.475596338191763876e-02,-0.000000000000000000e+00.21,-3.877177184223726814e-01,0.000000000000000000e+00.13,-6.214261817989867875e-01,-0.000000000000000000e+00.22,0.000000000000000000e+00.14,2.001327120866643050e-01,-0.000000000000000000e+00.23,-1.244660483088840669e-01,-0.000000000000000000e+00.24,-0.000000000000000000e+00.25,0.000000000000000000e+00.15,0.000000000000000000e+00.16,2.168831373797021345e-01,0.000000000000000000e+00.17,-0.000000000000000000e+00.26,0.000000000000000000e+00.18,-0.000000000000000000e+00.27,-0.000000000000000000e+00.28,0.000000000000000000e+00.19,0.000000000000000000e+00.20,0.000000000000000000e+00.21,-0.000000000000000000e+00.29,-0.000000000000000000e+00.30,0.000000000000000000e+00.22,-0.000000000000000000e+00.31,1.714587936822866976e-01,7.243118357691138987e-02,0.000000000000000000e+00.23,-0.000000000000000000e+00.32,-0.000000000000000000e+00.33,-0.000000000000000000e+00.34,0.000000000000000000e+00.24,0.000000000000000000e+00.25,-0.000000000000000000e+00.35,0.000000000000000000e+00.26,-2.624992326995139250e-02,1.192986828006459415e-01,0.000000000000000000e+00.27,0.000000000000000000e+00.28,-0.000000000000000000e+00.36,-0.000000000000000000e+00.37,5.118009413078043746e-02,-0.000000000000000000e+00.38,0.000000000000000000e+00.29,1.801599994996736648e-02,0.000000000000000000e+00.30,2.343498294512846858e-01,0.000000000000000000e+00.31,8.461014936510226347e-02,-0.000000000000000000e+00.39,-5.225766820779476768e-02,0.000000000000000000e+00.32
-0.0,2.372731343139547,-0.7327040842052985,-0.11967191727874806,-0.24641845685484548,-0.0,-0.0,-0.13186981370915793,0.0,-0.0,0.0,-0.0,-0.02593604771603832,-0.0,0.0,-0.5977505824397241,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.01867438895416313,-0.051500898235628687,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.03729137901399989,0.00789164022129324,0.01685920952129888,0.003841429322158301,-0.02966927985631925,0.0,0.0,-0.0,0.17670662528622855,0.0,0.0,-0.49311145772108694,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.019383526507061183,0.0,0.13722079363108286,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.09708542798602007,-0.0,0.04786562618765154,-0.0,0.0,0.0,0.0,-0.0,0.0,0.059884445376372296,0.0,0.0,0.04037075167792504,0.14159895323907956,0.0,0.0,0.0,0.03997713799990901,0.0
-0.0,-0.7327040842052985,2.970976976196121,0.0,-0.0,-0.9421546131310932,-0.0,-0.07322712240068625,-0.43231707922867807,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.17221987892249432,-0.0,-0.0,-0.0,-0.0,-0.0,0.1151041938357182,-0.0,-0.0,0.0,-0.0009053019020874147,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.15236395679805986,-0.0,0.0,-0.13716416420189292,0.0,-0.061877625488865474,0.0,0.0,0.0,0.013883619261540726,-0.053383492474387645,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.33877627736783594,-0.015857753222426874,0.0,-0.13435078155194416,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.11979739064013988,-0.0,-0.0,0.0,-0.0,-0.0,-0.05988714796128202,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.03892128345493622,-0.0,0.08227972461712353,-0.0,0.0,0.05156116049840987,0.0,0.0,0.0,0.0,-0.0026869774168813525,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
-0.0,-0.11967191727874806,0.0,2.8157754396125885,-0.5037500763943602,0.0,-0.24120711851856985,-0.0,0.14718367563401105,-0.0,-0.0,-0.0,-0.0,-0.415150524236942,0.0,-0.08943832159335717,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.06396226077839103,0.0384027801768767,0.0,-0.0,-0.033467040822137584,0.06030707800858057,-0.052427774329789525,0.0,0.0,0.0,-0.03294728118792217,-0.0,-0.0,-0.07008744939788548,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.04993144293811529,-0.16706031945227712,-1.077728257625614,0.0,0.0,-0.36388229562540886,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0992091191506813,0.2434561452371122,0.0,-0.0,0.0,-0.09030221499594705,0.06086296835519813,0.0620704027803038,0.0,-0.0,0.0,0.0019449952470422056,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.12189457686270012
-0.0,-0.24641845685484548,-0.0,-0.5037500763943602,2.3163046804919,-0.0,-0.0,-0.26903862047161664,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0833712239833584,-0.0,0.0,-0.24413241500466057,0.0,-0.0,-0.0,-0.0,0.0,0.11285219893876151,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.11741733422553181,-0.0,0.0,0.0,-0.003136932656311004,0.0,0.0,-0.0,-0.0,-0.0,-0.01530209712600022,-0.0,-0.0,-0.0,-0.0,-0.07400712151794056,0.0,-0.5250972353822109,-0.6167028912475707,-0.0,0.0,-0.0,-0.0,0.0,0.02277448073347083,0.0,-0.0,-0.0708176631629944,-0.0,0.0,0.0,-0.0,-0.0,0.03890539261807875,0.0,0.0,0.0,0.0,0.005748503922400022,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0689823622144696,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.002691257939954456,0.0,-0.0,0.0,-0.0,-0.0
-0.10103106636899552,-0.0,-0.9421546131310932,0.0,-0.0,3.2905360054959134,-0.0,-0.0,-0.782137122312079,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.009252111871186143,-0.0,0.0,0.0,-0.04721482375056484,-0.06927725190228186,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.07805843564462826,0.0,-0.07943463626371566,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0786838835520811,-0.0,-0.0,0.0,0.0,0.0,-0.8384916299590502,-0.4124776994080678,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.012250975423252684,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.09360099750231313,0.0,0.0,0.1669441079972612,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0006989663984668555,0.0,-0.0,0.0
0.0,-0.0,-0.0,-0.24120711851856985,-0.0,-0.0,2.6792959184106486,-0.16249050247326832,0.0,-0.00978141979637002,-0.0,-0.06044208516624492,-0.0,0.0,-0.0,-0.4670087879657324,-0.09140574305758328,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.06339566156824451,-0.0,-0.27677379523093887,-0.1549946811373538,-0.5235219746853615,-0.32795696407450126,-0.0,0.0,-0.0,-0.0,-0.05506408469916487,-0.0,-0.0,-0.0,-0.13213706335890962,-0.0,-0.0,-0.37712276055453686,-0.0,0.0,0.0,-0.2159247803997673,0.0,0.0024577658800823306,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.08656289552684777,0.0,-0.0,-0.0,-0.0,-0.1306236672637635,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.01207065377832036,-0.0,-0.0,0.0,-0.0,0.0,-0.03167892195507577,-0.0,-0.0,-0.0,0.0,-0.0,-0.258910447014822
0.0,-0.13186981370915793,-0.07322712240068625,-0.0,-0.26903862047161664,-0.0,-0.16249050247326832,3.713299770066596,-0.0,-0.094604871569404,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.4493152088656384,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.13709931121177235,0.013853300947466635,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0658703072172405,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.680682707878555,-0.0,-0.0,-0.7136625293444168,-0.0,-0.5455997628530069,-0.9835331606908848,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.1122018753812871,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.02132570402159647,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
-0.0,0.0,-0.43231707922867807,0.14718367563401105,-0.0,-0.782137122312079,0.0,-0.0,3.758608271599335,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.19377157111123897,-0.0,-0.22994415463076895,-0.0,0.0,-0.0,-0.0,0.0,-0.030701732063373025,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.13832139591724993,-0.0,0.0,-0.6565895959480854,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.010687956959434924,-0.0,-0.0,0.0,0.26215515809094186,0.2532921599161312,-0.2822831436513461,-0.5509980271423913,0.0,-0.8790607168274336,-0.0,-0.0,-0.2581907904877794,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.10004834943197898,0.0,-0.0,0.0,0.0,-0.0,0.17980572791586977,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.07402847679724793,-0.0,-0.0,0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00978141979637002,-0.094604871569404,-0.0,2.4514136833466087,-0.29860739623149235,-0.6620609016806315,-0.027287630668918855,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.42883510076895426,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.3463217628217828,-0.5435330272606923,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.12330993551711936,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.09907116512181034,-0.0,-0.0,-0.0,-0.0,-0.12354444267223932,-0.054782842423385526,0.0,0.0,0.0,-0.0,0.11928479085213783,0.0,0.0,-0.14855949287570047,0.0,-0.0,0.0,-0.05717586709038418,-0.014375642760179632,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.29982213235296684,-0.0,0.0,-0.0,0.0,0.21152587435608003,0.0,-0.0
0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.29860739623149235,2.7141246600303304,-0.493339950720491,-0.0,-0.0,-0.3205458748224373,0.0,-0.0,0.0,-0.0,0.0,-0.06955606698850332,0.0,-0.0,-0.0,-0.0,-0.3528925775826052,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0641812824611433,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.44818272449940005,-0.7559444035765459,-0.15514599753335256,-0.1539435685636103,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.011825923741166446,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0788283411737128,-0.05805725740375057,0.0,-0.0,-0.0,-0.0,0.0,-0.0327775484712652,-0.0,-0.0,0.0,0.03499812808503231,-0.0,0.0
