1.547006754518586158e+00,0.000000000000000000e+00,-9.012632349967854284e-02,0.000000000000000000e+00.1,0.000000000000000000e+00.2,-0.000000000000000000e+00,0.000000000000000000e+00.3,0.000000000000000000e+00.4,-0.000000000000000000e+00.1,-8.966796184162486444e-03,-0.000000000000000000e+00.2,0.000000000000000000e+00.5,0.000000000000000000e+00.6,5.691431658261820320e-02,2.584072897105297861e-01,-0.000000000000000000e+00.3,5.807333890588033815e-02,-1.622041605612432047e-01,7.649821297092547837e-03,-1.003451873496594149e-01,-0.000000000000000000e+00.4,1.431808500029919506e-03,-0.000000000000000000e+00.5,1.005299945478558554e-01,0.000000000000000000e+00.7,0.000000000000000000e+00.8,4.989130278559100046e-02,0.000000000000000000e+00.9,-0.000000000000000000e+00.6,2.001425225328224700e-01,-6.562751072468046842e-02,0.000000000000000000e+00.10,-0.000000000000000000e+00.7,-0.000000000000000000e+00.8,-0.000000000000000000e+00.9,-7.958878706157236638e-02,0.000000000000000000e+00.11,-0.000000000000000000e+00.10,0.000000000000000000e+00.12,0.000000000000000000e+00.13,-5.762548507367125372e-02,-0.000000000000000000e+00.11,0.000000000000000000e+00.14,0.000000000000000000e+00.15,-2.612409095747074764e-02,0.000000000000000000e+00.16,0.000000000000000000e+00.17,-2.186492304047776489e-02,-2.331858698906572880e-01,-0.000000000000000000e+00.12,-2.332000983186899579e-01,-9.542853765333968175e-02,0.000000000000000000e+00.18,-0.000000000000000000e+00.13,-0.000000000000000000e+00.14,-0.000000000000000000e+00.15,-0.000000000000000000e+00.16,0.000000000000000000e+00.19,0.000000000000000000e+00.20,-1.747347487756657491e-01,-8.520449375438868267e-02,2.054092465544853779e-02,0.000000000000000000e+00.21,0.000000000000000000e+00.22,4.839788668800385635e-02,0.000000000000000000e+00.23,-0.000000000000000000e+00.17,0.000000000000000000e+00.24,0.000000000000000000e+00.25,-1.714260333115933061e-03,-0.000000000000000000e+00.18,0.000000000000000000e+00.26,0.000000000000000000e+00.27,5.232395449850400088e-02,0.000000000000000000e+00.28,0.000000000000000000e+00.29,0.000000000000000000e+00.30,0.000000000000000000e+00.31,-2.116780773987510765e-03,3.491894627072816143e-02,6.907096857952027547e-02,-0.000000000000000000e+00.19,-0.000000000000000000e+00.20,-0.000000000000000000e+00.21,7.194932605805988077e-03,0.000000000000000000e+00.32,0.000000000000000000e+00.33,0.000000000000000000e+00.34,-0.000000000000000000e+00.22,0.000000000000000000e+00.35,-0.000000000000000000e+00.23,-0.000000000000000000e+00.24,0.000000000000000000e+00.36,-0.000000000000000000e+00.25,0.000000000000000000e+00.37,0.000000000000000000e+00.38,0.000000000000000000e+00.39,-0.000000000000000000e+00.26,-1.195765664256151495e-01,-0.000000000000000000e+00.27
0.0,3.463531214600127,-0.0,-0.7506001932383564,-0.4221079455803022,-0.0,0.0,-0.9936606565730114,-0.0,-0.0,-0.12401512947002456,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.002663898661320467,-0.0,0.019533933376125388,-0.0,0.0020933060077737487,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.5896052105446827,-0.0,-0.0,-0.0,-0.0,-0.0,-0.20555968539346048,-0.0,-0.0,-0.01211855308424007,-0.0,-0.1400465437690342,-0.07000243968809544,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.15068597871758693,-0.0,0.0,-0.0,-0.0,-0.3194205556136353,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.1305591592514357,-0.0,-0.0,0.0,-0.18937268014318048,-0.0,0.1282383272648398,0.0
-0.09012632349967854,-0.0,2.0079668136031326,0.0,-0.0,-0.1752676290996977,-0.0,-0.08310978327739958,-0.3719017692440973,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.02838254686966528,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.11507169585026236,-0.0,0.0,0.0,0.0,0.0,-0.0,0.04441143681396546,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023097009728748983,-0.057973405264152206,-0.04456153874185113,-0.0,-0.0,-0.11035450391449125,-0.07505749065174877,-0.3588942812951846,-0.29903570513626104,-0.0,-0.006748849422024392,-0.2437828760206281,0.0,-0.04831915911566916,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.019797027309934986,-0.019352336825923046,0.0,-0.0,-0.0,-0.027708103531011087,-0.0,-0.0,-0.0,-0.024043514888653455,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.05243498327713969,0.0,-0.0,0.0,0.0,0.0
0.0,-0.7506001932383564,0.0,2.682763094570466,-0.5227166138004276,0.0,0.0,-0.5609679706619161,-0.0,-0.012830470720869165,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.07361027100846924,0.0,-0.0,0.04265689469094546,0.0,0.0,-0.0,0.0,-0.02122054117516692,-0.0,0.006493767166360414,-0.0,0.0,-0.0,0.0,0.0059930416780597335,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.2047391677265484,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.5465279477029492,-0.0,0.0,0.0,-0.1193784909736956,-0.10078511359484515,0.0,-0.06047498535695848,0.0,-0.0,-0.0,-0.0,-0.0,0.10795028120188832,0.09978895034124481,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.06400180037494492,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.10446879751894798,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.048013973452780793,0.0
0.0,-0.4221079455803022,-0.0,-0.5227166138004276,2.57412673396306,-0.12207879454642252,0.08177596946649025,-0.0,-0.0,-0.052599940722157755,-0.0,-0.0,-0.0,-0.0,-0.0,-0.10930214883906232,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.1286653547353158,-0.0,-0.0,-0.0,-0.0,0.06514739565625942,-0.30427804962296334,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.05553808998511336,0.0,-0.0,-0.0,0.0,0.0852257170297789,-0.0,-0.1797685255493779,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.04113325366866018,-0.9682662519475614,0.0,0.0,-0.03114517006901668,-0.0,0.0928998554727847,-0.0,-0.0,-0.0,-0.04871292533660467,-0.0,0.0,0.0,0.05014090180383304,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.16634711384492845,-0.0,-0.0,-0.0,-0.0,-0.0,-0.005479538341604904,-0.22476459854830927,-0.0,-0.033149767823683354,-0.0,0.0,-0.0,-0.0,-0.0,-0.036678729542275405,-0.0,0.0,-0.0,0.0,0.0,0.0
-0.0,-0.0,-0.1752676290996977,0.0,-0.12207879454642252,3.0837910640653905,0.0,-0.0,-0.5815778148013894,-0.19823365995568257,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.3035389658579244,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.29534346974885817,0.0,-0.1161818352015236,0.1006043368841524,0.0,0.0,0.0,-0.0,0.0,-0.08164838256198582,0.0,-0.02115854346569599,0.0,0.0,0.0,-0.86197083244667,-0.7078233522024081,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.13922508946222323,-0.0,0.0,0.0455433130133488,-0.0,0.0,-0.0,-0.026658596268128925,-0.13860534823023535,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.11972322482089585,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.30680801302197447,-0.0
0.0,0.0,-0.0,0.0,0.08177596946649025,0.0,2.0172279109486526,-0.0,-0.0,-0.0,-0.03869205543934208,-0.04436627694516503,-0.0,-0.0,-0.0,-0.40376029764386634,-0.20982964443787813,-0.0,-0.0,-0.009755469321562488,-0.19493176283294947,0.0,0.0,-0.0,-0.011717891960190796,0.0,-0.0,-0.0,-0.0,0.06264703031747193,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06313969347593727,-0.0,0.0,-0.1636854250019582,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0290033867381251,0.0,-0.0,-0.0,-0.0,-0.22540780931158644,-0.0,-0.0,-0.0,-0.021636356872633343,-0.1237466366220682,-0.0443525784878936,-0.034203957063980724,-0.0,-0.0651641617087773,0.0,0.0,-0.0,-0.0,-0.3156760439774816,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.5391708376482686,-0.0,-0.0,-0.10890833596078936,-0.06596273937494894,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.06540396443575328,-0.0,-0.0,0.0,-0.0,0.0,0.0
0.0,-0.9936606565730114,-0.08310978327739958,-0.5609679706619161,-0.0,-0.0,-0.0,3.2614449885588344,-0.0,-0.0,-0.09549524820865897,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.01634666943233162,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.03317675330505702,-0.0,0.0,0.12844624825587522,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.20520043141882371,-0.21444856743238855,-0.0,-0.0,-0.0,-0.9926063107181555,-0.0,-0.0,0.0,-0.10254973678194648,0.0,-0.15093795167788088,-0.0,-0.008896075885805394,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.03389293107305657,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.08634143036308044,-0.0,0.0,0.020765463595543196,0.0
-0.0,-0.0,-0.3719017692440973,-0.0,-0.0,-0.5815778148013894,-0.0,-0.0,2.928043471615749,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0006291800711393533,-0.10512904717520372,0.0,-0.060851277553788705,-0.19554469577350783,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.08213918146941149,-0.0,0.0,-0.32782420869452605,-0.004273606935918966,-0.09367476247356576,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.06742740022865877,-0.0,-0.04205946921764997,-0.0,-0.0,-0.0,-0.25746069492441814,-0.4308121070729472,-0.0271908475677932,-0.3739614661461986,-0.0,0.0,-0.0,0.0,-0.10498649944891728,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.17022287146459947,-0.21703639870807812,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.007359498787728232,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.2602621009925419,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.008966796184162486,-0.0,-0.0,-0.012830470720869165,-0.052599940722157755,-0.19823365995568257,-0.0,-0.0,-0.0,2.339166009777356,-0.13262719220395844,-0.4542743734785936,-0.0,-0.0,0.2327384452066203,-0.0,0.0,-0.0,0.0,-0.06304460190848421,0.0,0.0,0.0,-0.153856562416822,-0.16560365371958166,0.0,-0.05556542515235727,-0.0,0.0,0.39498005590843566,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0778853397789396,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0534457024001391,-0.0,-0.034359770867871745,-0.0,-0.0,0.0,0.020762648593157844,0.08642961941500371,-0.0,0.11566963614147074,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.16659798003676346,-0.0,-0.02123516362050172,-0.09200717521673205,0.0,-0.0,-0.0,0.0,-0.023711541689332555,-0.022295094083780644,-0.18187257608549867,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
-0.0,-0.12401512947002456,-0.0,-0.0,-0.0,-0.0,-0.03869205543934208,-0.09549524820865897,-0.0,-0.13262719220395844,1.499817158373421,-0.1294359524602193,-0.0,-0.013143273153998472,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.02688715029746964,-0.1531465619528516,-0.01554579959821393,-0.09473555959503704,0.0,-0.0,-0.0,0.0,0.04818707217872795,0.0,-0.0,0.0,-0.0,0.0015943657002086653,0.0,0.0,0.0,0.0,0.0,-0.0,-0.046339855728708405,0.0,0.0,0.0,0.0,-0.0,0.11891371609811184,-0.0,-0.0,-0.0,-0.08626651513416345,0.0,-0.0,-0.0,-0.052124377605461486,-0.0,-0.2234032142597691,-0.03044331757585949,-0.0,-0.0,-0.0,0.0,0.0,0.05708655804476112,0.0,-0.0,0.0,-0.0,0.2266778365997525,0.0,0.0,-0.011214744114680476,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.08636026931617613,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.1134137168434941,0.0,-0.0,-0.03459638536915005,-0.0,0.0,0.0,0.0,0.0
