1.688070752162250443e+00,-1.640176606400521042e-01,-0.000000000000000000e+00,-0.000000000000000000e+00.1,-0.000000000000000000e+00.2,0.000000000000000000e+00,-7.843632658416987502e-04,-2.690306349674139851e-03,-0.000000000000000000e+00.3,-0.000000000000000000e+00.4,-0.000000000000000000e+00.5,5.584998890255488818e-02,-0.000000000000000000e+00.6,0.000000000000000000e+00.1,-0.000000000000000000e+00.7,-2.372009854266828865e-01,0.000000000000000000e+00.2,-0.000000000000000000e+00.8,-0.000000000000000000e+00.9,-1.730057430003141550e-02,-1.986211394614991604e-02,1.147582365814625444e-01,3.679094785479716107e-02,9.931707502115756647e-02,-1.406175712914303211e-01,0.000000000000000000e+00.3,0.000000000000000000e+00.4,-0.000000000000000000e+00.10,0.000000000000000000e+00.5,0.000000000000000000e+00.6,-0.000000000000000000e+00.11,-8.730997543652904702e-02,-0.000000000000000000e+00.12,0.000000000000000000e+00.7,1.698647581121394967e-01,-0.000000000000000000e+00.13,-0.000000000000000000e+00.14,-0.000000000000000000e+00.15,-0.000000000000000000e+00.16,0.000000000000000000e+00.8,-0.000000000000000000e+00.17,-7.631058234869073087e-02,0.000000000000000000e+00.9,-0.000000000000000000e+00.18,0.000000000000000000e+00.10,-0.000000000000000000e+00.19,0.000000000000000000e+00.11,-0.000000000000000000e+00.20,-0.000000000000000000e+00.21,-1.905208630645300605e-01,-1.534617789504104657e-01,-1.005308947565511507e-01,-0.000000000000000000e+00.22,-0.000000000000000000e+00.23,-0.000000000000000000e+00.24,0.000000000000000000e+00.12,-0.000000000000000000e+00.25,-0.000000000000000000e+00.26,-0.000000000000000000e+00.27,-0.000000000000000000e+00.28,-0.000000000000000000e+00.29,-0.000000000000000000e+00.30,0.000000000000000000e+00.13,0.000000000000000000e+00.14,0.000000000000000000e+00.15,0.000000000000000000e+00.16,-1.356235605505440589e-01,0.000000000000000000e+00.17,0.000000000000000000e+00.18,-0.000000000000000000e+00.31,-1.569254060885623969e-01,-0.000000000000000000e+00.32,3.994270460835813719e-02,-0.000000000000000000e+00.33,0.000000000000000000e+00.19,0.000000000000000000e+00.20,-0.000000000000000000e+00.34,-0.000000000000000000e+00.35,-0.000000000000000000e+00.36,0.000000000000000000e+00.21,-0.000000000000000000e+00.37,-0.000000000000000000e+00.38,-0.000000000000000000e+00.39,8.003930431905874332e-02,1.212124775711643024e-02,-0.000000000000000000e+00.40,0.000000000000000000e+00.22,0.000000000000000000e+00.23,-0.000000000000000000e+00.41,-0.000000000000000000e+00.42,-0.000000000000000000e+00.43,-1.814305471836385186e-01,-0.000000000000000000e+00.44,-0.000000000000000000e+00.45,1.315069574212889003e-02,-7.015265528682693673e-03,-0.000000000000000000e+00.46,-0.000000000000000000e+00.47,-0.000000000000000000e+00.48,-0.000000000000000000e+00.49
-0.1640176606400521,2.2557151460241847,-0.0,-0.0,-0.6249963905241759,0.0,-0.0,-0.2804984281288958,-0.0,-0.24745836857013745,0.04156048100271385,0.0,-0.06651113125180162,-0.0,-0.05989069604448002,-0.14125896962466156,-0.0,-0.11805887351725095,-0.0,-0.05724188465455,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.08858273839605733,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06283570472731803,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.30863313418378113,-0.0,-0.22893909737195373,-0.03240330997485866,0.01244926853451292,-0.0,-0.07967369760934713,-0.0,0.06652959231817825,0.1117964104807903,-0.033190219147251135,-0.0,-0.0,0.0,-0.0,-0.09106518473646803,-0.1532143602919663,-0.0,-0.0,-0.05992122216455647,-0.0,0.00047139108157951017,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
-0.0,-0.0,2.06414654307136,0.11273288624255588,-0.0,-0.48339319079602455,-0.0,-0.24470756201683583,-0.38902113846332337,0.0,-0.0,0.0,-0.0,0.053147532577347355,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.09418406569988824,-0.0,-0.0,-0.0,0.020303606721442668,-0.0,-0.0,-0.0,0.0,0.07169624753028393,-0.0,0.013987016529479876,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.08859927363792985,0.0,0.0,-0.0,-0.08566873075382253,0.0,0.0,0.0,-0.13763741502473148,-0.0,0.0003204233309831133,-0.05874715266997176,0.08965070995051913,0.0,-0.35147837077675514,-0.12268421315790085,-0.0,-0.0,-0.0,0.0,-0.288969888427539,-0.0,-0.045475646094804346,0.06907526060228636,0.15708763965978237,-0.0,-0.0,0.0,0.022244112444659903,-0.0,0.0,-0.031204882617417416,-0.2010670826365968,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.056573878299954895,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.12448485375929466,-0.0,0.0
-0.0,-0.0,0.11273288624255588,2.5149397994485847,-0.20606949701104577,0.20086260109793888,-0.0,-0.22057613508863244,0.0,-0.0,0.0,-0.0,-0.049578508658093136,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.04749445680585696,-0.0,0.0,0.0,0.0,-0.07017678480217085,-0.0,0.0,0.0,0.0,-0.1296440448612657,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.020204537388155103,-0.0,0.018377200160389424,-0.0,-0.008621145379961859,-0.0,-0.0,-0.0,0.011430212576121855,0.0,0.0,0.0,-0.0896836155893707,-0.22693253735112384,-0.3657623532355616,-1.3468176216251613,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.00180463947022388,-0.0,0.1640355820801132,-0.0,-0.0,0.0,-0.0004326729382309992,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.1089949625803038,0.0,-0.12399548611812472,0.0,-0.0,0.0
-0.0,-0.6249963905241759,-0.0,-0.20606949701104577,2.3918656548198927,-0.00475269272223324,0.0,-0.0,0.0,-0.0,0.22819415005747945,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.05363741484237967,0.030248323519493,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.12746544047419145,-0.21166227506120583,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.4740429180872945,-0.8730781045296174,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.42599006059842287,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.055735269729413006,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.04906330989165616,-0.003765355653188657,0.0,-0.034336501083716074,-0.12215410251224589,-0.0,-0.0,-0.0,0.0,-0.0,-0.014261435125367872,-0.0,-0.0,-0.0,-0.0,0.0
0.0,0.0,-0.48339319079602455,0.20086260109793888,-0.00475269272223324,3.086782238768892,0.0,0.0,-0.14885171683688897,0.0,-0.0,0.0,0.0,0.15242444335082425,0.0,0.16489723785441843,-0.0,0.007801919006484832,0.0,-0.2252875357474237,0.0,0.0,-0.021111920073516983,0.048255706590015365,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1489766579244803,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.14272551599039668,-0.0,0.0,0.0,0.0,0.0,-1.1157494423413812,-1.0975915901704876,0.02159467178570073,-0.0,-0.0,0.054421655115246007,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0396970631061042,0.0,0.1281801152979138,0.03638298949263735,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.1471564613515687,0.04221143774764746,-0.0,-0.0,-0.14567838127297209,-0.0,-0.0,-0.0,-0.0,-0.05264494062087802,-0.0,0.0,-0.0612232652732005,-0.0,-0.0
-0.0007843632658416988,-0.0,-0.0,-0.0,0.0,0.0,2.9380304573577716,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.31469474945771225,-0.0,-0.0,-0.0,-0.08692344612164113,-0.04373680032510408,0.0,-0.0,-0.12466042337150691,0.0,0.0,0.013549638879381112,0.0,-0.0,0.0,0.025522301993105546,-0.0,-0.0,0.0,0.0,-0.006811650669450421,0.0,0.0,0.0,-0.05004214415508396,-0.0,0.04937350928373121,-0.0,0.0,-0.0,0.01084376995403262,0.15431546084923775,0.0,-0.0,-0.0,-0.0,-0.0,-0.42496286437406633,-0.0,0.0,0.0,-0.8736779304076909,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.19255073774182385,-0.0,-0.4873068389370085,-0.0,-0.0,-0.0,-0.2018667786343284,-0.16594399094228662,-0.0,-0.14479631898679915,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.012569912451635645,0.0,0.0,0.0,-0.0,0.0,0.30462335039397076,-0.13753368108293942,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
-0.00269030634967414,-0.2804984281288958,-0.24470756201683583,-0.22057613508863244,-0.0,0.0,-0.0,3.2081474404147854,-0.0,-0.0,-0.0,-0.0,-0.03071899003851195,-0.0,-0.0,-0.08558815950993398,-0.0,-0.28296717149865225,-0.0,0.0,0.0,0.0,0.0,0.0,0.07437793733558169,0.005614941152448495,0.14755098863379013,0.06796887254642939,-0.0,0.0,0.0,0.0,0.18387999931255303,0.28369209088248365,0.09524722450269145,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.06201660641732237,0.0383759390207097,-0.0,-0.0,-0.0,-0.6047204993106166,-0.0,-0.0,-0.0,-0.0,-0.9710580616173247,-0.17448448186085247,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.23577054349042303,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0441313545446199,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.06905092490897785,-0.01343186118603938,-0.0
-0.0,-0.0,-0.38902113846332337,0.0,0.0,-0.14885171683688897,-0.0,-0.0,3.3988420446805163,-0.0,-0.018495060489600985,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.001968226899241242,-0.0,-0.0,0.0,-0.0,0.045342986998714085,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.25159447456583534,0.0,-0.0,0.0,-0.1349196015390226,-0.0,-0.0,0.0,0.03307302798920127,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.8118591311694253,-0.0,-1.7825151223754212,-0.017596670326526554,-0.0,-0.0,-0.10549244735274806,-0.07678107522894163,-0.0,0.0,-0.029604354883846266,-0.014830928065000299,0.05108127806761602,0.11642418676668742,0.0,-0.0,0.0,-0.001078728451486949,-0.14726378386860622,0.0,0.0,0.009016100224856473,-0.0,-0.0,-0.0,0.0,0.006051133768863885,0.003161991206469197,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.10656138160826376,-0.0,-0.0,-0.008267092536577807,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
-0.0,-0.24745836857013745,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,2.0982893773513505,-0.06817361378901932,-0.46055952318423,-0.08332404058283788,-0.0,-0.0,-0.0,-0.0,0.0,-0.16765833538730532,0.045645937416298826,-0.0,0.08655606400072297,-0.0,-0.0,-0.21694611681444648,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0015385516724969487,0.0,-0.0,-0.0,-0.0371479876763673,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.12131967320912516,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.26557314532690984,0.0,0.0,-0.19285730982316632,-0.0,-0.18805046974399445,-0.0,-0.0,0.0,-0.19737225356642393,0.0,0.0,-0.0,0.0,0.09803160402021965,0.0,-0.031833243841895745,0.0,-0.0507805913574549,-0.0,-0.12989593471167288,-0.0,0.0,0.0,-0.0,0.0,0.0,0.022606616575465827,-0.0,0.0,0.0,0.008372771929300285,0.0,-0.0,-0.4192179313447583,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
-0.0,0.04156048100271385,-0.0,0.0,0.22819415005747945,-0.0,-0.0,-0.0,-0.018495060489600985,-0.06817361378901932,1.679866688862568,-0.0855097487472852,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.17550663452809717,0.0,-0.0,0.1124071084810185,0.0,0.0,0.0,0.02688538222257824,0.0,0.1568084292173259,-0.006474020620101789,0.0,0.0,0.0,-0.028063704764799895,0.0,-0.0,-0.0,-0.0,-0.0,0.15597430884484795,-0.17089814883207435,0.0,0.0,0.1682898880219582,-0.0,0.0,-0.12459828123143644,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.5766549987743042,-0.3511505345024212,-0.04059157777887359,0.0,0.0,-0.06385366979334854,-0.0,-0.01112127712493044,-0.0,0.0,0.0,0.0,0.0,0.0,-0.039602245772021226,-0.0,-0.0,-0.0,0.0,0.09661068849005702,-0.0,-0.0,-0.0,0.148420810009043,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.27127410135005425,0.018048662907673096,-0.026765646799015115,0.0,0.0,-0.0,-0.0,-0.0
