1.799451245157264623e+00,0.000000000000000000e+00,0.000000000000000000e+00.1,0.000000000000000000e+00.2,9.455764963198441328e-03,0.000000000000000000e+00.3,-0.000000000000000000e+00,0.000000000000000000e+00.4,0.000000000000000000e+00.5,-0.000000000000000000e+00.1,-0.000000000000000000e+00.2,2.502862340712326827e-01,0.000000000000000000e+00.6,-0.000000000000000000e+00.3,-0.000000000000000000e+00.4,-2.172768252824969770e-01,-0.000000000000000000e+00.5,-0.000000000000000000e+00.6,-0.000000000000000000e+00.7,-0.000000000000000000e+00.8,-7.091580431444829968e-02,0.000000000000000000e+00.7,-0.000000000000000000e+00.9,0.000000000000000000e+00.8,-0.000000000000000000e+00.10,6.246631507150882112e-02,0.000000000000000000e+00.9,0.000000000000000000e+00.10,-0.000000000000000000e+00.11,-0.000000000000000000e+00.12,-2.212701802143065555e-01,-2.880137889578089361e-01,-0.000000000000000000e+00.13,-0.000000000000000000e+00.14,2.433012357124285374e-01,0.000000000000000000e+00.11,0.000000000000000000e+00.12,-0.000000000000000000e+00.15,-0.000000000000000000e+00.16,-0.000000000000000000e+00.17,-0.000000000000000000e+00.18,-4.220272321836661400e-02,-0.000000000000000000e+00.19,0.000000000000000000e+00.13,-0.000000000000000000e+00.20,-0.000000000000000000e+00.21,0.000000000000000000e+00.14,-1.527244717587477041e-01,-1.857305074875752471e-01,-0.000000000000000000e+00.22,-7.913385398864600240e-02,1.624351705707561839e-03,-0.000000000000000000e+00.23,0.000000000000000000e+00.15,0.000000000000000000e+00.16,-2.758139428862467768e-01,1.625398087667280500e-01,0.000000000000000000e+00.17,0.000000000000000000e+00.18,-0.000000000000000000e+00.24,0.000000000000000000e+00.19,1.206007709368557834e-01,0.000000000000000000e+00.20,-0.000000000000000000e+00.25,-0.000000000000000000e+00.26,-0.000000000000000000e+00.27,0.000000000000000000e+00.21,0.000000000000000000e+00.22,0.000000000000000000e+00.23,0.000000000000000000e+00.24,-0.000000000000000000e+00.28,1.044744162858773917e-01,-0.000000000000000000e+00.29,-0.000000000000000000e+00.30,0.000000000000000000e+00.25,-0.000000000000000000e+00.31,0.000000000000000000e+00.26,-0.000000000000000000e+00.32,0.000000000000000000e+00.27,0.000000000000000000e+00.28,0.000000000000000000e+00.29,0.000000000000000000e+00.30,-0.000000000000000000e+00.33,1.110214938665831791e-01,0.000000000000000000e+00.31,-0.000000000000000000e+00.34,0.000000000000000000e+00.32,-0.000000000000000000e+00.35,0.000000000000000000e+00.33,1.175420189376043673e-01,-1.176205639592751012e-01,-3.784338016152635209e-01,-0.000000000000000000e+00.36,-0.000000000000000000e+00.37,0.000000000000000000e+00.34,0.000000000000000000e+00.35,-0.000000000000000000e+00.38,-1.980727438381636729e-02,-0.000000000000000000e+00.39,-0.000000000000000000e+00.40
0.0,4.230135317739311,-0.0,-0.2925221154871644,-0.7260020441841533,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.10983932547595553,0.5376562650437621,0.0,-0.4204399810281765,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.09398059004305197,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.007430392157026454,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.28769546332008694,0.0,0.0,0.0,-1.0711969494665985,-0.0,-0.8313362888526828,-0.7050774404582609,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.3027881213941207,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.22293909395687012,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.051937904917944255,0.0,0.000927027016058996,-0.0,0.0,0.0,0.0
0.0,-0.0,3.733522147615412,0.0,0.0,-0.8723578842784037,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.002002144469074256,-0.0,-0.0,-0.007809268946954015,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.058922231565526735,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.1697888314131188,-0.15579768185667786,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.3674957986686784,-0.0,0.0,-0.9769285628386979,-0.9514465360173678,-0.40551723137747914,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.11628507309865932,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.08424707007340054,-0.0,-0.0,0.0,0.0,0.009463217858113255,0.24732283691915252,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.09681828562890839,0.0,0.0,-0.0,-0.18993100433600224,0.0,0.0,0.0,-0.0,0.07532156537404396
0.0,-0.2925221154871644,0.0,3.9826874650844166,-0.5013037317813064,0.0,-0.0,-0.08370342895212989,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.14286718464089668,0.0,-0.0,0.0,0.013471916170751212,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.03513703532271668,0.026512630444336566,0.0,0.0,0.0,-0.0,-2.426721377323983,-0.0,-0.0,-0.0,-0.0,-0.11423828003902992,0.0,0.0,0.0,0.0,0.059618734606677125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1032709602885605,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.13377415700184417,-0.09972307397407756,0.0,-0.0,-0.0,-0.0,-0.18596169881920943,-0.0,-0.0,-0.0,0.1090110089044766,0.0,-0.16633857134915517,-0.17282030331899703,0.0,-0.0,0.0,0.1888832856913309,-0.0,0.0,0.14472894261806993,0.0
0.00945576496319844,-0.7260020441841533,0.0,-0.5013037317813064,4.493046074393201,-0.0,0.0,-0.6320342907012225,-0.0,0.0,0.0,-0.0,0.0,0.2296636371784785,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.14249017452676793,0.0,0.0,0.0,-0.0,-0.0,0.1793173702832989,0.008784444603913932,0.0,0.0,0.0,0.0,0.0,0.0,-0.10839857527590543,-0.0,0.0,0.0,0.0,0.0,-0.20543824500064567,-0.0,-1.2248523590936142,-0.718815053562392,-0.0,-0.2841630549168473,-0.0,-0.0,0.0,0.0,0.324107845550772,0.0,0.19015478245411307,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.08062984192890081,-0.0,-0.10985091710429032,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0833296241762205,0.06398596210090325,-0.17977586599736223,-0.0,0.0,0.0
0.0,-0.0,-0.8723578842784037,0.0,-0.0,5.022164207834472,-0.0,-0.0,-1.2434463020153914,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4246198027072632,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.008206856024691239,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.05848735762923716,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.4792657389309728,0.0,0.0,-0.0,-0.0,-0.0,-0.93239974684602,-0.7688350549291539,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.664318854885933,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.29353753942044863,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0
-0.0,-0.0,-0.0,-0.0,0.0,-0.0,3.7826564772354696,-0.09495977823758256,-0.2717204156324309,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7955263542992173,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.470890209339319,-0.0,-0.5475549651037996,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.5341116919304023,-0.0,-0.0,-0.0,-0.1563023988256396,-0.0,-0.0,-0.17347761268759673,-0.0,-0.0,-0.0,-0.029451066057654407,-0.0,-0.22376195147149147,-0.5894270570920286,-0.23487407312125705,0.0,-0.0,-0.0,0.0,0.0,-0.0016053739222497711,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.01812841690306456,0.0,-0.0,0.0,0.0,-0.0,0.1399938149839594,0.4855109590636096,0.0,0.0,-0.0,-0.049141334650741754,-0.25245849002251985,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.08370342895212989,-0.6320342907012225,-0.0,-0.09495977823758256,4.879666945951325,-0.447343367262452,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.14734652796126246,-0.0,-0.0,0.0,-0.020491519160215927,-0.18850272793314607,-0.0,-0.0,-0.016423639767609726,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.3977888126626749,-0.0,-0.0,-1.8527991668859447,-1.2289861652453402,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.12937288570310515,0.0,0.06426304924840352,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.05840731660771414,0.0,-0.0,0.00178662600369622,-0.0,0.05280999999364708,0.0352637608364262,-0.0,0.0,0.0,0.4841766534022307
0.0,-0.0,-0.0,-0.0,-0.0,-1.2434463020153914,-0.2717204156324309,-0.447343367262452,5.365855612850121,-0.0,-0.0,-0.021690297284666104,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.26396427425173113,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.1918618922531413,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.24745390198231423,0.0,0.0,0.0,0.0,0.008117757115184657,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5155846281804247,-0.1344666036907344,-0.0,-1.8701114079810064,-0.16781960275330307,-0.0,-0.13092340265642108,0.0,-0.0,-0.0,-0.0,-0.001943927565835384,-0.0,-0.0,0.0,-0.0,-0.3104811296573537,0.0,-0.0,0.0,-0.0,-0.0,-0.179589134676709,-0.0,-0.0,-0.0,0.0,0.0,0.002332918815037681,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.04511526527742987,0.0,-0.0,0.0,-0.0,0.0
-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,4.106439195756791,-0.84225607725258,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.45185914471068567,0.0,0.0,-0.0,-0.815316265739417,0.0,0.0,0.0,-0.0,0.0,-0.2171842468902641,-0.0,-0.31354075676937126,0.0,0.0,-0.0,0.0,-0.4109937485492956,-0.3872218830471745,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.1634357971761132,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.003795453667117864,0.0,-0.6737371397766496,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.2633306757932075,0.0,0.0,-0.0,-0.20119217902612355,-0.0,-0.048327187186936446,-0.0,-0.0,0.04212512233069543,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.12272687808748886,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04319365230610132
-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.84225607725258,3.8360564593124935,-1.070708748490688,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.03133700107090459,-0.0,-0.0,-0.0,-0.008248888869921372,-0.0,0.0,0.0,-0.0,0.2706441882420804,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.43429035977083247,-0.0,-0.0,0.0,0.0,0.2581041750849605,0.0,0.0,0.0,-0.0,-0.07198834212508097,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.13483126283521063,-0.35975206525665115,-0.06752444405259807,-0.0,-0.0,-0.2976675202032359,-0.25650774762415945,-0.28002869312636347,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.30753167560484285,-0.0,0.0,0.0,0.0,0.0,0.0,0.12965550847768115,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.21599151793026297,0.0,0.08126928278910897,-0.0,-0.0,0.0,-0.0,-0.0
